DATE|SCRIP CODE|DELIVERY QTY|DELIVERY VAL|DAY'S VOLUME|DAY'S TURNOVER|DELV. PER.
04112021|500002|000001243|0000000002615210|000002224|0000000004657927|055.89
04112021|500003|000017812|0000000003770801|000024266|0000000005141505|073.40
04112021|500008|000005229|0000000003676249|000008742|0000000006145199|059.81
04112021|500009|000030683|0000000000906683|000037850|0000000001116513|081.06
04112021|500010|000006118|0000000017741895|000009306|0000000027007498|065.74
04112021|500012|000144251|0000000020166290|000161090|0000000022509410|089.55
04112021|500013|000017306|0000000000239903|000017306|0000000000239903|100.00
04112021|500014|000014756|0000000000051351|000015781|0000000000054206|093.50
04112021|500016|000026754|0000000000371880|000026754|0000000000371880|100.00
04112021|500020|000039707|0000000003786063|000074532|0000000007118234|053.28
04112021|500023|000000035|0000000000003049|000000035|0000000000002887|100.00
04112021|500027|000000337|0000000003012022|000000762|0000000006820163|044.23
04112021|500028|000021417|0000000000235698|000021417|0000000000235698|100.00
04112021|500031|000002635|0000000002928539|000004464|0000000004981816|059.03
04112021|500032|000161691|0000000002229719|000238630|0000000003288894|067.76
04112021|500033|000000241|0000000000348173|000000389|0000000000561357|061.95
04112021|500034|000003020|0000000022730483|000003897|0000000029371015|077.50
04112021|500038|000008722|0000000002936698|000013907|0000000004687060|062.72
04112021|500039|000000737|0000000000140546|000000952|0000000000181316|077.42
04112021|500040|000003926|0000000003359675|000007469|0000000006346979|052.56
04112021|500041|000000113|0000000000249165|000000116|0000000000261140|097.41
04112021|500042|000000804|0000000002595393|000001428|0000000004602367|056.30
04112021|500043|000003280|0000000006700876|000007753|0000000015878091|042.31
04112021|500048|000001089|0000000001741257|000001777|0000000002841182|061.28
04112021|500049|000025564|0000000005160094|000037715|0000000007617261|067.78
04112021|500052|000014048|0000000002540581|000021950|0000000003965367|064.00
04112021|500055|000111946|0000000009874344|000111946|0000000009874344|100.00
04112021|500058|000010615|0000000000097599|000010615|0000000000097599|100.00
04112021|500060|000004063|0000000000350028|000005173|0000000000446033|078.54
04112021|500067|000001889|0000000001931975|000002655|0000000002713337|071.15
04112021|500068|000001081|0000000006171808|000001105|0000000006340096|097.83
04112021|500069|000000589|0000000000185329|000000709|0000000000220857|083.07
04112021|500074|000026568|0000000002238613|000026568|0000000002238613|100.00
