DATE|SCRIP CODE|DELIVERY QTY|DELIVERY VAL|DAY'S VOLUME|DAY'S TURNOVER|DELV. PER.
23082023|543215|000000120|0000000000137225|000000120|0000000000137315|100.00
23082023|543216|000000335|0000000000385880|000000503|0000000000578060|066.60
23082023|543217|000003144|0000000000971528|000003707|0000000001140002|084.81
23082023|543218|000019129|0000000005510109|000026292|0000000007512722|072.76
23082023|543219|000000264|0000000000052373|000000270|0000000000053633|097.78
23082023|543220|000015237|0000000008852697|000030438|0000000017580353|050.06
23082023|543221|000020719|0000000000671296|000024576|0000000000797667|084.31
23082023|543223|000021397|0000000003352910|000030915|0000000004893595|069.21
23082023|543224|000000134|0000000000060459|000000163|0000000000072744|082.21
23082023|543226|000011200|0000000000504448|000012857|0000000000579904|087.11
23082023|543227|000031931|0000000029258376|000056470|0000000051653061|056.54
23082023|543228|000001941|0000000003022623|000003399|0000000005275660|057.10
23082023|543229|000000196|0000000000055988|000000196|0000000000055988|100.00
23082023|543230|000028739|0000000012579061|000046750|0000000019989206|061.47
23082023|543232|000246156|0000000613236135|000247305|0000000619717124|099.54
23082023|543233|000004447|0000000001132429|000006211|0000000001590798|071.60
23082023|543234|000001250|0000000000111125|000001250|0000000000111125|100.00
23082023|543235|000016535|0000000028986682|000032099|0000000055912145|051.51
23082023|543236|000005685|0000000001192998|000005918|0000000001233565|096.06
23082023|543237|000013686|0000000025651670|000068242|0000000128726334|020.06
23082023|543238|000003366|0000000002524837|000005372|0000000004027597|062.66
23082023|543239|000001400|0000000000168000|000001400|0000000000168000|100.00
23082023|543240|000005412|0000000001577328|000020050|0000000005848658|026.99
23082023|543242|000072417|0000000008744353|000149774|0000000018272966|048.35
23082023|543243|000190589|0000000016142889|000384817|0000000032793125|049.53
23082023|543244|000010000|0000000000620000|000010000|0000000000628000|100.00
23082023|543245|000007668|0000000012125792|000014651|0000000023300106|052.34
23082023|543246|000000441|0000000000013901|000000462|0000000000014506|095.45
23082023|543248|000009583|0000000001114024|000018921|0000000002205334|050.65
23082023|543249|000091570|0000000008422609|000165380|0000000015331488|055.37
23082023|543250|000000020|0000000000001050|000000036|0000000000001890|055.56
23082023|543251|000005824|0000000000181476|000009452|0000000000277838|061.62
23082023|543252|000000357|0000000000393057|000000587|0000000000643038|060.82
23082023|543253|000001519|0000000001571102|000003007|0000000003091641|050.52
23082023|543254|000023189|0000000007951509|000043009|0000000014840032|053.92
23082023|543255|000000032|0000000000020069|000000035|0000000000021981|091.43
23082023|543256|000000501|0000000000013026|000000501|0000000000012526|100.00
23082023|543257|000764539|0000000036499092|001972100|0000000094320434|038.77
23082023|543258|000001317|0000000002014879|000002226|0000000003420963|059.16
23082023|543259|000001020|0000000000880719|000002097|0000000001820449|048.64
23082023|543260|000001917|0000000001008726|000006887|0000000003649902|027.84
23082023|543261|000012581|0000000003131034|000018163|0000000004526736|069.27
23082023|543263|000004431|0000000000350714|000007594|0000000000605193|058.35
23082023|543264|000002919|0000000000973937|000002919|0000000000973937|100.00
23082023|543265|000176991|0000000029734488|000460220|0000000078157661|038.46
23082023|543266|000000616|0000000000209718|000001070|0000000000365124|057.57
23082023|543267|000018847|0000000001971585|000027574|0000000002879067|068.35
23082023|543268|000001477|0000000000059819|000001775|0000000000072251|083.21
23082023|543270|000023878|0000000053027069|000052170|0000000115048123|045.77
23082023|543271|000111425|0000000053055014|000185967|0000000087286582|059.92
23082023|543272|002123007|0000000082988344|006375091|0000000254482743|033.30
23082023|543273|000029375|0000000049288313|000042625|0000000071060050|068.91
23082023|543274|000009000|0000000000057960|000011700|0000000000075258|076.92
23082023|543275|000006166|0000000006242151|000010656|0000000010769639|057.86
23082023|543276|000000408|0000000002004566|000000717|0000000003534505|056.90
23082023|543277|000026488|0000000006795497|000047732|0000000012297883|055.49
23082023|543278|000040310|0000000008968975|000120790|0000000026958902|033.37
23082023|543279|000011392|0000000002080749|000034964|0000000006385666|032.58
23082023|543280|000002776|0000000001963465|000006679|0000000004724767|041.56
23082023|543281|000060669|0000000000290605|000090985|0000000000451369|066.68
23082023|543282|000001200|0000000000341880|000001200|0000000000341910|100.00
23082023|543283|000002856|0000000001993917|000006792|0000000004778431|042.05
23082023|543284|000044056|0000000019415480|000065812|0000000029154682|066.94
23082023|543286|000036000|0000000000864000|000036000|0000000000894000|100.00
23082023|543287|000008807|0000000006111178|000019017|0000000013290918|046.31
23082023|543288|000018206|0000000004966597|000027066|0000000007455584|067.27
23082023|543290|000060655|0000000006838245|000083104|0000000009362755|072.99
23082023|543291|000102220|0000000006314130|000119752|0000000007355086|085.36
23082023|543292|000000001|0000000000000098|000000002|0000000000000195|050.00
23082023|543297|000001091|0000000002970793|000001282|0000000003534250|085.10
23082023|543298|000005726|0000000000294889|000021301|0000000001115528|026.88
23082023|543299|000023537|0000000011063567|000031987|0000000014947232|073.58
23082023|543300|000148072|0000000086910861|000268770|0000000163705872|055.09
23082023|543305|000120000|0000000001209600|000144000|0000000001463160|083.33
23082023|543306|000006084|0000000004452880|000010891|0000000008032700|055.86
23082023|543308|000000676|0000000001332295|000001420|0000000002816618|047.61
23082023|543309|000072000|0000000001857600|000072000|0000000001845660|100.00
23082023|543311|000000652|0000000000140376|000000981|0000000000211996|066.46
23082023|543317|000000695|0000000000872538|000001149|0000000001449342|060.49
23082023|543318|000002520|0000000003541356|000006791|0000000009566958|037.11
23082023|543319|000272000|0000000002826080|000480000|0000000004995840|056.67
23082023|543320|002776869|0000000261803210|004901424|0000000457564313|056.65
23082023|543321|000000967|0000000001627220|000001197|0000000002010932|080.79
23082023|543322|000001737|0000000001111333|000004385|0000000002821098|039.61
23082023|543323|000013817|0000000000277722|000016494|0000000000328778|083.77
23082023|543324|000004860|0000000001411830|000005670|0000000001622430|085.71
23082023|543325|000000789|0000000001696074|000001365|0000000002950940|057.80
23082023|543326|000000399|0000000000213705|000000528|0000000000282556|075.57
23082023|543327|000008133|0000000000981654|000013701|0000000001690551|059.36
23082023|543328|000011137|0000000006520714|000027200|0000000015793987|040.94
23082023|543329|000011890|0000000004322610|000019999|0000000007336419|059.45
23082023|543330|000018373|0000000003586410|000034386|0000000006742043|053.43
23082023|543331|000035841|0000000002878750|000055187|0000000004496922|064.94
23082023|543332|000002778|0000000002462559|000005028|0000000004503466|055.25
23082023|543333|000011646|0000000005897535|000021011|0000000010726005|055.43
23082023|543334|000005986|0000000002043621|000009175|0000000003151104|065.24
23082023|543335|000013050|0000000003561998|000031031|0000000008462163|042.05
23082023|543336|000007981|0000000003832477|000021795|0000000010463139|036.62
23082023|543341|000023251|0000000000127738|000023251|0000000000127738|100.00
23082023|543346|000002000|0000000000117780|000002000|0000000000117000|100.00
23082023|543347|000000021|0000000000006761|000000021|0000000000006760|100.00
23082023|543348|000000015|0000000000001459|000000024|0000000000002343|062.50
23082023|543349|000017089|0000000023423038|000035084|0000000047854598|048.71
23082023|543350|000004642|0000000002264136|000007281|0000000003547064|063.75
23082023|543357|000000002|0000000000000170|000000003|0000000000000253|066.67
23082023|543358|000012403|0000000011691068|000018308|0000000017215752|067.75
23082023|543363|000020000|0000000009011000|000024400|0000000011103440|081.97
23082023|543364|000007200|0000000000943200|000012000|0000000001585080|060.00
23082023|543365|000002150|0000000000069768|000002376|0000000000076660|090.49
23082023|543366|000020400|0000000001569168|000045600|0000000003525408|044.74
23082023|543367|000042067|0000000030187280|000137989|0000000098588477|030.49
23082023|543373|000002000|0000000000265000|000003000|0000000000396750|066.67
23082023|543374|000002069|0000000000812290|000003194|0000000001256615|064.78
23082023|543376|000005000|0000000000148750|000005000|0000000000148750|100.00
23082023|543377|000020000|0000000000163000|000020000|0000000000162500|100.00
23082023|543383|000000155|0000000000013084|000000210|0000000000017758|073.81
23082023|543384|000140678|0000000019019666|000296626|0000000040170925|047.43
23082023|543386|000021207|0000000007897487|000034041|0000000012676865|062.30
23082023|543387|000018204|0000000011809845|000061718|0000000040460648|029.50
23082023|543388|000000272|0000000000063602|000000276|0000000000064539|098.55
23082023|543389|000011019|0000000004045075|000017000|0000000006251231|064.82
23082023|543390|000013936|0000000010337028|000034029|0000000025175160|040.95
23082023|543396|000112755|0000000102110928|000275249|0000000244674244|040.96
23082023|543397|000004187|0000000005697879|000005291|0000000007140450|079.13
23082023|543398|000098836|0000000042158496|000200792|0000000086777808|049.22
23082023|543399|000010409|0000000005392903|000014712|0000000007619135|070.75
23082023|543400|000020000|0000000000169800|000028000|0000000000232060|071.43
23082023|543401|000005364|0000000006702318|000008471|0000000010470916|063.32
23082023|543410|000012000|0000000000855000|000012000|0000000000855000|100.00
23082023|543411|000023010|0000000001735875|000038345|0000000002923615|060.01
23082023|543412|000005688|0000000003524001|000010818|0000000006720013|052.58
23082023|543413|000015522|0000000014077678|000035082|0000000032348753|044.24
23082023|543414|000044061|0000000000638885|000071247|0000000001026328|061.84
23082023|543415|000001698|0000000002392567|000003641|0000000005146981|046.64
23082023|543416|000001713|0000000000215492|000001713|0000000000215492|100.00
23082023|543417|000025913|0000000014914228|000039010|0000000022534461|066.43
23082023|543418|000000011|0000000000011860|000000013|0000000000014041|084.62
23082023|543419|000536970|0000000046088136|001277442|0000000108592939|042.03
23082023|543420|000038252|0000000000369315|000038252|0000000000369315|100.00
23082023|543425|000007440|0000000012330312|000012117|0000000020128898|061.40
23082023|543426|000004472|0000000004676371|000009064|0000000009361753|049.34
23082023|543427|000000462|0000000000414692|000000880|0000000000791457|052.50
23082023|543428|000004331|0000000010286342|000015631|0000000037229863|027.71
23082023|543433|000005670|0000000002924870|000028022|0000000014655900|020.23
23082023|543434|000003667|0000000000978173|000007552|0000000002023138|048.56
23082023|543435|000002490|0000000000454550|000003320|0000000000616731|075.00
23082023|543437|000001697|0000000000089925|000002099|0000000000111291|080.85
