SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI,ISIN_CODE,FILLER1,FILLER2,FILLER3
500002,ABB LTD.    ,A ,Q,1515,1528,1481,1486.3,1486.3,1506.3,661,8129,12222465,,INE117A01022,,,
500003,AEGIS LOGIS ,B ,Q,194.25,195.65,190.8,191.7,191.7,194.05,304,20382,3940312,,INE208C01025,,,
500008,AMAR RAJA BA,A ,Q,844.2,854,842.2,847.6,847.6,841.9,812,18544,15747650,,INE885A01032,,,
500009,A.SARABHAI  ,XD,Q,9.98,9.98,9.45,9.48,9.48,9.6,82,45164,429495,,INE432A01017,,,
500010,HDFC        ,A ,Q,1634.9,1660,1632.6,1654.7,1650.35,1627.4,2237,51076,84340965,,INE001A01036,,,
500012,ANDHRA PETRO,XC,Q,25.65,26.45,25.65,26,26.15,26.15,100,25811,674138,,INE714B01016,,,
500013,ANSAL INFRAS,B ,Q,30.4,30.5,28.55,29.15,28.75,29.95,737,201510,6027327,,INE436A01026,,,
500014,APPLE FINANC,XT,Q,4,4,3.64,3.7,3.7,3.83,22,3701,13761,,INE096A01010,,,
500020,BOM DYEING  ,B ,Q,87.05,90.6,84.9,86.3,86.3,87.3,5574,1260811,111636561,,INE032A01023,,,
500023,ASIANHOTNR  ,B ,Q,130.5,134,130.5,134,134,130.25,3,1030,136270,,INE363A01022,,,
500024,ASSAMCO     ,B ,Q,6.84,6.89,6.51,6.58,6.65,6.74,173,112301,758008,,INE442A01024,,,
500027,ATUL LTD.   ,A ,Q,2477.7,2525,2461.9,2477.95,2477.95,2472.45,218,1265,3157715,,INE100A01010,,,
500028,ATV PROJECTS,XT,Q,10,10.3,9.65,9.87,10,10,67,20340,204741,,INE447A01015,,,
500029,AUTOLITE(I) ,B ,Q,62.3,63,60.75,61.1,61.65,61.75,71,7440,457598,,INE448A01013,,,
500031,BAJAJ ELECT.,A ,Q,342.5,345,339.1,339.5,339.5,342.8,421,208397,71280256,,INE193E01025,,,
500032,BAJAJHIND   ,B ,Q,15.3,15.5,14.9,14.95,14.95,15.3,845,738989,11229855,,INE306A01021,,,
500033,FORCE MOTR  ,B ,Q,4205.2,4499,4205,4376.55,4376.55,4207.95,17447,228543,1006045342,,INE451A01017,,,
500034,BAJFINANCE  ,A ,Q,1416,1425.9,1395.25,1400.85,1401,1414.95,2226,125849,177724809,,INE296A01024,,,
500038,BALRAM.CHINI,A ,Q,151.95,152.25,148.4,149.4,149.4,149.85,1117,150724,22727998,,INE119A01028,,,
500039,BANCO PROD. ,B ,Q,224,229.8,224,225.5,225.5,224.8,503,17426,3956588,,INE213C01025,,,
500040,CENTURY TEXT,A ,Q,1126.55,1147.6,1109.8,1118,1118,1127.95,1820,56539,64041413,,INE055A01016,,,
500041,BANNARI AMAN,B ,Q,1808,1839.25,1808,1839.25,1839.25,1808.45,2,15,27276,,INE459A01010,,,
500042,BASF INDIA  ,B ,Q,1667,1703,1622.15,1639.9,1639.9,1682.05,719,4036,6726323,,INE373A01013,,,
500043,BATA INDIA  ,A ,Q,525,530.7,520.05,522.65,522.65,527.7,974,32526,17075262,,INE176A01028,,,
500048,BEML LTD    ,A ,Q,1509,1570.45,1509,1544.4,1544.4,1508.2,8455,151089,233963624,,INE258A01016,,,
500049,BHARAT ELECT,A ,Q,169.9,169.9,165.45,166.45,166.45,169.1,4851,249459,41924299,,INE263A01024,,,
500052,BHANSALI ENG,B ,Q,58.5,58.5,53,54.75,54.75,56.95,3285,798641,44807448,,INE922A01025,,,
500055,BHUSH STEEL ,B ,Q,78.7,83,68,69.15,69.15,76.9,26338,4099017,310567070,,INE824B01021,,,
500058,BIHAR SPONGE,XT,Q,1.75,1.9,1.73,1.89,1.89,1.81,31,15377,27864,,INE819C01011,,,
500059,BINANI IND. ,B ,Q,80.3,80.5,75.55,76.35,76,79.1,305,21406,1662740,,INE071A01013,,,
500060,BIRLACABLE  ,B ,Q,42.6,46,42.45,43.1,43,41.55,257,28928,1282893,,INE800A01015,,,
500067,BLUE STAR   ,B ,Q,636.8,644.95,625,631.05,633.25,635.8,583,352755,225756813,,INE472A01039,,,
500068,DISA INDIA  ,XC,Q,5025.1,5035,4960,4998.85,5000,5150,21,331,1655518,,INE131C01011,,,
500069,BNK CAPITAL ,XD,Q,73,73,68.95,69,69,66.45,16,1282,88719,,INE418C01012,,,
500074,BPL LTD.    ,B ,Q,73.45,74.2,70.6,71.05,71.05,73.25,338,34894,2517639,,INE110A01019,,,
500078,CAMPH.& ALL ,XC,Q,818,818,810.4,810.45,810.4,817.4,31,1778,1442442,,INE959C01015,,,
500083,CENTURY EXT ,B ,Q,5.1,5.24,4.9,4.9,4.99,5.05,26,22638,113080,,INE281A01026,,,
500084,CESC LTD.   ,A ,Q,899,903.1,875.2,881.3,881.3,898.5,868,23088,20473523,,INE486A01013,,,
500085,CHAMBAL FERT,B ,Q,123.7,125.55,121.4,122.65,122.65,122.3,742,91690,11334348,,INE085A01013,,,
500086,EXIDE IND.  ,A ,Q,226.3,226.3,216.9,218.7,218.7,225.05,1549,322366,72055855,,INE302A01020,,,
500087,CIPLA LTD.  ,A ,Q,541,545.55,537.55,538.9,539.25,540.85,1512,82015,44379176,,INE059A01026,,,
500089,DIC INDIA   ,B ,Q,515.05,549,515,534.4,532,514.45,165,1863,993038,,INE303A01010,,,
500092,CRISIL LTD  ,A ,Q,1936.75,1938.8,1908.8,1919.95,1930,1918.3,102,15349,29466397,,INE007A01025,,,
