anti,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI,ISIN_CODE,TRADING_DATE,FILLER2,FILLER3
500002,ABB LTD.    ,B ,Q,836,870.35,835,860.45,855.65,835.85,466,3853,3305668,,INE117A01022,26-Mar-20,,
500003,AEGIS LOGIS ,A ,Q,115.9,127.05,108.1,127,127,115.5,397,12533,1542291,,INE208C01025,26-Mar-20,,
500008,AMAR RAJA BA,A ,Q,448,457.6,413.25,439.85,434.4,416.05,934,15141,6701546,,INE885A01032,26-Mar-20,,
500009,A.SARABHAI  ,X ,Q,16.7,16.7,16.7,16.7,16.7,15.95,23,5444,90914,,INE432A01017,26-Mar-20,,
500010,HDFC        ,A ,Q,1678,1842.85,1674.4,1749.9,1749.9,1643.55,17068,274495,482885800,,INE001A01036,26-Mar-20,,
500012,ANDHRA PETRO,Z ,Q,15.1,16.5,15.1,15.95,15.9,15.75,151,53700,874914,,INE714B01016,26-Mar-20,,
500013,ANSAL INFRAS,B ,Q,3.78,4.14,3.78,4.11,4.11,3.97,19,6411,25190,,INE436A01026,26-Mar-20,,
500014,UTIQUE      ,X ,Q,1.3,1.3,1.3,1.3,1.3,1.35,6,2710,3523,,INE096A01010,26-Mar-20,,
500020,BOM DYEING  ,A ,Q,41,44.4,41,43.75,44,40.4,2743,175951,7651178,,INE032A01023,26-Mar-20,,
500023,ASIANHOTNR  ,B ,Q,61.1,72,55,61,61,65,95,2117,132773,,INE363A01022,26-Mar-20,,
500027,ATUL LTD.   ,A ,Q,3713.65,4041.6,3712.7,3970.05,3970.05,3713.65,502,1451,5735097,,INE100A01010,26-Mar-20,,
500028,ATV PROJECTS,XT,Q,2.8,2.8,2.71,2.71,2.71,2.8,7,1298,3580,,INE447A01015,26-Mar-20,,
500029,AUTOLITE(I) ,B ,Q,13.2,13.2,11.75,11.75,11.75,13.05,34,358,4248,,INE448A01013,26-Mar-20,,
500031,BAJAJ ELECT.,A ,Q,282,295,277.1,285.75,288,283.6,674,6046,1740291,,INE193E01025,26-Mar-20,,
500032,BAJAJHIND   ,B ,Q,2.4,2.55,2.34,2.37,2.37,2.43,480,784241,1882796,,INE306A01021,26-Mar-20,,
500033,FORCE MOTR  ,A ,Q,645.95,720,632,700.05,700,638.65,1668,9238,6373710,,INE451A01017,26-Mar-20,,
500034,BAJFINANCE  ,A ,Q,2655,2889.9,2571.7,2794.35,2794.35,2585.9,24042,208273,571801334,,INE296A01024,26-Mar-20,,
500038,BALRAM.CHINI,A ,Q,76.85,81.85,74.3,81.85,81.85,74.45,1561,42286,3416152,,INE119A01028,26-Mar-20,,
500039,BANCO PROD. ,B ,Q,62.15,65.1,60.55,63.4,63.5,59.95,347,9288,587668,,INE213C01025,26-Mar-20,,
500040,CENTURY TEXT,A ,Q,260,292.65,255.1,271.25,271.25,254.5,2811,95412,26450569,,INE055A01016,26-Mar-20,,
500041,BANNARI AMAN,B ,Q,759.45,767.6,636.05,767.6,767.6,698,11,30,21701,,INE459A01010,26-Mar-20,,
500042,BASF INDIA  ,A ,Q,1100,1190,1030.1,1132.1,1125.5,1083.45,524,2979,3411353,,INE373A01013,26-Mar-20,,
500043,BATA INDIA  ,A ,Q,1198,1267.75,1127.15,1229.2,1260,1152.65,5435,55272,66736335,,INE176A01028,26-Mar-20,,
500048,BEML LTD    ,A ,Q,409.5,446.65,405.6,427.6,438.9,406.35,1070,14576,6210355,,INE258A01016,26-Mar-20,,
500049,BHARAT ELECT,A ,Q,63,68.5,61.25,67.2,67.2,62.6,2207,675090,44335510,,INE263A01024,26-Mar-20,,
500052,BHANSALI ENG,B ,Q,26.1,28.8,26.05,28.2,28.2,26.2,557,34678,967557,,INE922A01025,26-Mar-20,,
500055,TATASTLBSL  ,B ,Q,17.55,17.8,16.7,16.9,17,17.15,432,87515,1511240,,INE824B01021,26-Mar-20,,
500058,BIHAR SPONGE,XT,Q,0.38,0.38,0.38,0.38,0.38,0.38,1,100,38,,INE819C01011,26-Mar-20,,
500060,BIRLACABLE  ,B ,Q,28.65,32.7,27.65,31.5,32.7,27.25,605,7941,243219,,INE800A01015,26-Mar-20,,
500067,BLUE STAR   ,A ,Q,489,616.85,489,514.7,530,529.65,422,2063,1066902,,INE472A01039,26-Mar-20,,
500068,DISA INDIA  ,X ,Q,3100,3298.95,3070.05,3176,3176,3041.8,34,121,394367,,INE131C01011,26-Mar-20,,
500074,BPL LTD.    ,B ,Q,9.7,10.25,9.35,9.45,9.9,9.45,70,17688,168405,,INE110A01019,26-Mar-20,,
500078,OAL         ,B ,Q,129.9,137.95,124.7,137.15,137.15,130,63,392,52061,,INE959C01023,26-Mar-20,,
500084,CESC LTD.   ,A ,Q,377.1,400,373.5,391.35,389.2,378.8,582,10288,3995300,,INE486A01013,26-Mar-20,,
500085,CHAMBAL FERT,A ,Q,107.35,111.55,105,108,108,104.6,1139,33754,3659545,,INE085A01013,26-Mar-20,,
500086,EXIDE IND.  ,A ,Q,133,134.5,125,126.65,128.25,131.9,2530,108571,13966090,,INE302A01020,26-Mar-20,,
500087,CIPLA LTD.  ,A ,Q,384.5,394.1,381.1,386.65,386.65,376.7,2783,130846,50667703,,INE059A01026,26-Mar-20,,
500089,DIC INDIA   ,B ,Q,300.95,308,276.15,276.15,276.15,282.1,36,270,79173,,INE303A01010,26-Mar-20,,
500092,CRISIL LTD  ,A ,Q,1253.9,1452,1253.9,1401.65,1409.9,1254.1,829,2977,3995108,,INE007A01025,26-Mar-20,,
500093,CGPOWER     ,B ,Q,5,5.21,5,5.05,5.16,5.26,144,153353,770229,,INE067A01029,26-Mar-20,,
