SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI,ISIN_CODE,TRADING_DATE,FILLER2,FILLER3
500002,ABB LTD.    ,B ,Q,800,813.2,785,808.35,807,810.4,828,6727,5401881,,INE117A01022,12-Jun-20,,
500003,AEGIS LOGIS ,A ,Q,179.95,183.3,175.1,181.7,183.3,182.7,606,5275,948836,,INE208C01025,12-Jun-20,,
500008,AMAR RAJA BA,A ,Q,611,660,611,657.15,652.75,640.95,1077,24890,15934590,,INE885A01032,12-Jun-20,,
500009,A.SARABHAI  ,X ,Q,15.1,15.45,15,15.2,15.35,15.5,119,30244,458432,,INE432A01017,12-Jun-20,,
500010,HDFC        ,A ,Q,1717,1809.6,1711,1792.6,1792.6,1787.1,14179,272203,476800419,,INE001A01036,12-Jun-20,,
500012,ANDHRA PETRO,X ,Q,23.05,24.6,22.6,24,24,24.55,212,51133,1222117,,INE714B01016,12-Jun-20,,
500013,ANSAL INFRAS,T ,Q,3.93,4.15,3.86,4.01,4,4.06,40,65417,255210,,INE436A01026,12-Jun-20,,
500014,UTIQUE      ,X ,Q,0.97,1,0.97,1,1,0.97,2,1001,1000,,INE096A01010,12-Jun-20,,
500016,ARUNAHTEL   ,XT,Q,6.65,6.65,6.65,6.65,6.65,6.99,1,10,66,,INE957C01019,12-Jun-20,,
500020,BOM DYEING  ,A ,Q,61.95,64.2,60,63.35,63.35,63.65,2221,216186,13503130,,INE032A01023,12-Jun-20,,
500023,ASIANHOTNR  ,B ,Q,52.8,54.85,51.5,54.55,54.45,55.3,75,1243,66850,,INE363A01022,12-Jun-20,,
500027,ATUL LTD.   ,A ,Q,4424.5,4557,4420,4522.7,4503,4513.95,254,626,2803536,,INE100A01010,12-Jun-20,,
500028,ATV PROJECTS,XT,Q,3.3,3.3,3.14,3.14,3.14,3.3,21,16090,50714,,INE447A01015,12-Jun-20,,
500029,AUTOLITE(I) ,B ,Q,17.5,17.8,17.1,17.4,17.75,17.95,17,2439,41942,,INE448A01013,12-Jun-20,,
500031,BAJAJ ELECT.,A ,Q,390,395.7,386.15,393.2,393.2,404.5,897,7525,2959396,,INE193E01025,12-Jun-20,,
500032,BAJAJHIND   ,B ,Q,5.85,6.45,5.85,6.45,6.45,6.15,1320,1843834,11215767,,INE306A01021,12-Jun-20,,
500033,FORCE MOTR  ,A ,Q,880,910,876.05,900.85,900.85,907.05,701,4243,3791082,,INE451A01017,12-Jun-20,,
500034,BAJFINANCE  ,A ,Q,2200,2468.8,2199,2448.95,2448.95,2337.15,41219,555315,1311165261,,INE296A01024,12-Jun-20,,
500038,BALRAM.CHINI,A ,Q,129.9,134.8,124.85,134,134,134.25,2349,164944,21587590,,INE119A01028,12-Jun-20,,
500039,BANCO PROD. ,B ,Q,71.1,72.8,67.45,71.1,71.1,70.6,782,48330,3411448,,INE213C01025,12-Jun-20,,
500040,CENTURY TEXT,A ,Q,280,300.25,279.3,299.35,299.35,293.35,2019,91155,26470733,,INE055A01016,12-Jun-20,,
500041,BANNARI AMAN,B ,Q,948.85,1010.25,948.85,977.2,977.4,965.05,8,21,20217,,INE459A01010,12-Jun-20,,
500042,BASF INDIA  ,A ,Q,1075,1095.6,1054.9,1080.9,1080,1100.95,394,1624,1749823,,INE373A01013,12-Jun-20,,
500043,BATA INDIA  ,A ,Q,1283,1373.6,1280,1367.7,1369,1339.95,4183,53172,71519668,,INE176A01028,12-Jun-20,,
500048,BEML LTD    ,A ,Q,589.95,602,570.25,596.45,597,600.25,1784,49686,29201368,,INE258A01016,12-Jun-20,,
500049,BHARAT ELECT,A ,Q,68.75,72.2,67.8,71.85,71.85,70.7,3248,799654,56119481,,INE263A01024,12-Jun-20,,
500052,BHANSALI ENG,B ,Q,46.35,46.35,42.5,45.65,45.65,46.35,877,83121,3719039,,INE922A01025,12-Jun-20,,
500055,TATASTLBSL  ,B ,Q,19,19.65,18.45,19.5,19.65,19.45,991,73747,1399888,,INE824B01021,12-Jun-20,,
500058,BIHAR SPONGE,XT,Q,0.66,0.69,0.66,0.69,0.69,0.66,19,11989,8148,,INE819C01011,12-Jun-20,,
500060,BIRLACABLE  ,B ,Q,44,44.2,42.35,43.7,44.2,44.7,109,6300,271012,,INE800A01015,12-Jun-20,,
500067,BLUE STAR   ,A ,Q,500,505,493.4,503.5,500.7,512.9,256,1530,766600,,INE472A01039,12-Jun-20,,
500068,DISA INDIA  ,X ,Q,3470,3500,3401,3500,3500,3489.3,33,107,370493,,INE131C01011,12-Jun-20,,
500069,BNK CAPITAL ,X ,Q,56.7,56.7,51.95,52.4,51.95,54.6,10,461,24085,,INE418C01012,12-Jun-20,,
500074,BPL LTD.    ,B ,Q,15.6,16.58,14.96,15.9,15.9,16.21,126,36371,568309,,INE110A01019,12-Jun-20,,
500078,OAL         ,B ,Q,172,190.55,169.05,178.75,178.4,178.65,337,5655,1013147,,INE959C01023,12-Jun-20,,
500083,CENTURY EXT ,B ,Q,3.03,3.2,2.92,3.18,3.2,3.18,35,21012,63823,,INE281A01026,12-Jun-20,,
500084,CESC LTD.   ,A ,Q,604.1,642.7,591.6,639.35,640.55,618.8,831,6561,4019079,,INE486A01013,12-Jun-20,,
500085,CHAMBAL FERT,A ,Q,135,136.5,134,135.65,135.65,137.65,1102,56950,7711288,,INE085A01013,12-Jun-20,,
500086,EXIDE IND.  ,A ,Q,147,155.2,145,154.65,154.65,151.95,4452,282812,42624278,,INE302A01020,12-Jun-20,,
500087,CIPLA LTD.  ,A ,Q,625,645,618.85,643.65,642.55,634.95,3861,169572,107477289,,INE059A01026,12-Jun-20,,
500089,DIC INDIA   ,B ,Q,303.25,324,293.15,322.1,324,314.45,65,614,188801,,INE303A01010,12-Jun-20,,
500092,CRISIL LTD  ,A ,Q,1450.65,1469.9,1436.55,1454.15,1451.25,1475.95,143,355,516600,,INE007A01025,12-Jun-20,,
500093,CGPOWER     ,B ,Q,6.02,6.56,6.01,6.47,6.51,6.29,185,126735,790174,,INE067A01029,12-Jun-20,,
500096,DABUR (I)   ,A ,Q,440,457,431.3,455.6,455.6,450.3,2405,91505,41146538,,INE016A01026,12-Jun-20,,
500097,DALMIASUG   ,B ,Q,95.4,105,90.05,102.35,102,96.8,639,33696,3299556,,INE495A01022,12-Jun-20,,
500101,ARVIND Ltd  ,A ,Q,33.6,35.3,31.65,34.65,34.65,33.65,1722,460815,15550228,,INE034A01011,12-Jun-20,,
500102,BALARPUR IND,B ,Q,0.67,0.67,0.67,0.67,0.67,0.64,8,6631,4442,,INE294A01037,12-Jun-20,,
500103,BHEL        ,A ,Q,28.9,31.8,28.3,31.45,31.45,30,7426,4826333,146560807,,INE257A01026,12-Jun-20,,
500104,HIND.PETRO  ,A ,Q,200,213.6,199.8,210.85,210.85,205.3,6047,564384,117693672,,INE094A01015,12-Jun-20,,
500106,IFCI LTD    ,A ,Q,6.58,6.8,6.22,6.69,6.69,6.76,75888,1118955,7315323,,INE039A01010,12-Jun-20,,
500108,MAHA.TELE   ,B ,Q,8.81,8.9,8.37,8.82,8.82,9.16,2217,109349,953272,,INE153A01019,12-Jun-20,,
500109,MRPL        ,A ,Q,31.95,34.15,30.25,32.7,32.75,32.15,1245,470398,15314876,,INE103A01014,12-Jun-20,,
500110,CHENNAI PET.,A ,Q,70.5,71.4,66.15,70.45,70.45,72.2,1194,70517,4876550,,INE178A01016,12-Jun-20,,
500111,REL.CAP.    ,T ,Q,7.62,8.15,7.6,8.06,8.06,8,800,424190,3304218,,INE013A01015,12-Jun-20,,
500112,STATE BANK  ,A ,Q,170.7,180.1,170,179.25,179.25,177.2,30804,5468766,957026826,,INE062A01020,12-Jun-20,,
500113,STEEL AUTH. ,A ,Q,29,30.5,28.5,30.35,30.35,30,3689,1190587,35261785,,INE114A01011,12-Jun-20,,
500114,TITAN       ,A ,Q,919,984.25,908.5,977.7,977.7,951,11610,257734,247815738,,INE280A01028,12-Jun-20,,
500116,IDBI BANK L ,A ,Q,30.45,32.45,30.45,31.65,31.65,32.05,1147,466645,14443215,,INE008A01015,12-Jun-20,,
500117,DCW LTD.    ,B ,Q,10.37,11,10.36,10.92,10.92,10.89,106,21014,225782,,INE500A01029,12-Jun-20,,
500119,DHAMPUR SUGA,B ,Q,125.1,132.85,122.85,131,130.5,131.95,1542,68158,8733050,,INE041A01016,12-Jun-20,,
500120,DIAMINES&CHM,X ,Q,185,205,185,201.15,203,194.85,296,17619,3488178,,INE591D01014,12-Jun-20,,
500123,ELANTAS     ,B ,Q,2275,2398.95,2275,2365.5,2360,2354.95,65,824,1938998,,INE280B01018,12-Jun-20,,
500124,DR.REDDY'S  ,A ,Q,3999.8,4035,3982.05,4006.65,4008.95,4055.6,3000,18276,73226490,,INE089A01023,12-Jun-20,,
500125,E.I.D.PAR   ,A ,Q,223.8,229,215.85,226.05,226.05,229.5,2197,58775,13088014,,INE126A01031,12-Jun-20,,
500126,PGHL        ,A ,Q,4100,4100,4030,4054.05,4068.05,4140.85,167,427,1733279,,INE199A01012,12-Jun-20,,
500128,ELEC.CASTING,B ,Q,10.8,11.39,10.5,11.3,11.39,11.26,93,38545,417339,,INE086A01029,12-Jun-20,,
500133,ESAB INDIA  ,B ,Q,1392,1445.25,1377.4,1418.95,1405.7,1483.05,153,584,823547,,INE284A01012,12-Jun-20,,
500135,ESSEL PROP  ,A ,Q,170,178.4,170,175.35,176.75,175.65,96,2408,420913,,INE255A01020,12-Jun-20,,
500136,ESTER INDUS.,B ,Q,37.5,39.35,36.8,38.2,37.8,37.8,163,22205,840740,,INE778B01029,12-Jun-20,,
500142,FGP LTD.    ,X ,Q,1.22,1.22,1.22,1.22,1.22,1.22,1,100,122,,INE512A01016,12-Jun-20,,
500144,FINOL. CABLE,A ,Q,253.5,258.4,245.45,256.45,258.15,262.8,531,5955,1505252,,INE235A01022,12-Jun-20,,
500147,CMI FPE     ,X ,Q,496.95,509,489.9,503.1,509,503.7,23,716,358125,,INE515A01019,12-Jun-20,,
500148,UFLEX LTD   ,A ,Q,181.7,184.5,178.55,183.95,183.95,185.45,486,8868,1608232,,INE516A01017,12-Jun-20,,
500150,FOSECO INDIA,B ,Q,1043,1066.95,1012.05,1059.35,1059.35,1060,49,72,75146,,INE519A01011,12-Jun-20,,
500151,GOLDEN TOB  ,B ,Q,28.35,28.35,25.75,26.35,26.35,27,11,71,1897,,INE973A01010,12-Jun-20,,
500153,GANESH BENZO,X ,Q,37.7,39.25,35.65,38.9,38.9,37.5,231,97083,3618882,,INE388A01029,12-Jun-20,,
500155,GARDEN SILK ,B ,Q,10.4,10.78,10.06,10.65,10.65,10.4,90,2922,30665,,INE526A01016,12-Jun-20,,
500159,METROGLOBL  ,X ,Q,43.25,43.25,39.8,41.95,41.95,41.5,10,745,31883,,INE085D01033,12-Jun-20,,
500160,GTL LTD.    ,B ,Q,1.46,1.54,1.4,1.54,1.54,1.47,19,16900,25716,,INE043A01012,12-Jun-20,,
500163,GODFREY PH  ,A ,Q,951,978.5,951,973.15,971.75,994.4,982,11583,11152890,,INE260B01028,12-Jun-20,,
500164,GODREJ IND  ,A ,Q,396,396,356.7,377.2,380,384.6,642,9023,3341351,,INE233A01035,12-Jun-20,,
500165,KANSAI NERO ,A ,Q,375,390,371.45,383.6,389.75,387.2,362,3966,1502218,,INE531A01024,12-Jun-20,,
500166,GOODRICKE   ,X ,Q,151.15,165,151.15,162.85,162.85,158.4,145,9128,1450913,,INE300A01016,12-Jun-20,,
500168,GOODYEAR (I),B ,Q,706.3,724.95,697,711,711,716.3,824,690293,490803450,,INE533A01012,12-Jun-20,,
500170,GTN INDUS   ,B ,Q,6.86,6.86,6.86,6.86,6.86,7.5,1,1,6,,INE537A01013,12-Jun-20,,
500171,GHCL LTD    ,A ,Q,132,138,128.35,137.3,136.6,135.4,599,21352,2849092,,INE539A01019,12-Jun-20,,
500173,GFLLIMITED  ,B ,Q,89.3,98,89.3,97.05,98,99.2,251,5533,516500,,INE538A01037,12-Jun-20,,
500179,HCL INFOSYS ,B ,Q,8.24,8.24,8.24,8.24,8.24,8.67,56,29591,243829,,INE236A01020,12-Jun-20,,
500180,HDFC BANK   ,A ,Q,929,986.45,928,983,983,968.65,24377,737606,706092907,,INE040A01034,12-Jun-20,,
500182,HEROMOTOCO  ,A ,Q,2270,2412.3,2233.4,2401.25,2401.25,2309,12392,109703,253541098,,INE158A01026,12-Jun-20,,
500183,HFCL        ,A ,Q,12.71,13.35,12.71,12.88,12.88,13.37,1323,566247,7254477,,INE548A01028,12-Jun-20,,
500184,HSCL        ,A ,Q,45.2,46.4,44.35,45.8,45.8,46.8,1258,166266,7553033,,INE019C01026,12-Jun-20,,
500185,HIND.CONSTN.,B ,Q,5.01,5.15,4.99,5.05,5.04,5.23,423,437096,2204597,,INE549A01026,12-Jun-20,,
500186,HIND.OIL EXP,B ,Q,63.75,65.35,62.35,63.25,63.3,65.6,561,36972,2345735,,INE345A01011,12-Jun-20,,
500187,HSIL        ,B ,Q,50.9,52.45,49.05,50.8,50.8,51,348,27865,1407110,,INE415A01038,12-Jun-20,,
500188,HINDUS.ZI   ,A ,Q,170,176,166.95,174.65,174,172.5,876,341343,58443113,,INE267A01025,12-Jun-20,,
500189,NXTDIGITAL  ,B ,Q,414.3,414.3,386,400.7,400.5,421.35,45,524,208298,,INE353A01023,12-Jun-20,,
500191,HMT LTD.    ,Z ,Q,15.99,15.99,14.5,14.88,15.5,15.23,50,8411,128885,,INE262A01018,12-Jun-20,,
500192,PRAG BOSIMI ,XT,Q,2.05,2.2,2.05,2.2,2.2,2.1,6,1205,2495,,INE962B01011,12-Jun-20,,
500193,HLVLTD      ,B ,Q,5,5,4.72,4.84,4.88,5.06,68,30135,145983,,INE102A01024,12-Jun-20,,
500199,I.G.PETRO   ,B ,Q,139,145.05,136,145.05,145.05,145.2,175,1886,263962,,INE204A01010,12-Jun-20,,
500201,IND.GLYCOLS ,B ,Q,280,294.95,280,291.1,291.1,295.65,1368,26622,7684903,,INE560A01015,12-Jun-20,,
500202,IND.LEAS.DEV,X ,Q,7.56,7.56,7.56,7.56,7.56,7.2,1,1,7,,INE333C01013,12-Jun-20,,
500206,MARGO FIN   ,X ,Q,5.51,5.51,5.51,5.51,5.51,5.31,2,200,1102,,INE680B01019,12-Jun-20,,
500207,INDO RAMA   ,B ,Q,14.45,14.7,14,14.69,14.69,14.4,22,3146,45184,,INE156A01020,12-Jun-20,,
500209,INFOSYS LTD ,A ,Q,680,694.8,675.05,692.1,692.1,703.6,12076,513795,352423373,,INE009A01021,12-Jun-20,,
500210,INGERSOLL   ,B ,Q,631.5,637.2,630.05,635,635,635.25,61,860,544436,,INE177A01018,12-Jun-20,,
500211,INSILCO LTD.,X ,Q,9.72,10.9,9.72,10.5,10.5,10.47,37,4425,45329,,INE901A01011,12-Jun-20,,
500213,INTER.TRAVEL,X ,Q,45.5,50.2,45.3,49.65,50.2,47.7,40,12248,594556,,INE262B01016,12-Jun-20,,
500214,ION EXCHANGE,B ,Q,628,674,628,663.95,663.95,679.9,961,18301,12103927,,INE570A01014,12-Jun-20,,
500215,AGRO TECH FO,B ,Q,495.6,507.85,466.2,503.4,503,513.15,98,1269,613261,,INE209A01019,12-Jun-20,,
500219,JAIN IRRIG  ,T ,Q,8.21,8.77,8.21,8.71,8.65,8.64,314,221194,1857665,,INE175A01038,12-Jun-20,,
500220,JASCH INDUST,X ,Q,24,24,24,24,24,24.25,3,380,9120,,INE711C01010,12-Jun-20,,
500223,JCT LTD     ,X ,Q,1.64,1.64,1.64,1.64,1.64,1.67,191,672934,1103611,,INE945A01026,12-Jun-20,,
500227,JINDAL POLYF,B ,Q,313.4,323.8,311.3,320.35,319,325.65,438,5037,1593723,,INE197D01010,12-Jun-20,,
500228,JSWSL       ,A ,Q,180,190.3,175.95,189,189,184.65,9132,2408573,445832793,,INE019A01038,12-Jun-20,,
500231,UMANG DAIR  ,B ,Q,40.35,40.35,39.6,39.6,39.6,40.2,5,202,8020,,INE864B01027,12-Jun-20,,
500233,KAJARIA CER.,A ,Q,349.9,372.75,345,368.15,369.35,356.75,1705,42395,15422799,,INE217B01036,12-Jun-20,,
500234,KAKATIYA CEM,B ,Q,147.5,147.5,139,140.95,140.95,144.4,136,2239,317322,,INE437B01014,12-Jun-20,,
500235,KALYANI STEL,B ,Q,173.55,184.55,170.05,182.1,182.05,178.2,398,5837,1033934,,INE907A01026,12-Jun-20,,
500238,WHIRLPOOL   ,A ,Q,2014.7,2077.8,2004.7,2070.05,2050.2,2051.45,280,1540,3142473,,INE716A01013,12-Jun-20,,
500239,KG DENIM    ,X ,Q,24,25,23.75,24.55,24.55,24.45,43,9035,217856,,INE104A01012,12-Jun-20,,
500240,KINETIC ENG.,XT,Q,20,20.25,19.9,19.9,20,20.25,17,2903,58301,,INE266B01017,12-Jun-20,,
500241,KIRL.BROS.  ,B ,Q,104.05,117,102.5,115.95,116,109.75,456,11119,1227021,,INE732A01036,12-Jun-20,,
500243,KIRL INDUS  ,B ,Q,550,564.3,528,562.4,528,540.3,7,41,22953,,INE250A01039,12-Jun-20,,
500245,KIRL.FERROUS,B ,Q,63.5,64.1,60.65,63.95,64.1,64.65,454,21473,1334311,,INE884B01025,12-Jun-20,,
500246,ENVAIN ELECT,X ,Q,22.8,22.8,22.8,22.8,22.8,21.75,2,100,2280,,INE601C01013,12-Jun-20,,
500247,KOTAK MAH.BK,A ,Q,1249.5,1289,1233,1279.55,1279.55,1298.65,12148,192224,242490937,,INE237A01028,12-Jun-20,,
500249,KSB         ,B ,Q,480,494.9,467,489.95,489.45,520.5,754,5593,2702444,,INE999A01015,12-Jun-20,,
500250,L.G.BALKRISH,B ,Q,208,213.85,202.45,210.3,207.85,211.4,128,924,191125,,INE337A01034,12-Jun-20,,
500251,TRENT LTD.  ,A ,Q,510,524,493.7,513.25,515.6,527.45,2726,28626,14517980,,INE849A01020,12-Jun-20,,
500252,LAXMIMACH   ,A ,Q,2590.1,2699.45,2590,2667.15,2650.05,2675.85,105,199,527898,,INE269B01029,12-Jun-20,,
500253,LIC HOUS.FIN,A ,Q,261,282.9,259.2,280.85,280.85,271.8,12504,863974,232134971,,INE115A01026,12-Jun-20,,
500254,UTTAMVALUE  ,T ,Q,0.29,0.31,0.29,0.29,0.3,0.3,969,9046970,2636909,,INE292A01023,12-Jun-20,,
500257,LUPIN LTD.  ,A ,Q,910,920.2,903.15,911.95,911.95,918.85,2491,58059,52969551,,INE326A01037,12-Jun-20,,
500259,LYKA LABS   ,B ,Q,16.3,17.3,16,16.9,16.9,17.35,64,6976,116327,,INE933A01014,12-Jun-20,,
500260,RAMCOCEM    ,A ,Q,601.05,627.35,601.05,624.9,624.15,612.85,614,14821,9015479,,INE331A01037,12-Jun-20,,
500264,MAFATLAL IND,X ,Q,91.15,98.5,89.3,95.7,96.75,96.1,71,3334,307132,,INE270B01027,12-Jun-20,,
500265,MAH.SEAMLESS,A ,Q,212,214.15,205.3,213,213,218.2,460,7631,1597109,,INE271B01025,12-Jun-20,,
500266,MAH.SCOOTER ,A ,Q,2251,2438,2191.1,2415.3,2394.1,2314.85,385,1400,3213963,,INE288A01013,12-Jun-20,,
500267,MAJESTIC AUT,X ,Q,82,82,76,79.95,81.7,83.05,25,1515,120371,,INE201B01022,12-Jun-20,,
500268,MANALI PETRO,B ,Q,17.55,18,16.66,17.7,17.9,18.05,352,58366,1005328,,INE201A01024,12-Jun-20,,
500271,MFSL        ,A ,Q,470,497.55,463,488.6,489.05,475.7,3407,79418,38291786,,INE180A01020,12-Jun-20,,
500277,MID INDIA IN,XT,Q,0.84,0.84,0.84,0.84,0.84,0.85,1,100,84,,INE401C01018,12-Jun-20,,
500279,MIRC ELECT  ,B ,Q,6.61,7.21,6.6,7.16,7.14,6.94,299,249322,1732247,,INE831A01028,12-Jun-20,,
500280,CENTURY ENKA,B ,Q,179.7,180,173.35,178.6,178.6,183.2,782,19397,3453604,,INE485A01015,12-Jun-20,,
