SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI,ISIN_CODE,TRADING_DATE,FILLER2,FILLER3,,,,,,,,,,
500002,ABB LTD.    ,A ,Q,2542.6,2574.9,2521.9,2558.45,2558.45,2548.5,1164,4616,11804956,,INE117A01022,15-Jul-22,,,,,,,,,,,,
500003,AEGIS LOGIS ,A ,Q,204.5,209.4,204.5,206.75,206.75,207.05,917,21525,4462348,,INE208C01025,15-Jul-22,,,,,,,,,,,,
500008,AMAR RAJA BA,A ,Q,469.1,470.75,465.5,467.9,467.75,465.7,626,9612,4492804,,INE885A01032,15-Jul-22,,,,,,,,,,,,
500009,A.SARABHAI  ,X ,Q,30.75,30.75,30.2,30.25,30.35,30.4,267,40801,1240149,,INE432A01017,15-Jul-22,,,,,,,,,,,,
500010,HDFC        ,A ,Q,2173,2218.9,2171.55,2216.2,2216.2,2168.7,5909,124492,273968797,,INE001A01036,15-Jul-22,,,,,,,,,,,,
500012,ANDHRA PETRO,B ,Q,80,81.25,79.25,79.75,79.75,80.25,414,37454,2986956,,INE714B01016,15-Jul-22,,,,,,,,,,,,
500013,ANSAL INFRAS,B ,Q,17.6,19.27,17.45,19.27,19.27,18.36,771,487530,8906221,,INE436A01026,15-Jul-22,,,,,,,,,,,,
500014,UTIQUE      ,X ,Q,5.38,5.38,5.19,5.21,5.19,5.29,133,18753,98590,,INE096A01010,15-Jul-22,,,,,,,,,,,,
500016,ARUNAHTEL   ,X ,Q,14.4,14.4,13.06,13.2,13.3,13.18,80,13853,185831,,INE957C01019,15-Jul-22,,,,,,,,,,,,
500020,BOM DYEING  ,A ,Q,97.15,97.15,94.75,95.7,95.7,96.2,904,60057,5742049,,INE032A01023,15-Jul-22,,,,,,,,,,,,
500023,ASIANHOTNR  ,B ,Q,81.05,82.15,79.5,81.7,82.15,79.7,22,178,14530,,INE363A01022,15-Jul-22,,,,,,,,,,,,
500027,ATUL LTD.   ,A ,Q,8312.5,8365,8264,8353.4,8365,8249.6,352,474,3941832,,INE100A01010,15-Jul-22,,,,,,,,,,,,
500028,ATV PROJECTS,XT,Q,9.05,9.2,8.43,8.89,8.56,8.85,42,8083,69888,,INE447A01015,15-Jul-22,,,,,,,,,,,,
500031,BAJAJ ELECT.,A ,Q,1138.4,1184.9,1129.5,1177.15,1181,1138.45,912,5400,6257744,,INE193E01025,15-Jul-22,,,,,,,,,,,,
500032,BAJAJHIND   ,A ,Q,12.29,12.29,11.87,11.98,11.98,12.04,1011,647026,7767007,,INE306A01021,15-Jul-22,,,,,,,,,,,,
500033,FORCE MOTR  ,A ,Q,1000.6,1000.6,989,993.35,995.5,992.85,249,1473,1461484,,INE451A01017,15-Jul-22,,,,,,,,,,,,
500034,BAJFINANCE  ,A ,Q,5879.45,5926,5815,5915.45,5915.45,5832.65,5177,30629,179601443,,INE296A01024,15-Jul-22,,,,,,,,,,,,
500038,BALRAM.CHINI,A ,Q,363.95,369.8,358.3,368.05,367.45,359.6,1492,47982,17553996,,INE119A01028,15-Jul-22,,,,,,,,,,,,
500039,BANCO PROD. ,B ,Q,175.6,178,174.1,177.75,177.25,175.1,3667,64277,11321796,,INE213C01025,15-Jul-22,,,,,,,,,,,,
500040,CENTURY TEXT,A ,Q,802.45,803.4,782.9,789.65,786.7,797.95,509,4181,3313102,,INE055A01016,15-Jul-22,,,,,,,,,,,,
500041,BANNARI AMAN,A ,Q,2155.05,2224.15,2155.05,2185.1,2180,2240,55,94,206171,,INE459A01010,15-Jul-22,,,,,,,,,,,,
500042,BASF INDIA  ,A ,Q,2762.35,2766.85,2731.35,2737.3,2736.9,2751.2,364,1361,3738620,,INE373A01013,15-Jul-22,,,,,,,,,,,,
500043,BATA INDIA  ,A ,Q,1801,1816.5,1792.05,1814.25,1809.5,1785,741,4444,8020096,,INE176A01028,15-Jul-22,,,,,,,,,,,,
500048,BEML LTD    ,A ,Q,1308,1314.3,1280.1,1289.35,1280.1,1286.95,781,4111,5337871,,INE258A01016,15-Jul-22,,,,,,,,,,,,
500049,BHARAT ELECT,A ,Q,237.8,246.6,236.7,245.45,245.45,237.35,7948,446514,108021438,,INE263A01024,15-Jul-22,,,,,,,,,,,,
500052,BHANSALI ENG,A ,Q,114.55,115.45,110.7,112.3,112.25,114.1,1533,38751,4351652,,INE922A01025,15-Jul-22,,,,,,,,,,,,
500058,BIHAR SPONGE,XT,Q,9.14,9.14,8.52,8.86,9,8.88,75,8893,77799,,INE819C01011,15-Jul-22,,,,,,,,,,,,
500060,BIRLACABLE  ,B ,Q,120.35,121.1,117.5,118.35,118.75,118.1,313,5351,636920,,INE800A01015,15-Jul-22,,,,,,,,,,,,
500067,BLUE STAR   ,A ,Q,982,995.95,964.55,993.15,984.5,976.15,2225,30188,29716689,,INE472A01039,15-Jul-22,,,,,,,,,,,,
500068,DISA INDIA  ,X ,Q,6569,6589.95,6400.05,6442.15,6500,6500,23,76,491625,,INE131C01011,15-Jul-22,,,,,,,,,,,,
500069,QUESTCAP    ,X ,Q,240,247.8,240,240.15,240.1,240.1,50,1765,424218,,INE418C01012,15-Jul-22,,,,,,,,,,,,
500074,BPL LTD.    ,B ,Q,73.85,73.85,67.5,70.15,69.05,70.75,391,16572,1157948,,INE110A01019,15-Jul-22,,,,,,,,,,,,
500078,OAL         ,B ,Q,544,560.05,544,552.1,552.1,549.45,23,162,89594,,INE959C01023,15-Jul-22,,,,,,,,,,,,
500083,CENTURY EXT ,B ,Q,9.62,9.7,9.3,9.42,9.41,9.55,89,9648,90908,,INE281A01026,15-Jul-22,,,,,,,,,,,,
500084,CESC LTD.   ,A ,Q,74.7,75.5,73.5,74.2,74.4,74.3,1085,59650,4431319,,INE486A01021,15-Jul-22,,,,,,,,,,,,
500085,CHAMBAL FERT,A ,Q,296.35,306,296.35,303.55,303.55,299.05,4665,116831,35368739,,INE085A01013,15-Jul-22,,,,,,,,,,,,
500086,EXIDE IND.  ,A ,Q,149.4,150.6,148.05,149.5,149.5,148.7,1424,69212,10360980,,INE302A01020,15-Jul-22,,,,,,,,,,,,
500087,CIPLA LTD.  ,A ,Q,967.4,968,951.9,966,966,950.85,1198,16540,15860030,,INE059A01026,15-Jul-22,,,,,,,,,,,,
500089,DIC INDIA   ,B ,Q,380.3,390,376,376.5,376.5,376.05,32,91,34346,,INE303A01010,15-Jul-22,,,,,,,,,,,,
500092,CRISIL LTD  ,A ,Q,3350,3356.35,3242,3282.2,3295.9,3298.35,1071,10976,35907887,,INE007A01025,15-Jul-22,,,,,,,,,,,,
500093,CGPOWER     ,B ,Q,202.55,204.3,199.55,203,203,202.05,1466,49280,9962234,,INE067A01029,15-Jul-22,,,,,,,,,,,,
500096,DABUR (I)   ,A ,Q,551.5,554.95,543.45,548,548,549.45,2360,48649,26697761,,INE016A01026,15-Jul-22,,,,,,,,,,,,
500097,DALMIASUG   ,A ,Q,346,365,344.5,360.85,360.9,347.8,2297,26540,9382646,,INE495A01022,15-Jul-22,,,,,,,,,,,,
500101,ARVIND Ltd  ,A ,Q,88.75,88.75,86.05,86.55,86.85,86.85,794,35068,3034592,,INE034A01011,15-Jul-22,,,,,,,,,,,,
500103,BHEL        ,A ,Q,49.5,49.65,48.8,49.5,49.5,49.2,2035,983315,48380837,,INE257A01026,15-Jul-22,,,,,,,,,,,,
500104,HIND.PETRO  ,A ,Q,239.1,241.6,235.7,239.8,239.8,238.3,4255,212050,50703717,,INE094A01015,15-Jul-22,,,,,,,,,,,,
500106,IFCI LTD    ,A ,Q,9.55,9.58,9.35,9.44,9.42,9.55,570,275195,2597067,,INE039A01010,15-Jul-22,,,,,,,,,,,,
