SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI,ISIN_CODE,TRADING_DATE,FILLER2,FILLER3
500002,ABB LTD.    ,A ,Q,2874.95,3088,2872.55,3063.65,3063.65,2868.65,4524,23837,71007096,,INE117A01022,24-Aug-22,,
500003,AEGIS LOGIS ,A ,Q,254.3,259.6,254.3,256.85,255.5,253.55,888,27688,7117374,,INE208C01025,24-Aug-22,,
500008,AMAR RAJA BA,A ,Q,507.3,515.4,507.3,511.55,511.55,510.5,1146,26996,13790028,,INE885A01032,24-Aug-22,,
500009,A.SARABHAI  ,X ,Q,29.25,29.45,28.85,29,29,29.15,315,75532,2196359,,INE432A01017,24-Aug-22,,
500010,HDFC        ,A ,Q,2405,2442.4,2405,2437.15,2437.15,2420.35,1771,20554,49897338,,INE001A01036,24-Aug-22,,
500012,ANDHRA PETRO,B ,Q,84.9,84.9,82.35,83.7,83.7,84,787,73081,6110886,,INE714B01016,24-Aug-22,,
500013,ANSAL INFRAS,B ,Q,15.75,15.95,15.25,15.25,15.25,15.45,16,1657,26097,,INE436A01026,24-Aug-22,,
500014,UTIQUE      ,X ,Q,7.64,8.22,7,8.16,8.22,7.48,633,242021,1875023,,INE096A01010,24-Aug-22,,
500016,ARUNAHTEL   ,X ,Q,15.49,15.49,14.5,14.82,14.6,14.52,36,9471,142113,,INE957C01019,24-Aug-22,,
500020,BOM DYEING  ,A ,Q,100.55,102.5,100.1,101.25,101.25,100.5,1991,168873,17110222,,INE032A01023,24-Aug-22,,
500023,ASIANHOTNR  ,B ,Q,93,99,90.8,94.3,94,93.65,865,41072,3974159,,INE363A01022,24-Aug-22,,
500027,ATUL LTD.   ,A ,Q,9200,9292.95,9056.1,9134,9134,9246.4,507,901,8249685,,INE100A01010,24-Aug-22,,
500028,ATV PROJECTS,XT,Q,8.95,9.53,8.95,9.37,9.37,9.1,45,4724,43531,,INE447A01015,24-Aug-22,,
500031,BAJAJ ELECT.,A ,Q,1234.5,1258.75,1218.3,1229.35,1229.5,1246.45,1780,12772,15773643,,INE193E01025,24-Aug-22,,
500032,BAJAJHIND   ,A ,Q,9.73,9.93,9.7,9.75,9.75,9.73,1259,1007927,9848767,,INE306A01021,24-Aug-22,,
500033,FORCE MOTR  ,A ,Q,1229.85,1248.85,1208.4,1223.75,1223.75,1223,851,5362,6567244,,INE451A01017,24-Aug-22,,
500034,BAJFINANCE  ,A ,Q,7180,7236.5,7141,7174.8,7180,7206.95,3336,15906,114215900,,INE296A01024,24-Aug-22,,
500038,BALRAM.CHINI,A ,Q,353.5,354.35,342.8,344.3,344.3,352.45,4098,139163,48355451,,INE119A01028,24-Aug-22,,
500039,BANCO PROD. ,B ,Q,234.9,249,234.85,247.2,247.2,232.55,4974,211650,51216682,,INE213C01025,24-Aug-22,,
500040,CENTURY TEXT,A ,Q,852.45,858.55,843.75,849.4,849.4,849.35,951,7076,6024346,,INE055A01016,24-Aug-22,,
500041,BANNARI AMAN,B ,Q,2719.3,2785,2707.05,2746.55,2728,2745.35,64,341,936473,,INE459A01010,24-Aug-22,,
500042,BASF INDIA  ,A ,Q,3230,3381.95,3220,3345.65,3345.65,3216,464,1833,6059573,,INE373A01013,24-Aug-22,,
500043,BATA INDIA  ,A ,Q,1889.95,1903,1849,1859,1859,1881.85,2813,43438,80713734,,INE176A01028,24-Aug-22,,
500048,BEML LTD    ,A ,Q,1846.05,1854.9,1784.9,1795.05,1795.05,1840.15,1988,15876,28851075,,INE258A01016,24-Aug-22,,
500049,BHARAT ELECT,A ,Q,299.95,300.9,291.45,294.05,294.05,298.6,5191,298501,88158722,,INE263A01024,24-Aug-22,,
500052,BHANSALI ENG,A ,Q,125.25,129.05,122.8,127.1,127.1,124,3657,162296,20567438,,INE922A01025,24-Aug-22,,
