SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI,ISIN_CODE,TRADING_DATE,FILLER2,FILLER3
500002,ABB LTD.    ,A ,Q,1468.5,1503.5,1464.9,1484.45,1484.45,1488.45,1031,34325,51256917,,INE117A01022,24-Apr-19,,
500003,AEGIS LOGIS ,A ,Q,189,196.6,188,196.1,196.1,188.65,321,11517,2234898,,INE208C01025,24-Apr-19,,
500008,AMAR RAJA BA,A ,Q,677.9,681,672,674.1,674.1,676.4,687,30870,20877613,,INE885A01032,24-Apr-19,,
500009,A.SARABHAI  ,X ,Q,14.1,14.5,11.6,13.93,13.94,14.16,131,49045,658107,,INE432A01017,24-Apr-19,,
500010,HDFC        ,A ,Q,1949,1988.85,1934.1,1979.15,1979.15,1935.9,2741,43028,84176137,,INE001A01036,24-Apr-19,,
500012,ANDHRA PETRO,X ,Q,54.95,55.85,54.15,55.5,55,54.75,129,14946,817781,,INE714B01016,24-Apr-19,,
500013,ANSAL INFRAS,B ,Q,10.9,11.25,10.7,10.97,10.99,10.99,56,15228,166405,,INE436A01026,24-Apr-19,,
500014,APPLE FINANC,XT,Q,1.47,1.47,1.47,1.47,1.47,1.47,7,720,1058,,INE096A01010,24-Apr-19,,
500020,BOM DYEING  ,A ,Q,123.5,126.5,123.45,125.8,125.8,123.25,1468,130680,16324191,,INE032A01023,24-Apr-19,,
500024,ASSAMCO     ,T ,Q,2.1,2.15,2.05,2.1,2.1,2.06,50,33726,70128,,INE442A01024,24-Apr-19,,
500027,ATUL LTD.   ,A ,Q,3610,3610,3430.25,3463.65,3450,3500.05,139,520,1805267,,INE100A01010,24-Apr-19,,
500028,ATV PROJECTS,XT,Q,5.25,5.48,5.23,5.48,5.48,5.23,10,2745,14406,,INE447A01015,24-Apr-19,,
500031,BAJAJ ELECT.,A ,Q,560.6,572.25,559.85,563.3,563,561.3,503,8853,5011307,,INE193E01025,24-Apr-19,,
500032,BAJAJHIND   ,B ,Q,8.6,8.65,8.3,8.34,8.34,8.48,243,216395,1817925,,INE306A01021,24-Apr-19,,
500033,FORCE MOTR  ,A ,Q,1749.8,1760.05,1730,1735.2,1735.2,1744.85,793,7077,12318868,,INE451A01017,24-Apr-19,,
500034,BAJFINANCE  ,A ,Q,3048.9,3100,3032,3092,3092,3035.5,2905,57820,177642078,,INE296A01024,24-Apr-19,,
500038,BALRAM.CHINI,A ,Q,142.3,142.9,139.6,140.3,140.3,141,778,82268,11575079,,INE119A01028,24-Apr-19,,
500039,BANCO PROD. ,B ,Q,153,154.7,152.15,153.95,154.15,154.3,26,1667,255682,,INE213C01025,24-Apr-19,,
500040,CENTURY TEXT,A ,Q,918,931,886.1,923.6,923.6,901.8,1455,58528,52942257,,INE055A01016,24-Apr-19,,
500041,BANNARI AMAN,B ,Q,1600,1600,1429.95,1469.3,1470,1474.5,18,156,226237,,INE459A01010,24-Apr-19,,
500042,BASF INDIA  ,A ,Q,1385.3,1385.3,1346.65,1368.45,1369,1381.85,170,1059,1453074,,INE373A01013,24-Apr-19,,
500043,BATA INDIA  ,A ,Q,1450,1466,1442,1461.9,1461.9,1442.55,1945,73367,106823752,,INE176A01028,24-Apr-19,,
500048,BEML LTD    ,A ,Q,910,921.55,903,906.7,906.7,901.35,1685,64852,59171947,,INE258A01016,24-Apr-19,,
500049,BHARAT ELECT,A ,Q,89.05,89.05,87.7,88.6,88.6,88.4,1139,244615,21619940,,INE263A01024,24-Apr-19,,
500052,BHANSALI ENG,B ,Q,74.65,75.95,73.45,74.15,74.15,75.25,649,91491,6795601,,INE922A01025,24-Apr-19,,
500055,TATASTLBSL  ,B ,Q,33.45,33.45,31.8,32.25,32.25,33.05,569,105055,3395047,,INE824B01021,24-Apr-19,,
500058,BIHAR SPONGE,XT,Q,1,1,1,1,1,1.05,2,74,74,,INE819C01011,24-Apr-19,,
500059,BINANI IND. ,T ,Q,36.1,36.1,34.8,35.25,35.15,35.95,9,404,14246,,INE071A01013,24-Apr-19,,
500060,BIRLACABLE  ,B ,Q,136.1,138.55,135.55,136.45,137.45,136.55,47,986,134791,,INE800A01015,24-Apr-19,,
500067,BLUE STAR   ,A ,Q,656.6,661.85,647,649.45,648,657.6,83,588,384590,,INE472A01039,24-Apr-19,,
500068,DISA INDIA  ,X ,Q,5950,6000,5811.45,5860.8,5811.45,6000,24,641,3839144,,INE131C01011,24-Apr-19,,
500074,BPL LTD.    ,B ,Q,24.25,24.7,24,24.25,24.3,24.3,52,10637,258280,,INE110A01019,24-Apr-19,,
500078,OAL         ,X ,Q,230.15,233.95,228.1,233.75,233.95,230.15,23,1480,341140,,INE959C01023,24-Apr-19,,
500083,CENTURY EXT ,B ,Q,5.45,5.68,5.4,5.66,5.5,5.5,10,1911,10473,,INE281A01026,24-Apr-19,,
500084,CESC LTD.   ,A ,Q,686.1,699.8,668.95,688.1,688.1,689.55,2376,19011,12946381,,INE486A01013,24-Apr-19,,
500085,CHAMBAL FERT,A ,Q,162.55,163.3,159,159.5,159.95,160.5,172,9033,1444635,,INE085A01013,24-Apr-19,,
500086,EXIDE IND.  ,A ,Q,219,219,216.15,218.45,218.45,218.8,1391,56863,12406530,,INE302A01020,24-Apr-19,,
500087,CIPLA LTD.  ,A ,Q,562,565.7,553.85,559.8,558.25,562.05,1266,71791,40147651,,INE059A01026,24-Apr-19,,
500089,DIC INDIA   ,B ,Q,335,335,333,333,333,328.95,3,10,3341,,INE303A01010,24-Apr-19,,
500092,CRISIL LTD  ,A ,Q,1484.5,1492.05,1454,1463.35,1458.2,1469.85,88,590,861673,,INE007A01025,24-Apr-19,,
500093,CGPOWER     ,A ,Q,35.15,38.1,34.85,37.65,37.65,34.85,2900,1214631,44843623,,INE067A01029,24-Apr-19,,
500096,DABUR (I)   ,A ,Q,404.95,405.05,397.5,398.75,398.75,403.4,4225,108494,43393556,,INE016A01026,24-Apr-19,,
500097,DALMIASUG   ,B ,Q,110,111.65,109.55,110.2,109.55,109.7,112,7169,792313,,INE495A01022,24-Apr-19,,
500101,ARVIND Ltd  ,A ,Q,86.95,89,85.25,88.4,88.4,86.25,693,113675,9933657,,INE034A01011,24-Apr-19,,
500102,BALARPUR IND,B ,Q,2.58,2.59,2.5,2.56,2.59,2.56,90,66012,167575,,INE294A01037,24-Apr-19,,
500103,BHEL        ,A ,Q,73.95,74.25,72.95,73.45,73.45,73.45,1068,370977,27220454,,INE257A01026,24-Apr-19,,
