Security Wise Delivery Position - Compulsory Rolling Settlement
"10,MTO,17122020,1033177324,0001790"
"Trade Date <17-DEC-2020>,Settlement Type <N>"
"Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity"
"20,1,20MICRONS,EQ,177299,113530,64.03"
"20,2,21STCENMGM,EQ,4138,2027,48.99"
"20,3,3IINFOTECH,EQ,37214524,21684007,58.27"
"20,4,3MINDIA,EQ,2396,978,40.82"
"20,5,3PLAND,EQ,3931,3931,100.00"
"20,6,5PAISA,EQ,16597,13924,83.89"
"20,7,619GS2034,GS,100,100,100.00"
"20,8,716GS2050,GS,101,101,100.00"
"20,9,719GS2060,GS,401,401,100.00"
"20,10,74GS2035,GS,122,122,100.00"
"20,11,772GS2055,GS,9959,8831,88.67"
"20,12,A2ZINFRA,EQ,1387258,1114191,80.32"
"20,13,AAATECH,SM,9000,6000,66.67"
"20,14,AAKASH,EQ,23910,7919,33.12"
"20,15,AARON,EQ,6778,5724,84.45"
"20,16,AARTIDRUGS,EQ,434186,245355,56.51"
"20,17,AARTIIND,EQ,260720,204198,78.32"
"20,18,AARTISURF,EQ,42408,24279,57.25"
"20,19,AARVEEDEN,EQ,116057,101273,87.26"
"20,20,AARVI,EQ,40755,38930,95.52"
"20,21,AAVAS,EQ,99635,65854,66.10"
"20,22,ABB,EQ,402509,162492,40.37"
"20,23,ABBOTINDIA,EQ,20331,9742,47.92"
"20,24,ABCAPITAL,EQ,1431986,637304,44.50"
"20,25,ABFRL,EQ,2422776,998757,41.22"
"20,26,ABFRLPP,E1,161885,99178,61.26"
"20,27,ABSLBANETF,EQ,113,106,93.81"
"20,28,ABSLNN50ET,EQ,55,9,16.36"
"20,29,ABSLRIF6RG,MF,7129,7129,100.00"
"20,30,ACC,EQ,1203365,355419,29.54"
"20,31,ACCELYA,EQ,18168,4659,25.64"
"20,32,ACCURACY,EQ,10,10,100.00"
"20,33,ACE,EQ,503424,287671,57.14"
"20,34,ADANIENT,EQ,4912523,554319,11.28"
"20,35,ADANIGAS,EQ,3656611,1366288,37.36"
"20,36,ADANIGREEN,EQ,686579,314118,45.75"
"20,37,ADANIPORTS,EQ,6757703,2083588,30.83"
"20,38,ADANIPOWER,EQ,10991099,5853312,53.26"
"20,39,ADANITRANS,EQ,709430,218346,30.78"
"20,40,ADFFOODS,EQ,121685,51234,42.10"
"20,41,ADORWELD,EQ,149334,62759,42.03"
"20,42,ADSL,EQ,177730,100498,56.55"
"20,43,ADVENZYMES,EQ,133113,70454,52.93"
"20,44,AEGISCHEM,EQ,220398,119833,54.37"
"20,45,AFFLE,EQ,149647,93561,62.52"
"20,46,AGARIND,EQ,25354,16976,66.96"
"20,47,AGROPHOS,EQ,163815,150915,92.13"
"20,48,AHLADA,SM,1000,1000,100.00"
"20,49,AHLEAST,EQ,4031,3205,79.51"
"20,50,AHLUCONT,EQ,23550,17135,72.76"
"20,51,AHLWEST,EQ,3830,2081,54.33"
"20,52,AIAENG,EQ,177952,148786,83.61"
"20,53,AIRAN,EQ,38667,24070,62.25"
"20,54,AIROLAM,SM,12000,3000,25.00"
"20,55,AISL,SM,3600,3600,100.00"
"20,56,AJANTPHARM,EQ,63917,21281,33.29"
"20,57,AJMERA,EQ,280567,104213,37.14"
"20,58,AJOONI,SM,16000,12000,75.00"
"20,59,AKASH,EQ,12700,10801,85.05"
"20,60,AKG,SM,25600,25600,100.00"
"20,61,AKSHARCHEM,EQ,23956,15851,66.17"
"20,62,AKSHOPTFBR,EQ,339209,231197,68.16"
"20,63,AKZOINDIA,EQ,7521,3895,51.79"
"20,64,ALANKIT,EQ,106707,80203,75.16"
"20,65,ALBERTDAVD,EQ,12928,11567,89.47"
"20,66,ALEMBICLTD,EQ,429740,218262,50.79"
"20,67,ALICON,EQ,8205,3140,38.27"
"20,68,ALKALI,EQ,30199,21207,70.22"
"20,69,ALKEM,EQ,115668,77800,67.26"
"20,70,ALKYLAMINE,EQ,13662,6152,45.03"
"20,71,ALLCARGO,EQ,266115,177366,66.65"
"20,72,ALLSEC,EQ,6834,4690,68.63"
"20,73,ALMONDZ,EQ,12668,11151,88.02"
"20,74,ALOKINDS,EQ,9683336,4086056,42.20"
"20,75,ALPSINDUS,EQ,68168,54218,79.54"
"20,76,AMARAJABAT,EQ,647333,167480,25.87"
"20,77,AMBER,EQ,93092,55742,59.88"
"20,78,AMBIKCO,EQ,43148,22101,51.22"
"20,79,AMBUJACEM,EQ,8321438,3495657,42.01"
"20,80,AMDIND,EQ,915484,336067,36.71"
"20,81,AMJLAND,EQ,58026,30042,51.77"
"20,82,AMJUMBO,SM,48000,32000,66.67"
"20,83,AMRUTANJAN,EQ,51629,25263,48.93"
"20,84,ANANTRAJ,EQ,1841535,1412852,76.72"
"20,85,ANDHRACEMT,EQ,282119,199264,70.63"
"20,86,ANDHRAPAP,EQ,181948,61882,34.01"
"20,87,ANDHRSUGAR,EQ,96908,53365,55.07"
"20,88,ANGELBRKG,EQ,75165,38565,51.31"
"20,89,ANKITMETAL,EQ,138698,137671,99.26"
"20,90,ANSALHSG,EQ,58367,41876,71.75"
"20,91,ANUP,EQ,21721,14449,66.52"
"20,92,APARINDS,EQ,37765,25700,68.05"
"20,93,APCL,EQ,39305,24162,61.47"
"20,94,APCOTEXIND,EQ,58779,40991,69.74"
"20,95,APEX,EQ,99454,61652,61.99"
"20,96,APLAPOLLO,EQ,196476,119831,60.99"
"20,97,APLLTD,EQ,442360,218295,49.35"
"20,98,APOLLO,EQ,86300,36634,42.45"
"20,99,APOLLOHOSP,EQ,1184865,415028,35.03"
"20,100,APOLLOPIPE,EQ,8737,6203,71.00"
"20,101,APOLLOTYRE,EQ,7878871,1736338,22.04"
"20,102,APOLSINHOT,EQ,1702,1046,61.46"
"20,103,APTECHT,EQ,441964,218306,49.39"
"20,104,ARCHIDPLY,EQ,58408,33025,56.54"
"20,105,ARCHIES,EQ,237755,107876,45.37"
"20,106,ARENTERP,EQ,4188,3305,78.92"
"20,107,ARIES,EQ,64949,42841,65.96"
"20,108,ARIHANT,EQ,2676,2226,83.18"
"20,109,ARIHANTSUP,EQ,19414,16599,85.50"
"20,110,ARMANFIN,EQ,12300,6889,56.01"
"20,111,AROGRANITE,EQ,288082,195299,67.79"
"20,112,ARROWGREEN,EQ,15836,8824,55.72"
"20,113,ARSHIYA,EQ,24693,16167,65.47"
"20,114,ARSSINFRA,EQ,48501,36216,74.67"
"20,115,ARVIND,EQ,8369098,3013498,36.01"
"20,116,ARVINDFASN,EQ,1228927,670074,54.53"
"20,117,ARVSMART,EQ,491655,193838,39.43"
"20,118,ASAHIINDIA,EQ,33920,23951,70.61"
"20,119,ASAHISONG,EQ,95280,54039,56.72"
"20,120,ASAL,EQ,7689,5118,66.56"
"20,121,ASALCBR,EQ,40751,26537,65.12"
"20,122,ASHAPURMIN,EQ,228559,172459,75.45"
"20,123,ASHIANA,EQ,47082,30374,64.51"
"20,124,ASHOKA,EQ,1051455,500421,47.59"
"20,125,ASHOKLEY,EQ,36614005,8660740,23.65"
"20,126,ASIANHOTNR,EQ,59633,37924,63.60"
"20,127,ASIANPAINT,EQ,1750663,729270,41.66"
"20,128,ASIANTILES,EQ,125905,39617,31.47"
"20,129,ASLIND,SM,436000,436000,100.00"
"20,130,ASPINWALL,EQ,8652,7062,81.62"
"20,131,ASTEC,EQ,75574,48223,63.81"
"20,132,ASTERDM,EQ,366649,192312,52.45"
"20,133,ASTRAL,EQ,139176,98354,70.67"
"20,134,ASTRAMICRO,EQ,429937,177442,41.27"
"20,135,ASTRAZEN,EQ,22347,10687,47.82"
"20,136,ASTRON,EQ,523382,222634,42.54"
"20,137,ATFL,EQ,35549,22142,62.29"
"20,138,ATLANTA,EQ,25598,16500,64.46"
"20,139,ATUL,EQ,32185,17529,54.46"
"20,140,ATULAUTO,EQ,131322,93165,70.94"
"20,141,AUBANK,EQ,449284,224629,50.00"
"20,142,AURIONPRO,EQ,28659,23782,82.98"
"20,143,AUROPHARMA,EQ,1696633,649333,38.27"
"20,144,AUSOMENT,EQ,8233,6267,76.12"
"20,145,AUTOAXLES,EQ,32010,16684,52.12"
"20,146,AUTOIND,EQ,30793,23909,77.64"
"20,147,AUTOLITIND,EQ,7624,5779,75.80"
