Security Wise Delivery Position - Compulsory Rolling Settlement
"10,MTO,30032022,1392713979,0002083"
"Trade Date <30-MAR-2022>,Settlement Type <N>"
"Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity"
"20,1,20MICRONS,EQ,179865,92970,51.69"
"20,2,21STCENMGM,EQ,27683,26503,95.74"
"20,3,3IINFOLTD,EQ,1416684,929696,65.62"
"20,4,3MINDIA,EQ,3066,1939,63.24"
"20,5,3PLAND,EQ,8799,7157,81.34"
"20,6,426GS2023,GS,50,50,100.00"
"20,7,5PAISA,EQ,38363,29520,76.95"
"20,8,622GS2035,GS,1,1,100.00"
"20,9,667GS2035,GS,100,100,100.00"
"20,10,667GS2050,GS,2,1,50.00"
"20,11,676GS2061,GS,1450,1450,100.00"
"20,12,68GS2060,GS,82,82,100.00"
"20,13,695GS2061,GS,18631,18631,100.00"
"20,14,699GS2051,GS,21511,21511,100.00"
"20,15,717GS2028,GS,1600,1600,100.00"
"20,16,737GS2023,GS,100,100,100.00"
"20,17,759GS2026,GS,100,100,100.00"
"20,18,795GS2032,GS,32,32,100.00"
"20,19,A2ZINFRA,EQ,301725,234540,77.73"
"20,20,AAATECH,SM,18000,9000,50.00"
"20,21,AAKASH,EQ,956468,596317,62.35"
"20,22,AAREYDRUGS,EQ,36981,26953,72.88"
"20,23,AARON,EQ,1140,793,69.56"
"20,24,AARTIDRUGS,EQ,276908,168617,60.89"
"20,25,AARTIIND,EQ,759425,269350,35.47"
"20,26,AARTISURF,EQ,31856,20425,64.12"
"20,27,AARVEEDEN,EQ,7616,4123,54.14"
"20,28,AARVI,EQ,151410,94470,62.39"
"20,29,AAVAS,EQ,331809,157702,47.53"
"20,30,ABAN,EQ,136867,81049,59.22"
"20,31,ABB,EQ,149949,72772,48.53"
"20,32,ABBOTINDIA,EQ,20432,9705,47.50"
"20,33,ABCAPITAL,EQ,3220606,1442139,44.78"
"20,34,ABCOTS,SM,36000,28000,77.78"
"20,35,ABFRL,EQ,2210411,872645,39.48"
"20,36,ABMINTLLTD,EQ,17522,9192,52.46"
"20,37,ABSLAMC,EQ,318211,197178,61.96"
"20,38,ABSLBANETF,EQ,7990,4825,60.39"
"20,39,ABSLNN50ET,EQ,6338,4385,69.19"
"20,40,ACC,EQ,702919,328897,46.79"
