Security Wise Delivery Position - Compulsory Rolling Settlement
"10,MTO,12042022,1013441532,0002101"
"Trade Date <12-APR-2022>,Settlement Type <N>"
"Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity"
"20,1,20MICRONS,EQ,254317,94688,37.23"
"20,2,21STCENMGM,EQ,17048,9197,53.95"
"20,3,3IINFOLTD,EQ,1099064,399249,36.33"
"20,4,3MINDIA,EQ,1948,1087,55.80"
"20,5,3PLAND,EQ,22309,18448,82.69"
"20,6,5PAISA,EQ,19373,9080,46.87"
"20,7,610GS2031,GS,2,2,100.00"
"20,8,667GS2035,GS,4601,4601,100.00"
"20,9,667GS2050,GS,29509,19983,67.72"
"20,10,676GS2061,GS,10009,10008,99.99"
"20,11,68GS2060,GS,100,100,100.00"
"20,12,695GS2061,GS,821,821,100.00"
"20,13,699GS2051,GS,914,914,100.00"
"20,14,717GS2028,GS,448,448,100.00"
"20,15,727GS2026,GS,67,67,100.00"
"20,16,759GS2026,GS,250,250,100.00"
"20,17,772GS2055,GS,14,14,100.00"
"20,18,A2ZINFRA,EQ,480337,289326,60.23"
"20,19,AAATECH,SM,3000,3000,100.00"
"20,20,AAKASH,EQ,651104,421894,64.80"
"20,21,AAREYDRUGS,EQ,52043,29787,57.24"
"20,22,AARON,EQ,5769,4621,80.10"
"20,23,AARTIDRUGS,EQ,114043,52094,45.68"
"20,24,AARTIIND,EQ,405524,175694,43.33"
"20,25,AARTISURF,EQ,10539,5962,56.57"
"20,26,AARVEEDEN,EQ,32319,19032,58.89"
"20,27,AARVI,EQ,26130,19552,74.83"
"20,28,AAVAS,EQ,98661,50750,51.44"
"20,29,ABAN,EQ,255972,134120,52.40"
"20,30,ABB,EQ,103405,45406,43.91"
"20,31,ABBOTINDIA,EQ,8708,3790,43.52"
"20,32,ABCAPITAL,EQ,11716428,2091201,17.85"
"20,33,ABCOTS,SM,36000,20000,55.56"
"20,34,ABFRL,EQ,2157713,484949,22.48"
"20,35,ABMINTLLTD,EQ,1212,711,58.66"
"20,36,ABSLAMC,EQ,211723,118926,56.17"
"20,37,ABSLBANETF,EQ,2406,1510,62.76"
"20,38,ABSLNN50ET,EQ,8992,7620,84.74"
"20,39,ACC,EQ,625499,165373,26.44"
"20,40,ACCELYA,EQ,12612,6488,51.44"
"20,41,ACCURACY,EQ,34098,14346,42.07"
"20,42,ACE,EQ,176182,82564,46.86"
"20,43,ACRYSIL,EQ,51341,20270,39.48"
"20,44,ADANIENT,EQ,2632324,385213,14.63"
"20,45,ADANIGREEN,EQ,7836658,1398119,17.84"
"20,46,ADANIPORTS,EQ,5597246,852427,15.23"
"20,47,ADANIPOWER,EQ,42554718,12715501,29.88"
"20,48,ADANITRANS,EQ,1405621,351391,25.00"
