Security Wise Delivery Position - Compulsory Rolling Settlement
"10,MTO,04072022,543878238,0002105"
"Trade Date <04-JUL-2022>,Settlement Type <N>"
"Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity"
"20,1,182D290922,TB,100,100,100.00"
"20,2,20MICRONS,EQ,67873,32398,47.73"
"20,3,21STCENMGM,EQ,6662,4633,69.54"
"20,4,3IINFOLTD,EQ,217051,123280,56.80"
"20,5,3MINDIA,EQ,3830,1096,28.62"
"20,6,3PLAND,EQ,1703,1381,81.09"
"20,7,574GS2026,GS,70,70,100.00"
"20,8,5PAISA,EQ,29780,23653,79.43"
"20,9,63MOONS,EQ,19671,11296,57.42"
"20,10,654GS2032,GS,155000,155000,100.00"
"20,11,667GS2035,GS,100002,100001,100.00"
"20,12,667GS2050,GS,4,2,50.00"
"20,13,695GS2061,GS,201,201,100.00"
"20,14,699GS2051,GS,306,303,99.02"
"20,15,716GS2050,GS,1,1,100.00"
"20,16,738GS2027,GS,1000,1000,100.00"
"20,17,754GS2036,GS,242050,237050,97.93"
"20,18,759GS2026,GS,200,200,100.00"
"20,19,795GS2032,GS,5000,5000,100.00"
"20,20,813GS2045,GS,1000,1000,100.00"
"20,21,A2ZINFRA,EQ,137422,127067,92.46"
"20,22,AAKASH,EQ,187451,76693,40.91"
"20,23,AAREYDRUGS,EQ,8259,5056,61.22"
"20,24,AARON,EQ,1754,697,39.74"
"20,25,AARTIDRUGS,EQ,23861,7893,33.08"
"20,26,AARTIIND,EQ,526078,258446,49.13"
"20,27,AARTISURF,EQ,3160,2393,75.73"
"20,28,AARVEEDEN,EQ,2833,621,21.92"
"20,29,AARVI,EQ,1896,1202,63.40"
"20,30,AAVAS,EQ,83688,41040,49.04"
"20,31,ABAN,EQ,88563,43834,49.49"
"20,32,ABB,EQ,192539,44626,23.18"
"20,33,ABBOTINDIA,EQ,16058,8740,54.43"
"20,34,ABCAPITAL,EQ,1733178,667310,38.50"
"20,35,ABFRL,EQ,1644612,595510,36.21"
"20,36,ABSLAMC,EQ,36730,18911,51.49"
"20,37,ABSLBANETF,EQ,1386,1095,79.00"
"20,38,ABSLNN50ET,EQ,1513,1368,90.42"
"20,39,ACC,EQ,169527,63573,37.50"
"20,40,ACCELYA,EQ,3057,2000,65.42"
"20,41,ACCURACY,EQ,18590,7718,41.52"
"20,42,ACE,EQ,250282,102213,40.84"
"20,43,ACEINTEG,SM,13500,9000,66.67"
"20,44,ACRYSIL,EQ,91879,35111,38.21"
"20,45,ADANIENT,EQ,1581159,363163,22.97"
"20,46,ADANIGREEN,EQ,1093460,374002,34.20"
"20,47,ADANIPORTS,EQ,1874921,335601,17.90"
"20,48,ADANIPOWER,EQ,3109382,1346726,43.31"
"20,49,ADANITRANS,EQ,293299,48181,16.43"
"20,50,ADFFOODS,EQ,2489,1373,55.16"
"20,51,ADORWELD,EQ,6615,3801,57.46"
