Security Wise Delivery Position - Compulsory Rolling Settlement
"10,MTO,27092022,944615190,0002102"
"Trade Date <27-SEP-2022>,Settlement Type <N>"
"Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity"
"20,1,20MICRONS,EQ,220083,87778,39.88"
"20,2,21STCENMGM,EQ,18213,13956,76.63"
"20,3,3IINFOLTD,EQ,254416,134796,52.98"
"20,4,3MINDIA,EQ,3691,1345,36.44"
"20,5,3PLAND,EQ,997,818,82.05"
"20,6,456GS2023,GS,100,100,100.00"
"20,7,4THDIM,EQ,190,190,100.00"
"20,8,503KL24,SG,200,0,0.00"
"20,9,5PAISA,EQ,38713,13450,34.74"
"20,10,617GS2023,GS,13000,13000,100.00"
"20,11,622GS2035,GS,3,3,100.00"
"20,12,63MOONS,EQ,194276,104727,53.91"
"20,13,654GS2032,GS,350000,200000,57.14"
"20,14,667GS2050,GS,229,218,95.20"
"20,15,695GS2061,GS,409050,409050,100.00"
"20,16,699GS2051,GS,200003,200002,100.00"
"20,17,710GS2029,GS,60100,60100,100.00"
"20,18,736GS2052,GS,8821,5710,64.73"
"20,19,738GS2027,GS,2098,2098,100.00"
"20,20,74GS2035,GS,11,11,100.00"
"20,21,754GS2036,GS,150876,150876,100.00"
"20,22,757GS2033,GS,60,60,100.00"
"20,23,75GS2034,GS,1620,1620,100.00"
"20,24,A2ZINFRA,EQ,566971,429589,75.77"
"20,25,AAATECH,SM,4500,4500,100.00"
"20,26,AAKASH,EQ,376427,226237,60.10"
"20,27,AAREYDRUGS,EQ,29722,16977,57.12"
"20,28,AARTIDRUGS,EQ,165510,79571,48.08"
"20,29,AARTIIND,EQ,759922,182778,24.05"
"20,30,AARTISURF,EQ,7405,3164,42.73"
"20,31,AARVEEDEN,EQ,11392,6907,60.63"
"20,32,AARVI,EQ,58780,24256,41.27"
"20,33,AAVAS,EQ,35368,20806,58.83"
"20,34,ABAN,EQ,162765,69741,42.85"
"20,35,ABB,EQ,398174,202763,50.92"
"20,36,ABBOTINDIA,EQ,41986,30058,71.59"
"20,37,ABCAPITAL,EQ,2099357,689988,32.87"
"20,38,ABCOTS,SM,8000,8000,100.00"
"20,39,ABFRL,EQ,1731247,481918,27.84"
"20,40,ABSLAMC,EQ,39427,18111,45.94"
"20,41,ABSLBANETF,EQ,5846,2583,44.18"
"20,42,ABSLNN50ET,EQ,3926,2027,51.63"
"20,43,ACC,EQ,1483769,302247,20.37"
"20,44,ACCELYA,EQ,15788,8759,55.48"
"20,45,ACCORD,SM,2000,2000,100.00"
"20,46,ACCURACY,EQ,192085,158836,82.69"
"20,47,ACE,EQ,553570,149039,26.92"
"20,48,ACEINTEG,SM,45000,45000,100.00"
"20,49,ACRYSIL,EQ,79001,39042,49.42"
"20,50,ADANIENT,EQ,3546332,797359,22.48"
"20,51,ADANIGREEN,EQ,855872,205527,24.01"
"20,52,ADANIPORTS,EQ,11598728,1635195,14.10"
"20,53,ADANITRANS,EQ,400150,132937,33.22"
"20,54,ADFFOODS,EQ,6032,2961,49.09"
"20,55,ADORWELD,EQ,40947,13958,34.09"
"20,56,ADROITINFO,EQ,46935,28872,61.51"
"20,57,ADSL,EQ,100137,46166,46.10"
"20,58,ADVANIHOTR,EQ,32074,20829,64.94"
"20,59,ADVENZYMES,EQ,184857,73473,39.75"
"20,60,AEGISCHEM,EQ,613555,212779,34.68"
"20,61,AETHER,EQ,74763,36392,48.68"
"20,62,AFFLE,EQ,204706,87165,42.58"
"20,63,AGARIND,EQ,48706,17643,36.22"
"20,64,AGI,EQ,447080,148006,33.11"
"20,65,AGNI,SM,140000,90000,64.29"
"20,66,AGRITECH,EQ,6089,3244,53.28"
"20,67,AGROPHOS,EQ,51120,27871,54.52"
"20,68,AGSTRA,EQ,142761,80827,56.62"
"20,69,AHLUCONT,EQ,12102,9209,76.09"
"20,70,AIAENG,EQ,88820,55489,62.47"
"20,71,AILIMITED,SM,3000,3000,100.00"
"20,72,AIRAN,EQ,100986,62123,61.52"
"20,73,AIROLAM,EQ,262636,179656,68.40"
"20,74,AIRTELPP,E1,2875229,2534067,88.13"
"20,75,AJANTPHARM,EQ,40693,21114,51.89"
"20,76,AJMERA,EQ,18635,7833,42.03"
"20,77,AJOONI,EQ,385057,113853,29.57"
"20,78,AJRINFRA,EQ,1068971,614272,57.46"
"20,79,AKASH,EQ,13920,7058,50.70"
"20,80,AKSHAR,EQ,11638,8441,72.53"
"20,81,AKSHARCHEM,EQ,8361,4512,53.96"
"20,82,AKSHOPTFBR,EQ,284200,146252,51.46"
"20,83,AKZOINDIA,EQ,69629,49952,71.74"
"20,84,ALANKIT,EQ,154270,84373,54.69"
"20,85,ALBERTDAVD,EQ,1967,1366,69.45"
"20,86,ALEMBICLTD,EQ,151565,102390,67.56"
"20,87,ALICON,EQ,36835,13872,37.66"
"20,88,ALKALI,EQ,8113,3921,48.33"
"20,89,ALKEM,EQ,84358,41281,48.94"
"20,90,ALKYLAMINE,EQ,29397,14452,49.16"
"20,91,ALLCARGO,EQ,2172543,561145,25.83"
"20,92,ALLSEC,EQ,5132,2444,47.62"
"20,93,ALMONDZ,EQ,12180,8357,68.61"
"20,94,ALPA,EQ,31073,16384,52.73"
"20,95,ALPHAGEO,EQ,10975,5106,46.52"
"20,96,ALPSINDUS,EQ,6958,6958,100.00"
"20,97,AMARAJABAT,EQ,638300,126708,19.85"
"20,98,AMBER,EQ,49636,21637,43.59"
"20,99,AMBIKCO,EQ,8743,4692,53.67"
"20,100,AMBUJACEM,EQ,29131156,4803376,16.49"
"20,101,AMEYA,SM,148000,100000,67.57"
"20,102,AMIORG,EQ,170030,71466,42.03"
"20,103,AMJLAND,EQ,21420,12437,58.06"
"20,104,AMJUMBO,SM,32000,32000,100.00"
"20,105,AMRUTANJAN,EQ,7143,3256,45.58"
"20,106,ANANDRATHI,EQ,18701,10297,55.06"
"20,107,ANANTRAJ,EQ,1055494,712169,67.47"
"20,108,ANDHRAPAP,EQ,166506,58733,35.27"
"20,109,ANDHRSUGAR,EQ,185381,71003,38.30"
"20,110,ANDREWYU,EQ,45901,29933,65.21"
"20,111,ANGELONE,EQ,297874,78339,26.30"
"20,112,ANIKINDS,EQ,46848,28304,60.42"
"20,113,ANKITMETAL,EQ,140006,90424,64.59"
"20,114,ANMOL,EQ,8778,5626,64.09"
"20,115,ANNAPURNA,ST,2338000,2322000,99.32"
"20,116,ANSALHSG,EQ,147696,99562,67.41"
"20,117,ANTGRAPHIC,EQ,314495,312829,99.47"
"20,118,ANUP,EQ,6427,2974,46.27"
"20,119,ANURAS,EQ,181253,81768,45.11"
"20,120,APARINDS,EQ,51587,22517,43.65"
"20,121,APCL,EQ,13666,5049,36.95"
"20,122,APCOTEXIND,EQ,224355,64195,28.61"
"20,123,APEX,EQ,118646,60830,51.27"
"20,124,APLAPOLLO,EQ,362786,149987,41.34"
"20,125,APLLTD,EQ,59724,28722,48.09"
"20,126,APOLLO,EQ,111868,49554,44.30"
"20,127,APOLLOHOSP,EQ,651304,256524,39.39"
"20,128,APOLLOPIPE,EQ,51019,29706,58.23"
"20,129,APOLLOTYRE,EQ,3280017,383807,11.70"
"20,130,APOLSINHOT,EQ,1598,946,59.20"
"20,131,APTECHT,EQ,130907,51559,39.39"
"20,132,APTUS,EQ,202109,130935,64.78"
"20,133,ARCHIDPLY,EQ,268328,117972,43.97"
"20,134,ARCHIES,EQ,39835,25972,65.20"
"20,135,ARENTERP,EQ,2905,1552,53.43"
"20,136,ARIES,EQ,14143,7367,52.09"
"20,137,ARIHANTCAP,EQ,85159,36674,43.07"
"20,138,ARIHANTSUP,EQ,70388,27598,39.21"
"20,139,ARMANFIN,EQ,6527,3238,49.61"
"20,140,AROGRANITE,EQ,11928,4500,37.73"
"20,141,ARSHIYA,EQ,1273237,592974,46.57"
"20,142,ARTEMISMED,EQ,347751,233346,67.10"
"20,143,ARTNIRMAN,EQ,9162,5966,65.12"
"20,144,ARVEE,EQ,2703,1443,53.39"
"20,145,ARVIND,EQ,935370,376545,40.26"
"20,146,ARVINDFASN,EQ,841672,305377,36.28"
"20,147,ARVSMART,EQ,117832,87168,73.98"
"20,148,ASAHIINDIA,EQ,318839,135800,42.59"
"20,149,ASAHISONG,EQ,24236,19793,81.67"
"20,150,ASAL,EQ,43140,24294,56.31"
"20,151,ASALCBR,EQ,1005869,273811,27.22"
"20,152,ASHAPURMIN,EQ,553227,186593,33.73"
"20,153,ASHIANA,EQ,51727,45849,88.64"
"20,154,ASHIMASYN,EQ,41919,26583,63.42"
"20,155,ASHOKA,EQ,1199274,349183,29.12"
"20,156,ASHOKLEY,EQ,14874486,5719708,38.45"
"20,157,ASIANENE,EQ,126390,79701,63.06"
"20,158,ASIANHOTNR,EQ,11146,6201,55.63"
"20,159,ASIANPAINT,EQ,1455383,628009,43.15"
"20,160,ASIANTILES,EQ,889604,711797,80.01"
"20,161,ASLIND,SM,4000,4000,100.00"
"20,162,ASPINWALL,EQ,14335,7685,53.61"
"20,163,ASTEC,EQ,8787,5525,62.88"
"20,164,ASTERDM,EQ,3170998,370815,11.69"
"20,165,ASTRAL,EQ,1093396,512591,46.88"
"20,166,ASTRAMICRO,EQ,368200,146805,39.87"
"20,167,ASTRAZEN,EQ,5733,2523,44.01"
"20,168,ASTRON,EQ,47496,25925,54.58"
"20,169,ATALREAL,SM,139200,43200,31.03"
"20,170,ATFL,EQ,2503,1694,67.68"
"20,171,ATGL,EQ,483227,213566,44.20"
"20,172,ATLANTA,EQ,41475,22211,53.55"
