Security Wise Delivery Position - Compulsory Rolling Settlement
"10,MTO,25102022,1008109209,0002083"
"Trade Date <25-OCT-2022>,Settlement Type <N>"
"Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity"
"20,1,20MICRONS,EQ,101692,53728,52.83"
"20,2,21STCENMGM,EQ,12815,7280,56.81"
"20,3,3IINFOLTD,EQ,1429981,554606,38.78"
"20,4,3MINDIA,EQ,1041,394,37.85"
"20,5,3PLAND,EQ,32759,20903,63.81"
"20,6,456GS2023,GS,5100,5100,100.00"
"20,7,4THDIM,EQ,13964,4898,35.08"
"20,8,5PAISA,EQ,25387,11996,47.25"
"20,9,63MOONS,EQ,56743,17658,31.12"
"20,10,667GS2050,GS,101,101,100.00"
"20,11,669GS2024,GS,1800,1800,100.00"
"20,12,676GS2061,GS,205,205,100.00"
"20,13,699GS2051,GS,10001,10001,100.00"
"20,14,710GS2029,GS,6101,6101,100.00"
"20,15,736GS2052,GS,300,300,100.00"
"20,16,754GS2036,GS,31428,31428,100.00"
"20,17,82GS2025,GS,2,0,0.00"
"20,18,91D031122,TB,800,800,100.00"
"20,19,92GS2030,GS,212,212,100.00"
"20,20,A2ZINFRA,EQ,233045,189258,81.21"
"20,21,AAATECH,SM,4500,4500,100.00"
"20,22,AAKASH,EQ,525259,334467,63.68"
"20,23,AAREYDRUGS,EQ,18308,11586,63.28"
"20,24,AARTIDRUGS,EQ,74125,35056,47.29"
"20,25,AARTIIND,EQ,390032,166907,42.79"
"20,26,AARTISURF,EQ,6744,3616,53.62"
"20,27,AARVEEDEN,EQ,14026,8526,60.79"
"20,28,AARVI,EQ,13665,7246,53.03"
"20,29,AAVAS,EQ,171548,141894,82.71"
"20,30,ABAN,EQ,75365,41208,54.68"
"20,31,ABB,EQ,263091,133628,50.79"
"20,32,ABBOTINDIA,EQ,12937,4671,36.11"
"20,33,ABCAPITAL,EQ,3139193,1156409,36.84"
"20,34,ABFRL,EQ,1389735,708536,50.98"
"20,35,ABSLAMC,EQ,47876,29542,61.71"
"20,36,ABSLBANETF,EQ,11418,9225,80.79"
"20,37,ABSLNN50ET,EQ,11273,8081,71.68"
"20,38,ACC,EQ,383657,155896,40.63"
"20,39,ACCELYA,EQ,28772,17818,61.93"
"20,40,ACCURACY,EQ,75365,35214,46.72"
"20,41,ACE,EQ,311582,140964,45.24"
"20,42,ACRYSIL,EQ,61485,39109,63.61"
"20,43,ADANIENT,EQ,879424,151719,17.25"
"20,44,ADANIGREEN,EQ,960922,477217,49.66"
"20,45,ADANIPORTS,EQ,4485050,1278059,28.50"
"20,46,ADANITRANS,EQ,541744,261219,48.22"
"20,47,ADFFOODS,EQ,3588,2156,60.09"
"20,48,ADORWELD,EQ,15997,8266,51.67"
"20,49,ADROITINFO,EQ,146204,102140,69.86"
"20,50,ADSL,EQ,47416,24094,50.81"
"20,51,ADVANIHOTR,EQ,11048,7406,67.03"
"20,52,ADVENZYMES,EQ,38500,22678,58.90"
"20,53,AEGISCHEM,EQ,707904,179269,25.32"
"20,54,AETHER,EQ,154092,65546,42.54"
"20,55,AFFLE,EQ,94963,45734,48.16"
