Security Wise Delivery Position - Compulsory Rolling Settlement
"10,MTO,14112022,1014307377,0002138"
"Trade Date <14-NOV-2022>,Settlement Type <N>"
"Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity"
"20,1,1018GS2026,GS,1,1,100.00"
"20,2,182D090323,TB,600,600,100.00"
"20,3,182D160323,TB,100,100,100.00"
"20,4,20MICRONS,EQ,166512,116930,70.22"
"20,5,21STCENMGM,EQ,3820,2443,63.95"
"20,6,364D191023,TB,300,300,100.00"
"20,7,3IINFOLTD,EQ,435962,248576,57.02"
"20,8,3MINDIA,EQ,7862,3130,39.81"
"20,9,3PLAND,EQ,4836,3800,78.58"
"20,10,4THDIM,EQ,3384,2387,70.54"
"20,11,515GS2025,GS,9700,9700,100.00"
"20,12,522GS2025,GS,1660,1158,69.76"
"20,13,5PAISA,EQ,16676,9906,59.40"
"20,14,63MOONS,EQ,44539,21028,47.21"
"20,15,654GS2032,GS,100,100,100.00"
"20,16,664GS2035,GS,50000,25000,50.00"
"20,17,667GS2050,GS,71,71,100.00"
"20,18,669GS2024,GS,100,100,100.00"
"20,19,676GS2061,GS,20,20,100.00"
"20,20,699GS2051,GS,1396,1396,100.00"
"20,21,710GS2029,GS,19100,19100,100.00"
"20,22,716GS2050,GS,25,25,100.00"
"20,23,726GS2032,GS,5038,5038,100.00"
"20,24,727GS2026,GS,199,199,100.00"
"20,25,736GS2052,GS,1000,1000,100.00"
"20,26,738GS2027,GS,3200,2700,84.38"
"20,27,74GS2062,GS,11080,11080,100.00"
"20,28,754GS2036,GS,24195,24145,99.79"
"20,29,91D011222,TB,400,400,100.00"
"20,30,91D020223,TB,200,200,100.00"
"20,31,91D050123,TB,100,100,100.00"
"20,32,91D081222,TB,1900,1900,100.00"
"20,33,91D151222,TB,200,200,100.00"
"20,34,A2ZINFRA,EQ,728678,638382,87.61"
"20,35,AAKASH,EQ,1024409,565291,55.18"
"20,36,AAREYDRUGS,EQ,20647,11175,54.12"
"20,37,AARTIDRUGS,EQ,34621,18660,53.90"
"20,38,AARTIIND,EQ,501856,228191,45.47"
"20,39,AARTISURF,EQ,3707,2137,57.65"
"20,40,AARVEEDEN,EQ,12392,8029,64.79"
"20,41,AARVI,EQ,22229,12055,54.23"
"20,42,AAVAS,EQ,71852,50605,70.43"
"20,43,ABAN,EQ,70696,40866,57.81"
"20,44,ABB,EQ,560133,176556,31.52"
"20,45,ABBOTINDIA,EQ,52058,12672,24.34"
"20,46,ABCAPITAL,EQ,4796492,2701966,56.33"
"20,47,ABFRL,EQ,2009173,860453,42.83"
"20,48,ABINFRA,SM,4000,4000,100.00"
"20,49,ABSLAMC,EQ,43533,24083,55.32"
"20,50,ABSLBANETF,EQ,1328917,1322632,99.53"
"20,51,ABSLNN50ET,EQ,2962,2191,73.97"
"20,52,ACC,EQ,557530,203541,36.51"
"20,53,ACCELYA,EQ,202110,67987,33.64"
"20,54,ACCURACY,EQ,69930,40767,58.30"
"20,55,ACE,EQ,1912210,659550,34.49"
"20,56,ACEINTEG,EQ,5901,5154,87.34"
"20,57,ACRYSIL,EQ,109261,58036,53.12"
"20,58,ADANIENT,EQ,1803092,294464,16.33"
"20,59,ADANIGREEN,EQ,628699,290627,46.23"
"20,60,ADANIPORTS,EQ,7653024,2204070,28.80"
"20,61,ADANITRANS,EQ,932226,599612,64.32"
"20,62,ADFFOODS,EQ,9064,4623,51.00"
"20,63,ADORWELD,EQ,84152,24271,28.84"
"20,64,ADROITINFO,EQ,88102,85095,96.59"
"20,65,ADSL,EQ,100519,63916,63.59"
"20,66,ADVANIHOTR,EQ,45783,29539,64.52"
"20,67,ADVENZYMES,EQ,47400,28685,60.52"
"20,68,AEGISCHEM,EQ,685668,270986,39.52"
"20,69,AETHER,EQ,153435,101348,66.05"
"20,70,AFFLE,EQ,227012,88066,38.79"
"20,71,AGARIND,EQ,54682,33149,60.62"
"20,72,AGI,EQ,94608,36400,38.47"
"20,73,AGNI,SM,290000,260000,89.66"
"20,74,AGRITECH,EQ,2642,1202,45.50"
"20,75,AGROPHOS,EQ,85016,43227,50.85"
"20,76,AGSTRA,EQ,223896,141422,63.16"
"20,77,AHLUCONT,EQ,41356,22624,54.71"
"20,78,AIAENG,EQ,327346,47104,14.39"
"20,79,AILIMITED,SM,3000,3000,100.00"
"20,80,AIRAN,EQ,173293,136765,78.92"
"20,81,AIROLAM,EQ,43202,26636,61.65"
"20,82,AIRTELPP,E1,2134036,1774699,83.16"
"20,83,AJANTPHARM,EQ,56843,30579,53.80"
"20,84,AJMERA,EQ,102568,38107,37.15"
"20,85,AJOONI,EQ,1057350,647321,61.22"
"20,86,AJRINFRA,EQ,398640,394833,99.05"
"20,87,AKASH,EQ,24309,16424,67.56"
"20,88,AKSHAR,EQ,178141,137521,77.20"
"20,89,AKSHARCHEM,EQ,18590,10529,56.64"
"20,90,AKSHOPTFBR,EQ,304252,206510,67.87"
"20,91,AKZOINDIA,EQ,36069,23741,65.82"
"20,92,ALANKIT,EQ,107422,78610,73.18"
"20,93,ALBERTDAVD,EQ,35804,17183,47.99"
"20,94,ALEMBICLTD,EQ,118211,56325,47.65"
"20,95,ALICON,EQ,19832,10608,53.49"
"20,96,ALKALI,EQ,32798,17431,53.15"
"20,97,ALKEM,EQ,231335,92130,39.83"
"20,98,ALKYLAMINE,EQ,18929,9166,48.42"
"20,99,ALLCARGO,EQ,6711433,1703186,25.38"
"20,100,ALLSEC,EQ,15718,9820,62.48"
"20,101,ALMONDZ,EQ,10086,6381,63.27"
"20,102,ALPA,EQ,18381,11498,62.55"
"20,103,ALPHAGEO,EQ,18772,12603,67.14"
"20,104,ALPSINDUS,EQ,27489,16273,59.20"
"20,105,AMARAJABAT,EQ,1453773,335004,23.04"
"20,106,AMBANIORG,SM,2000,2000,100.00"
"20,107,AMBER,EQ,34660,18781,54.19"
"20,108,AMBIKCO,EQ,8869,4288,48.35"
"20,109,AMBUJACEM,EQ,9070550,2451368,27.03"
"20,110,AMEYA,SM,12000,12000,100.00"
"20,111,AMIORG,EQ,59543,36187,60.77"
"20,112,AMJLAND,EQ,11421,7510,65.76"
"20,113,AMRUTANJAN,EQ,24973,10298,41.24"
"20,114,ANANDRATHI,EQ,32354,19787,61.16"
"20,115,ANANTRAJ,EQ,772693,303535,39.28"
"20,116,ANDHRAPAP,EQ,118999,60707,51.01"
"20,117,ANDHRSUGAR,EQ,277065,141346,51.02"
"20,118,ANDREWYU,EQ,104922,70551,67.24"
"20,119,ANGELONE,EQ,535616,139774,26.10"
"20,120,ANIKINDS,EQ,68664,49453,72.02"
"20,121,ANKITMETAL,EQ,223838,157693,70.45"
"20,122,ANMOL,EQ,5658,4833,85.42"
"20,123,ANNAPURNA,SM,356000,252000,70.79"
"20,124,ANTGRAPHIC,EQ,528129,441819,83.66"
"20,125,ANUP,EQ,14134,7832,55.41"
"20,126,ANURAS,EQ,58746,41202,70.14"
"20,127,APARINDS,EQ,70230,40183,57.22"
"20,128,APCL,EQ,10806,5234,48.44"
"20,129,APCOTEXIND,EQ,54968,28690,52.19"
"20,130,APEX,EQ,21885,13361,61.05"
"20,131,APLAPOLLO,EQ,277006,150692,54.40"
"20,132,APLLTD,EQ,153440,98975,64.50"
"20,133,APOLLOHOSP,EQ,886587,329469,37.16"
"20,134,APOLLOPIPE,EQ,146298,56601,38.69"
"20,135,APOLLOTYRE,EQ,2684508,637273,23.74"
"20,136,APOLSINHOT,EQ,1975,1314,66.53"
"20,137,APTECHT,EQ,247754,96995,39.15"
"20,138,APTUS,EQ,1698735,1596333,93.97"
"20,139,ARCHIDPLY,EQ,65307,48132,73.70"
"20,140,ARCHIES,EQ,193859,128382,66.22"
"20,141,ARENTERP,EQ,5731,1530,26.70"
"20,142,ARIES,EQ,80142,41681,52.01"
"20,143,ARIHANTCAP,EQ,79211,48787,61.59"
"20,144,ARIHANTSUP,EQ,349822,100183,28.64"
"20,145,ARMANFIN,EQ,10150,6107,60.17"
"20,146,AROGRANITE,EQ,35946,25616,71.26"
"20,147,ARSHIYA,EQ,762584,458916,60.18"
"20,148,ARTEMISMED,EQ,162738,99001,60.83"
"20,149,ARTNIRMAN,EQ,2721,2721,100.00"
"20,150,ARVEE,EQ,1161,520,44.79"
"20,151,ARVIND,EQ,825846,467907,56.66"
"20,152,ARVINDFASN,EQ,384165,186071,48.44"
"20,153,ARVSMART,EQ,57448,39478,68.72"
"20,154,ASAHIINDIA,EQ,515586,300230,58.23"
"20,155,ASAHISONG,EQ,9557,4631,48.46"
"20,156,ASAL,EQ,48176,22336,46.36"
"20,157,ASALCBR,EQ,89509,54731,61.15"
"20,158,ASHAPURMIN,EQ,314965,197303,62.64"
"20,159,ASHIANA,EQ,76687,55835,72.81"
"20,160,ASHIMASYN,EQ,99606,66675,66.94"
