Security Wise Delivery Position - Compulsory Rolling Settlement
"10,MTO,02012023,874219990,0002215"
"Trade Date <02-JAN-2023>,Settlement Type <N>"
"Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity"
"20,1,1018GS2026,GS,648,648,100.00"
"20,2,182D020223,TB,100,100,100.00"
"20,3,182D180523,TB,2100,2100,100.00"
"20,4,20MICRONS,EQ,101869,64410,63.23"
"20,5,21STCENMGM,EQ,4028,2040,50.65"
"20,6,364D230323,TB,100,100,100.00"
"20,7,3IINFOLTD,EQ,413031,254393,61.59"
"20,8,3MINDIA,EQ,4561,3441,75.44"
"20,9,3PLAND,EQ,6943,4750,68.41"
"20,10,563GS2026,GS,200,200,100.00"
"20,11,577GS2030,GS,400,400,100.00"
"20,12,5PAISA,EQ,15362,6841,44.53"
"20,13,63MOONS,EQ,388055,131711,33.94"
"20,14,654GS2032,GS,1000,1000,100.00"
"20,15,667GS2050,GS,8671,8671,100.00"
"20,16,676GS2061,GS,4360,4360,100.00"
"20,17,699GS2051,GS,29339,29339,100.00"
"20,18,710GS2029,GS,2673,2668,99.81"
"20,19,717GS2028,GS,648,648,100.00"
"20,20,719GS2060,GS,100,100,100.00"
"20,21,726GS2029,GS,1044,1044,100.00"
"20,22,727GS2026,GS,4152,4152,100.00"
"20,23,736GS2052,GS,1101,1101,100.00"
"20,24,738GS2027,GS,17201,17201,100.00"
"20,25,741GS2036,GS,1002,1002,100.00"
"20,26,74GS2062,GS,23776,23276,97.90"
"20,27,754GS2036,GS,141874,141844,99.98"
"20,28,768GS2023,GS,1050050,1050050,100.00"
"20,29,897GS2030,GS,6101,6101,100.00"
"20,30,91D230323,TB,1100,1100,100.00"
"20,31,91D300323,TB,700,700,100.00"
"20,32,A2ZINFRA,EQ,697020,501455,71.94"
"20,33,AAATECH,EQ,15981,10053,62.91"
"20,34,AAKASH,EQ,263816,206665,78.34"
"20,35,AAREYDRUGS,EQ,73475,47046,64.03"
"20,36,AARON,EQ,5872,3954,67.34"
"20,37,AARTIDRUGS,EQ,70566,21126,29.94"
"20,38,AARTIIND,EQ,283257,92572,32.68"
"20,39,AARTISURF,EQ,3530,1957,55.44"
"20,40,AARVEEDEN,EQ,14439,7965,55.16"
"20,41,AARVI,EQ,95390,37374,39.18"
"20,42,AAVAS,EQ,92295,56009,60.68"
"20,43,ABAN,EQ,149408,57675,38.60"
"20,44,ABB,EQ,135840,60697,44.68"
"20,45,ABBOTINDIA,EQ,10873,6581,60.53"
"20,46,ABCAPITAL,EQ,3828055,977329,25.53"
"20,47,ABFRL,EQ,1344494,674027,50.13"
"20,48,ABSLAMC,EQ,42500,21667,50.98"
"20,49,ABSLBANETF,EQ,33667,29115,86.48"
"20,50,ABSLNN50ET,EQ,2684,2568,95.68"
"20,51,ACC,EQ,162920,53974,33.13"
"20,52,ACCELYA,EQ,10902,4482,41.11"
"20,53,ACCURACY,EQ,10050,5206,51.80"
"20,54,ACE,EQ,524890,179236,34.15"
"20,55,ACEINTEG,EQ,3312,2170,65.52"
"20,56,ACI,EQ,188657,125351,66.44"
