Security Wise Delivery Position - Compulsory Rolling Settlement
"10,MTO,16022023,701175966,0002183"
"Trade Date <16-FEB-2023>,Settlement Type <N>"
"Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity"
"20,1,1018GS2026,GS,1000,1000,100.00"
"20,2,182D010623,TB,1000,1000,100.00"
"20,3,182D150623,TB,11100,10000,90.09"
"20,4,182D250523,TB,500,500,100.00"
"20,5,20MICRONS,EQ,157289,118800,75.53"
"20,6,21STCENMGM,EQ,7652,7600,99.32"
"20,7,360ONE,EQ,15448,7394,47.86"
"20,8,364D060723,TB,5000,5000,100.00"
"20,9,364D070923,TB,200,200,100.00"
"20,10,364D071223,TB,500,500,100.00"
"20,11,364D091123,TB,100,100,100.00"
"20,12,364D100823,TB,1000,1000,100.00"
"20,13,364D161123,TB,100,100,100.00"
"20,14,364D191023,TB,200,200,100.00"
"20,15,3IINFOLTD,EQ,401061,204840,51.07"
"20,16,3MINDIA,EQ,7205,3064,42.53"
"20,17,3PLAND,EQ,23358,15969,68.37"
"20,18,5PAISA,EQ,25847,14365,55.58"
"20,19,619GS2034,GS,100,100,100.00"
"20,20,63MOONS,EQ,216177,80604,37.29"
"20,21,667GS2035,GS,1226,1226,100.00"
"20,22,667GS2050,GS,11,11,100.00"
"20,23,669GS2024,GS,5390,5390,100.00"
"20,24,689GS2025,GS,10,10,100.00"
"20,25,695GS2061,GS,1200,1200,100.00"
"20,26,699GS2051,GS,4042,4041,99.98"
"20,27,710GS2029,GS,1459,1459,100.00"
"20,28,726GS2032,GS,300,300,100.00"
"20,29,726GS2033,GS,881,881,100.00"
"20,30,732GS2024,GS,10,10,100.00"
"20,31,736GS2052,GS,2700,2700,100.00"
"20,32,737GS2023,GS,1000,1000,100.00"
"20,33,738GS2027,GS,23385,23385,100.00"
"20,34,741GS2036,GS,17350,17350,100.00"
"20,35,74GS2062,GS,6800,6800,100.00"
"20,36,754GS2036,GS,106036,106036,100.00"
"20,37,75GS2034,GS,25,25,100.00"
"20,38,824GS2027,GS,12595,12595,100.00"
"20,39,828GS2032,GS,3,3,100.00"
"20,40,883GS2041,GS,565,565,100.00"
"20,41,91D020323,TB,100,100,100.00"
"20,42,91D060423,TB,8500,8500,100.00"
"20,43,91D090323,TB,7000,7000,100.00"
"20,44,91D230323,TB,50300,50300,100.00"
"20,45,92GS2030,GS,1960,1930,98.47"
"20,46,A2ZINFRA,EQ,65418,34231,52.33"
"20,47,AAATECH,EQ,9378,5013,53.45"
"20,48,AAKASH,EQ,800828,496916,62.05"
"20,49,AAREYDRUGS,EQ,103841,35516,34.20"
"20,50,AARON,EQ,3738,2183,58.40"
"20,51,AARTIDRUGS,EQ,53761,23054,42.88"
"20,52,AARTIIND,EQ,1550890,924795,59.63"
"20,53,AARTIPHARM,EQ,112913,81465,72.15"
"20,54,AARTISURF,EQ,8444,5020,59.45"
"20,55,AARVEEDEN,EQ,8062,6668,82.71"
"20,56,AARVI,EQ,94661,64781,68.43"
"20,57,AAVAS,EQ,85038,35366,41.59"
"20,58,ABAN,EQ,67727,30157,44.53"
"20,59,ABB,EQ,252897,106959,42.29"
"20,60,ABBOTINDIA,EQ,8952,4061,45.36"
"20,61,ABCAPITAL,EQ,1316108,501172,38.08"
"20,62,ABFRL,EQ,3405148,1345328,39.51"
"20,63,ABSLAMC,EQ,30877,23285,75.41"
"20,64,ABSLBANETF,EQ,10216,6229,60.97"
"20,65,ABSLNN50ET,EQ,11696,7045,60.23"
"20,66,ACC,EQ,931391,357824,38.42"
"20,67,ACCELYA,EQ,50526,19384,38.36"
"20,68,ACCURACY,EQ,480516,272147,56.64"
"20,69,ACE,EQ,1057588,298328,28.21"
"20,70,ACEINTEG,EQ,8990,6185,68.80"
"20,71,ACI,EQ,311898,98240,31.50"
"20,72,ADANIENT,EQ,5578515,789991,14.16"
"20,73,ADANIGREEN,EQ,13543834,4328058,31.96"
"20,74,ADANIPORTS,EQ,9909820,2020131,20.39"
"20,75,ADANIPOWER,EQ,20084998,7549720,37.59"
"20,76,ADANITRANS,EQ,3689508,1202316,32.59"
"20,77,ADFFOODS,EQ,4629,3278,70.81"
"20,78,ADORWELD,EQ,37599,20340,54.10"
"20,79,ADROITINFO,EQ,18099,15274,84.39"
"20,80,ADSL,EQ,164352,86470,52.61"
"20,81,ADVANIHOTR,EQ,22338,11348,50.80"
"20,82,ADVENZYMES,EQ,19365,10922,56.40"
"20,83,AEGISCHEM,EQ,309177,119569,38.67"
"20,84,AETHER,EQ,28921,21079,72.88"
"20,85,AFFLE,EQ,132072,85346,64.62"
"20,86,AGARIND,EQ,20171,10798,53.53"
"20,87,AGI,EQ,835439,256301,30.68"
"20,88,AGNI,SM,10000,10000,100.00"
"20,89,AGRITECH,EQ,12323,6842,55.52"
"20,90,AGROPHOS,EQ,33186,23470,70.72"
"20,91,AGSTRA,EQ,80004,47574,59.46"
"20,92,AHL,EQ,55847,18825,33.71"
"20,93,AHLADA,EQ,4315,2124,49.22"
"20,94,AHLEAST,EQ,3143,2677,85.17"
"20,95,AHLUCONT,EQ,22769,6000,26.35"
"20,96,AIAENG,EQ,52013,36108,69.42"
"20,97,AILIMITED,SM,3000,3000,100.00"
"20,98,AIRAN,EQ,79681,65144,81.76"
"20,99,AIROLAM,EQ,4602,2499,54.30"
"20,100,AIRTELPP,E1,131818,99037,75.13"
"20,101,AJANTPHARM,EQ,46846,18477,39.44"
"20,102,AJMERA,EQ,137996,26700,19.35"
"20,103,AJOONI,EQ,510441,367633,72.02"
"20,104,AKASH,EQ,19179,13226,68.96"
"20,105,AKG,EQ,313696,274732,87.58"
"20,106,AKSHARCHEM,EQ,93100,48544,52.14"
"20,107,AKSHOPTFBR,EQ,150225,114608,76.29"
"20,108,AKZOINDIA,EQ,8522,4512,52.95"
"20,109,ALANKIT,EQ,180738,148409,82.11"
"20,110,ALBERTDAVD,EQ,7740,5123,66.19"
"20,111,ALEMBICLTD,EQ,126992,86094,67.79"
"20,112,ALICON,EQ,8478,4329,51.06"
"20,113,ALKEM,EQ,79306,29907,37.71"
"20,114,ALKYLAMINE,EQ,18445,9680,52.48"
"20,115,ALLCARGO,EQ,1980491,735756,37.15"
"20,116,ALLETEC,SM,22400,17600,78.57"
"20,117,ALLSEC,EQ,12004,8000,66.64"
"20,118,ALMONDZ,EQ,20971,10925,52.10"
"20,119,ALPA,EQ,136178,52968,38.90"
"20,120,ALPHAGEO,EQ,4044,2342,57.91"
"20,121,ALPSINDUS,EQ,8201,7702,93.92"
"20,122,AMARAJABAT,EQ,181835,73372,40.35"
"20,123,AMBER,EQ,19891,9826,49.40"
"20,124,AMBICAAGAR,EQ,4345,3451,79.42"
"20,125,AMBIKCO,EQ,5106,3506,68.66"
"20,126,AMBUJACEM,EQ,13932368,5200847,37.33"
"20,127,AMDIND,EQ,52333,21582,41.24"
"20,128,AMEYA,SM,4000,4000,100.00"
"20,129,AMIABLE,SM,3200,3200,100.00"
"20,130,AMIORG,EQ,98439,47878,48.64"
"20,131,AMJLAND,EQ,4633,2443,52.73"
"20,132,AMJUMBO,SM,8000,8000,100.00"
"20,133,AMRUTANJAN,EQ,56975,25254,44.32"
"20,134,ANANDRATHI,EQ,80358,32921,40.97"
"20,135,ANANTRAJ,EQ,1222842,481347,39.36"
"20,136,ANDHRAPAP,EQ,48442,29249,60.38"
"20,137,ANDHRSUGAR,EQ,86234,46481,53.90"
"20,138,ANDREWYU,EQ,113681,53588,47.14"
"20,139,ANGELONE,EQ,106658,45095,42.28"
"20,140,ANIKINDS,EQ,14693,7913,53.86"
"20,141,ANKITMETAL,EQ,192578,110360,57.31"
"20,142,ANLON,SM,14400,14400,100.00"
"20,143,ANMOL,EQ,10690,9092,85.05"
"20,144,ANNAPURNA,SM,16000,11000,68.75"
"20,145,ANTGRAPHIC,EQ,137735,121561,88.26"
"20,146,ANUP,EQ,20259,4933,24.35"
"20,147,ANURAS,EQ,63173,33088,52.38"
"20,148,APARINDS,EQ,216389,50940,23.54"
"20,149,APCL,EQ,5440,3784,69.56"
"20,150,APCOTEXIND,EQ,37390,25217,67.44"
"20,151,APEX,EQ,27423,14534,53.00"
"20,152,APLAPOLLO,EQ,2000263,943026,47.15"
"20,153,APLLTD,EQ,129254,63966,49.49"
"20,154,APOLLO,EQ,88063,58384,66.30"
"20,155,APOLLOHOSP,EQ,1419679,238918,16.83"
"20,156,APOLLOPIPE,EQ,25482,13758,53.99"
"20,157,APOLLOTYRE,EQ,2062059,901892,43.74"
"20,158,APOLSINHOT,EQ,530,420,79.25"
"20,159,APTECHT,EQ,420966,118166,28.07"
"20,160,APTUS,EQ,236605,119203,50.38"
"20,161,ARCHIDPLY,EQ,39641,33018,83.29"
"20,162,ARCHIES,EQ,44110,24797,56.22"
"20,163,ARENTERP,EQ,2355,1491,63.31"
"20,164,ARHAM,SM,39000,18000,46.15"
"20,165,ARIES,EQ,319267,50445,15.80"
"20,166,ARIHANTACA,SM,12800,12800,100.00"
"20,167,ARIHANTCAP,EQ,17775,14282,80.35"
"20,168,ARIHANTSUP,EQ,225237,64760,28.75"
"20,169,ARISTO,SM,22400,19200,85.71"
"20,170,ARMANFIN,EQ,9025,4677,51.82"
"20,171,AROGRANITE,EQ,9768,8011,82.01"
"20,172,ARROWGREEN,EQ,102058,63788,62.50"
"20,173,ARSHIYA,EQ,639523,497456,77.79"
"20,174,ARTEMISMED,EQ,67280,48731,72.43"
"20,175,ARVIND,EQ,269470,160819,59.68"
"20,176,ARVINDFASN,EQ,143988,77841,54.06"
"20,177,ARVSMART,EQ,17050,8433,49.46"
"20,178,ASAHIINDIA,EQ,23072,10598,45.93"
"20,179,ASAHISONG,EQ,30302,7880,26.00"
"20,180,ASAL,EQ,12958,6678,51.54"
"20,181,ASALCBR,EQ,37938,31651,83.43"
