Security Wise Delivery Position - Compulsory Rolling Settlement
"10,MTO,23052023,966430162,0002269"
"Trade Date <23-MAY-2023>,Settlement Type <N>"
"Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity"
"20,1,1018GS2026,GS,182,182,100.00"
"20,2,182D021123,TB,1500,1500,100.00"
"20,3,182D091123,TB,500,500,100.00"
"20,4,182D121023,TB,100,100,100.00"
"20,5,182D290923,TB,100,100,100.00"
"20,6,20MICRONS,EQ,333663,171912,51.52"
"20,7,21STCENMGM,EQ,5337,5337,100.00"
"20,8,360ONE,EQ,630668,522536,82.85"
"20,9,364D091123,TB,30100,30100,100.00"
"20,10,364D110424,TB,100,100,100.00"
"20,11,364D121023,TB,20000,20000,100.00"
"20,12,364D130723,TB,100,100,100.00"
"20,13,364D160524,TB,10000,10000,100.00"
"20,14,364D161123,TB,20900,15900,76.08"
"20,15,364D191023,TB,20000,20000,100.00"
"20,16,3IINFOLTD,EQ,297282,204728,68.87"
"20,17,3MINDIA,EQ,1770,733,41.41"
"20,18,3PLAND,EQ,12579,8672,68.94"
"20,19,5PAISA,EQ,22172,14105,63.62"
"20,20,619GS2034,GS,110,110,100.00"
"20,21,63MOONS,EQ,216063,130456,60.38"
"20,22,664GS2035,GS,6665,6665,100.00"
"20,23,667GS2050,GS,2368,2368,100.00"
"20,24,669GS2024,GS,550,550,100.00"
"20,25,676GS2061,GS,300,300,100.00"
"20,26,689GS2025,GS,1000,1000,100.00"
"20,27,695GS2061,GS,1014,1014,100.00"
"20,28,699GS2051,GS,3450,3450,100.00"
"20,29,710GS2029,GS,86159,53100,61.63"
"20,30,716GS2050,GS,1700,1700,100.00"
"20,31,717GS2030,GS,26000,26000,100.00"
"20,32,719GS2060,GS,100,100,100.00"
"20,33,726GS2032,GS,20150,20150,100.00"
"20,34,726GS2033,GS,440,440,100.00"
"20,35,736GS2052,GS,23975,23975,100.00"
"20,36,738GS2027,GS,171731,171231,99.71"
"20,37,741GS2036,GS,10300,9900,96.12"
"20,38,74GS2062,GS,15515,15415,99.36"
"20,39,754GS2036,GS,443728,431438,97.23"
"20,40,757GS2033,GS,100,100,100.00"
"20,41,75GS2034,GS,5,5,100.00"
"20,42,794TN32,SG,4000,4000,100.00"
"20,43,795GS2032,GS,400000,200000,50.00"
"20,44,813GS2045,GS,220,110,50.00"
"20,45,91D130723,TB,2400,2400,100.00"
"20,46,91D170823,TB,2500,2500,100.00"
"20,47,92GS2030,GS,1182,1182,100.00"
"20,48,A2ZINFRA,EQ,93599,74134,79.20"
"20,49,AAATECH,EQ,15965,8666,54.28"
"20,50,AAKASH,EQ,172438,122848,71.24"
"20,51,AAREYDRUGS,EQ,11833,8381,70.83"
"20,52,AARON,EQ,28662,14254,49.73"
"20,53,AARTIDRUGS,EQ,125930,41947,33.31"
"20,54,AARTIIND,EQ,944612,386537,40.92"
"20,55,AARTIPHARM,EQ,153139,76898,50.21"
