Security Wise Delivery Position - Compulsory Rolling Settlement
"10,MTO,14062023,1238105369,0002236"
"Trade Date <14-JUN-2023>,Settlement Type <N>"
"Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity"
"20,1,1018GS2026,GS,1,1,100.00"
"20,2,182D051023,TB,2000,1000,50.00"
"20,3,182D100823,TB,600,600,100.00"
"20,4,182D121023,TB,300,300,100.00"
"20,5,182D140923,TB,1000,1000,100.00"
"20,6,182D220623,TB,1900,1900,100.00"
"20,7,182D231123,TB,2000,1000,50.00"
"20,8,20MICRONS,EQ,960364,339891,35.39"
"20,9,21STCENMGM,EQ,1172,1172,100.00"
"20,10,360ONE,EQ,672876,618917,91.98"
"20,11,364D010224,TB,100,100,100.00"
"20,12,364D021123,TB,1300,1300,100.00"
"20,13,364D070324,TB,500,500,100.00"
"20,14,364D091123,TB,500,500,100.00"
"20,15,364D110424,TB,100,100,100.00"
"20,16,364D141223,TB,10000,10000,100.00"
"20,17,364D180124,TB,5400,5400,100.00"
"20,18,364D220623,TB,600,600,100.00"
"20,19,364D250424,TB,300,300,100.00"
"20,20,364D290224,TB,700,700,100.00"
"20,21,3IINFOLTD,EQ,2169597,811252,37.39"
"20,22,3MINDIA,EQ,5785,2263,39.12"
"20,23,515GS2025,GS,100,100,100.00"
"20,24,579GS2030,GS,100,100,100.00"
"20,25,5PAISA,EQ,53545,24677,46.09"
"20,26,613GS2028,GS,3,3,100.00"
"20,27,63MOONS,EQ,55858,25777,46.15"
"20,28,645GS2029,GS,9,9,100.00"
"20,29,654GS2032,GS,720,720,100.00"
"20,30,664GS2035,GS,4096,3596,87.79"
"20,31,667GS2035,GS,22,11,50.00"
"20,32,667GS2050,GS,1,1,100.00"
"20,33,669GS2024,GS,1015,651,64.14"
"20,34,68GS2060,GS,13400,13400,100.00"
"20,35,699GS2026,GS,6345,6345,100.00"
"20,36,699GS2051,GS,1147,1042,90.85"
"20,37,706GS2028,GS,11045,10045,90.95"
"20,38,710GS2029,GS,1702,1702,100.00"
"20,39,716GS2050,GS,1,1,100.00"
"20,40,717GS2030,GS,19990,19990,100.00"
"20,41,726GS2032,GS,10919,9009,82.51"
"20,42,736GS2052,GS,58,57,98.28"
"20,43,738GS2027,GS,35954,35954,100.00"
"20,44,741GS2036,GS,45100,45100,100.00"
"20,45,74GS2062,GS,5836,5714,97.91"
"20,46,754GS2036,GS,564189,561816,99.58"
"20,47,762MH30A,SG,200,200,100.00"
"20,48,768UP32,SG,100,100,100.00"
"20,49,772GS2025,GS,21,21,100.00"
"20,50,795GS2032,GS,3221,3021,93.79"
"20,51,91D060723,TB,1800,1300,72.22"
"20,52,91D070923,TB,200,200,100.00"
"20,53,91D170823,TB,200,200,100.00"
"20,54,91D270723,TB,100,100,100.00"
"20,55,A2ZINFRA,EQ,208229,157017,75.41"
"20,56,AAATECH,EQ,5127,3160,61.63"
"20,57,AAREYDRUGS,EQ,46609,25439,54.58"
"20,58,AARON,EQ,5532,3343,60.43"
"20,59,AARTIDRUGS,EQ,161551,67741,41.93"
"20,60,AARTIIND,EQ,1139950,447308,39.24"
"20,61,AARTIPHARM,EQ,518335,254628,49.12"
"20,62,AARTIPP,E1,117,75,64.10"
"20,63,AARTISURF,EQ,12364,9059,73.27"
"20,64,AARVEEDEN,EQ,7834,6648,84.86"
"20,65,AARVI,EQ,34608,27025,78.09"
"20,66,AAVAS,EQ,504286,330350,65.51"
"20,67,ABAN,EQ,294295,140206,47.64"
"20,68,ABB,EQ,282696,101819,36.02"
"20,69,ABBOTINDIA,EQ,7374,2753,37.33"
"20,70,ABCAPITAL,EQ,3070446,1306683,42.56"
"20,71,ABFRL,EQ,9065347,2973182,32.80"
"20,72,ABINFRA,SM,4000,4000,100.00"
"20,73,ABSLAMC,EQ,44870,27269,60.77"
"20,74,ABSLBANETF,EQ,97974,87994,89.81"
"20,75,ABSLLIQUID,EQ,320,320,100.00"
"20,76,ABSLNN50ET,EQ,8219,4955,60.29"
"20,77,ACC,EQ,250046,120120,48.04"
"20,78,ACCELYA,EQ,18098,11079,61.22"
"20,79,ACCORD,SM,2000,2000,100.00"
"20,80,ACCURACY,EQ,649437,426601,65.69"
"20,81,ACE,EQ,164546,81120,49.30"
"20,82,ACI,EQ,170636,114810,67.28"
"20,83,ACL,EQ,175492,101871,58.05"
"20,84,ADANIENT,EQ,1364403,287575,21.08"
"20,85,ADANIGREEN,EQ,381844,208191,54.52"
"20,86,ADANIPORTS,EQ,3900945,2301453,59.00"
"20,87,ADANIPOWER,EQ,3529920,1731858,49.06"
"20,88,ADANITRANS,EQ,748746,449403,60.02"
"20,89,ADFFOODS,EQ,8911,4792,53.78"
"20,90,ADORWELD,EQ,90040,29808,33.11"
"20,91,ADSL,EQ,172284,113401,65.82"
"20,92,ADVANIHOTR,EQ,36638,23335,63.69"
"20,93,ADVENZYMES,EQ,228098,194296,85.18"
"20,94,AEGISCHEM,EQ,222724,108519,48.72"
"20,95,AETHER,EQ,30970,16886,54.52"
"20,96,AFFLE,EQ,431487,225378,52.23"
"20,97,AGARIND,EQ,29052,16087,55.37"
"20,98,AGARWALFT,SM,30000,24000,80.00"
