Security Wise Delivery Position - Compulsory Rolling Settlement
"10,MTO,22082023,1466269810,0002131"
"Trade Date <22-AUG-2023>,Settlement Type <N>"
"Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity"
"20,1,1018GS2026,GS,1252,1251,99.92"
"20,2,182D070923,TB,100,100,100.00"
"20,3,182D121023,TB,500,500,100.00"
"20,4,182D220923,TB,700,700,100.00"
"20,5,182D310823,TB,100,100,100.00"
"20,6,21STCENMGM,EQ,4999,4641,92.84"
"20,7,360ONE,EQ,213462,158656,74.33"
"20,8,364D010824,TB,800,800,100.00"
"20,9,364D021123,TB,1000,1000,100.00"
"20,10,364D070324,TB,1000,1000,100.00"
"20,11,364D070923,TB,1900,1200,63.16"
"20,12,364D130624,TB,300,300,100.00"
"20,13,364D161123,TB,300,300,100.00"
"20,14,364D180724,TB,11000,11000,100.00"
"20,15,364D191023,TB,400,200,50.00"
"20,16,364D240823,TB,400,400,100.00"
"20,17,364D290224,TB,500,500,100.00"
"20,18,3IINFOLTD,EQ,532768,321109,60.27"
"20,19,3MINDIA,EQ,2279,1015,44.54"
"20,20,448GS2023,GS,7,7,100.00"
"20,21,522GS2025,GS,1,1,100.00"
"20,22,563GS2026,GS,10,10,100.00"
"20,23,574GS2026,GS,30,30,100.00"
"20,24,5PAISA,EQ,182324,68204,37.41"
"20,25,63MOONS,EQ,333682,215332,64.53"
"20,26,654GS2032,GS,1,1,100.00"
"20,27,667GS2035,GS,120,120,100.00"
"20,28,667GS2050,GS,3115,3115,100.00"
"20,29,669GS2024,GS,8017,8017,100.00"
"20,30,689GS2025,GS,5800,5800,100.00"
"20,31,68GS2060,GS,34,34,100.00"
"20,32,699GS2026,GS,500,500,100.00"
"20,33,699GS2051,GS,607,607,100.00"
"20,34,706GS2028,GS,4000,4000,100.00"
"20,35,710GS2029,GS,50057,50000,99.89"
"20,36,717GS2030,GS,14226,13016,91.49"
"20,37,718GS2033,GS,4908,4708,95.93"
"20,38,718GS2037,GS,7977,7977,100.00"
"20,39,725GS2063,GS,6510,6510,100.00"
"20,40,726GS2032,GS,26501,26500,100.00"
"20,41,726GS2033,GS,4209,4209,100.00"
"20,42,736GS2052,GS,219,219,100.00"
"20,43,738GS2027,GS,169733,169723,99.99"
"20,44,73GS2053,GS,150,150,100.00"
"20,45,741GS2036,GS,69500,69500,100.00"
"20,46,74GS2062,GS,151,151,100.00"
"20,47,754GS2036,GS,480221,479684,99.89"
"20,48,759GS2026,GS,12,12,100.00"
"20,49,794TN32,SG,100,100,100.00"
"20,50,795GS2032,GS,101,101,100.00"
"20,51,897GS2030,GS,1,1,100.00"
"20,52,91D051023,TB,1400,1400,100.00"
"20,53,91D070923,TB,1000,1000,100.00"
"20,54,91D091123,TB,5500,5500,100.00"
"20,55,91D121023,TB,200,200,100.00"
"20,56,91D140923,TB,100,100,100.00"
"20,57,91D261023,TB,6000,6000,100.00"
"20,58,91D290923,TB,500,500,100.00"
"20,59,92GS2030,GS,5000,5000,100.00"
"20,60,A2ZINFRA,EQ,1232955,916568,74.34"
"20,61,AAATECH,EQ,16434,9205,56.01"
"20,62,AARTECH,EQ,113812,56079,49.27"
"20,63,AARTIDRUGS,EQ,219369,75495,34.41"
"20,64,AARTIIND,EQ,768401,502635,65.41"
"20,65,AARTIPHARM,EQ,490944,258658,52.69"
"20,66,AARTIPP,E1,143,24,16.78"
"20,67,AARTISURF,EQ,15116,10300,68.14"
"20,68,AARTISURF,P1,237,132,55.70"
"20,69,AARVEEDEN,EQ,110736,46058,41.59"
"20,70,AARVI,EQ,8254,5356,64.89"
"20,71,AATMAJ,SM,22000,18000,81.82"
"20,72,AAVAS,EQ,70518,40996,58.14"
"20,73,ABAN,EQ,406770,165094,40.59"
"20,74,ABB,EQ,216566,136373,62.97"
"20,75,ABBOTINDIA,EQ,6529,3006,46.04"
"20,76,ABCAPITAL,EQ,3736162,1339186,35.84"
"20,77,ABCOTS,SM,128000,88000,68.75"
"20,78,ABFRL,EQ,1688386,690130,40.88"
"20,79,ABINFRA,SM,28000,28000,100.00"
"20,80,ABSLAMC,EQ,59691,35831,60.03"
"20,81,ABSLBANETF,EQ,237144,226832,95.65"
"20,82,ABSLLIQUID,EQ,480,473,98.54"
"20,83,ABSLNN50ET,EQ,2466,1155,46.84"
"20,84,ACC,EQ,407798,203948,50.01"
"20,85,ACCELYA,EQ,78566,37166,47.31"
"20,86,ACE,EQ,166186,74593,44.89"
"20,87,ACI,EQ,496917,228384,45.96"
"20,88,ADANIENT,EQ,10291468,4690494,45.58"
"20,89,ADANIGREEN,EQ,1863617,608653,32.66"
"20,90,ADANIPORTS,EQ,8037324,3142804,39.10"
"20,91,ADANIPOWER,EQ,36573300,8524979,23.31"
"20,92,ADANITRANS,EQ,11493001,5227637,45.49"
"20,93,ADFFOODS,EQ,19468,7762,39.87"
"20,94,ADORWELD,EQ,67340,24169,35.89"
"20,95,ADSL,EQ,608773,284984,46.81"
"20,96,ADVANIHOTR,EQ,67346,41004,60.89"
"20,97,ADVENZYMES,EQ,132368,74459,56.25"
