SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI,ISIN_CODE,TRADING_DATE,FILLER2,FILLER3
500002,ABB LTD.    ,A ,Q,3722,3817,3719,3797.5,3797.5,3718.9,2792,18869,71047260,,INE117A01022,08-May-23,,
500003,AEGIS LOGIS ,A ,Q,395.1,398.5,392.4,397,397,394.45,1005,22074,8716458,,INE208C01025,08-May-23,,
500008,AMAR RAJA BA,A ,Q,616.3,637.5,616.3,621.1,621.1,610.7,6203,108949,68238737,,INE885A01032,08-May-23,,
500009,A.SARABHAI  ,X ,Q,22.4,23.8,22.02,22.55,22.6,22.03,384,116762,2670306,,INE432A01017,08-May-23,,
500010,HDFC        ,A ,Q,2710,2744.75,2710,2735.25,2735.25,2701.15,2394,31591,86387699,,INE001A01036,08-May-23,,
500012,ANDHRA PETRO,X ,Q,63.51,64.8,63.51,63.77,63.99,63.44,357,29784,1902358,,INE714B01016,08-May-23,,
500013,ANSAL INFRAS,T ,Q,11.1,11.19,10.71,10.89,10.86,11.07,75,27406,296666,,INE436A01026,08-May-23,,
500014,UTIQUE      ,X ,Q,5.12,5.13,5,5.09,5.12,5.01,157,35595,180384,,INE096A01010,08-May-23,,
500016,ARUNAHTEL   ,XT,Q,18.9,19.91,18.9,19.91,19.91,18.97,190,407016,8084249,,INE957C01019,08-May-23,,
500020,BOM DYEING  ,B ,Q,80.01,85.59,80.01,84.78,84.5,81.45,1282,142969,12008540,,INE032A01023,08-May-23,,
500023,ASIANHOTNR  ,T ,Q,164.35,164.35,150.15,159,159,156.55,11,333,52541,,INE363A01022,08-May-23,,
500027,ATUL LTD.   ,A ,Q,6711.1,6768,6691.85,6739.55,6750,6723.15,612,1486,9999625,,INE100A01010,08-May-23,,
500028,ATV PROJECTS,XT,Q,8.09,8.14,7.71,7.76,7.94,7.8,61,8414,66724,,INE447A01015,08-May-23,,
