Sr.No.,Accord Code,Company Name,CD_ISIN No,CD_BSE Code,CD_NSE Symbol,CD_Bloomberg Code,CD_Reuters Code,CD_Sector,CD_Industry1,SC_Latest Price Date,CD_Listing Status,SC_Latest Price,SC_Latest Market Cap
1,207635,20 Microns Ltd.,INE144J01027,533022,20MICRONS,20ML IN,MICR.BO,Mining,Mining & Minerals,09-Jun-2017,Listed,39.00,137.62
2,126921,21st Century Management Services Ltd.,INE253B01015,526921,21STCENMGM,TWCMS IN,TWMS.BO,Finance,Finance - Investment,09-Jun-2017,Listed,25.05,26.30
3,132628,3I Infotech Ltd.,INE748C01020,532628,3IINFOTECH,III IN,TIIN.BO,IT,IT - Software ,09-Jun-2017,Listed,4.49,559.44
4,123395,3M India Ltd.,INE470A01017,523395,3MINDIA,3M IN,TMIN.BO,Diversified,Diversified,09-Jun-2017,Listed,13939.90,15703.39
5,218799,500 Shariah,,,SHARIAH500,,,Other,Index,09-Jun-2017,Listed,2717.04,0.00
6,131925,52 Weeks Entertainment Ltd.,INE545N01019,531925,,SSAQ IN,SSAL.BO,Media & Entertainment,Film Production  Distribution & Entertainment,05-Jun-2017,Listed,101.35,353.51
7,126881,63 Moons Technologies Ltd.,INE111B01023,526881,63MOONS,63MOONS IN,FITE.BO,IT,IT - Software ,09-Jun-2017,Listed,68.25,314.49
8,112161,8K Miles Software Services Ltd.,INE650K01021,512161,8KMILES,KMSS IN,8KMS.BO,IT,IT - Software ,09-Jun-2017,Listed,550.75,1680.76
9,207644,A Infrastructure Ltd.,INE534E01012,539620,,AINFRA IN,,Construction Materials,Cement & Construction Materials,25-May-2017,Listed,33.60,35.82
10,207654,A2Z Infra Engineering Ltd.,INE619I01012,533292,A2ZINFRA,A2ZL IN,ATOZ.BO,Infrastructure,Engineering - Construction,09-Jun-2017,Listed,42.50,616.57
11,131611,Aadhaar Ventures India Ltd.,INE063D01030,531611,,AVIL IN,AADH.BO,Trading,Trading,09-Jun-2017,Listed,0.72,11.31
12,130027,Aadi Industries Ltd.,INE563D01013,530027,,AADI IN,AADI.BO,Plastic Products,Plastic Products,29-May-2017,Listed,1.07,1.07
13,270100,Aananda Lakshmi Spinning Mills Ltd.,INE197R01010,539096,,ALSM IN,AANA.BO,Textile ,Textile - Spinning,08-Jun-2017,Listed,4.90,1.71
14,271851,Aanchal Ispat Ltd.,INE322R01014,538812,,AAN IN,AANC.BO,Automobile & Ancillaries,Castings/Forgings,09-Jun-2017,Listed,12.90,26.90
15,124412,Aarey Drugs & Pharmaceuticals Ltd.,INE198H01019,524412,,AD IN,ADPH.BO,Trading,Trading,09-Jun-2017,Listed,116.50,210.69
16,124348,Aarti Drugs Ltd.,INE767A01016,524348,AARTIDRUGS,ARTD IN,ADRG.BO,Healthcare,Pharmaceuticals & Drugs,09-Jun-2017,Listed,498.05,1206.13
17,124208,Aarti Industries Ltd.,INE769A01020,524208,AARTIIND,ARTO IN,ARTI.BO,Chemicals,Chemicals ,09-Jun-2017,Listed,900.55,7395.35
18,114274,Aarvee Denims & Exports Ltd.,INE273D01019,514274,AARVEEDEN,ARV IN,AADM.BO,Textile ,Textile - Weaving,09-Jun-2017,Listed,61.15,143.46
19,131731,Aarya Global Shares and Securities Ltd.,INE233H01030,531731,,ARGS IN,ARYA.BO,Finance,Finance - Stock Broking,02-May-2017,Listed,0.46,1.00
20,119319,Aashee Infotech Ltd.,INE847M01011,519319,,AIL IN,AASH.BO,Trading,Trading,20-Jan-2017,Listed,2.48,0.92
21,236023,Aayush Food & Herbs Ltd.,INE430R01015,539528,,AAYF IN,AAYU.BO,Healthcare,Pharmaceuticals & Drugs,08-Jun-2017,Listed,48.55,15.75
22,123204,Aban Offshore Ltd.,INE421A01028,523204,ABAN,ABAN IN,ABAN.BO,Crude Oil,Oil Exploration,09-Jun-2017,Listed,183.15,1068.96
23,100002,ABB India Ltd.,INE117A01022,500002,ABB,ABB IN,ABB.BO,Capital Goods,Electric Equipment,09-Jun-2017,Listed,1456.70,30868.69
24,100488,Abbott India Ltd.,INE358A01014,500488,ABBOTINDIA,BOOT IN,ABOT.BO,Healthcare,Pharmaceuticals & Drugs,09-Jun-2017,Listed,4237.20,9003.75
25,105665,ABC Bearings Ltd.,INE779A01011,505665,ANTFRIBEAR,ABCL IN,ABCB.BO,Automobile & Ancillaries,Bearings,09-Jun-2017,Listed,171.25,197.79
26,113119,ABC Gas (International) Ltd.,INE173M01012,513119,,ABCG IN,ABGI.BO,Non - Ferrous Metals,Metal - Non Ferrous ,29-May-2017,Listed,23.90,4.73
27,120123,ABC India Ltd.,INE125D01011,520123,,ABCI IN,ABCI.BO,Logistics,Logistics,09-Jun-2017,Listed,93.00,50.38
28,132682,ABG Shipyard Ltd.,INE067H01016,532682,ABGSHIP,ABGS IN,ABGS.BO,Ship Building,Ship Building,09-Jun-2017,Listed,10.28,102.47
29,132057,Abhinav Capital Services Ltd.,INE516F01016,532057,,ACSL IN,ACSL.BO,Finance,Finance - NBFC,01-Jun-2017,Listed,94.00,65.09
30,254245,Abhinav Leasing & Finance Ltd.,INE211D01027,538952,,ALFL IN,ABHI.BO,Finance,Finance - NBFC,09-Jun-2017,Listed,4.75,23.74
31,132831,Abhishek Corporation Ltd.,INE004I01017,532831,ABHISHEK,ABSC IN,ABSH.BO,Textile ,Textile - Spinning,09-Jun-2017,Listed,2.20,3.52
32,232042,Abhishek Finlease Ltd.,INE723C01015,538935,,ABFI IN,,Finance,Finance - NBFC,08-Jun-2017,Listed,9.50,4.05
33,243732,Abhishek Infraventures Ltd.,INE281P01016,539544,,AINL IN,ABHS.BO,Finance,Finance - Stock Broking,09-Jun-2017,Listed,7.80,2.53
34,111756,Abirami Financial Services (India) Ltd.,INE195I01013,511756,,ARFS IN,ABFS.BO,Finance,Finance - Investment,16-May-2017,Listed,11.00,6.60
35,224765,ABM International Ltd.,INE251C01017,,ABMINTLTD,ABMINTL IN,,Trading,Trading,09-Jun-2017,Listed,70.05,82.38
36,131161,ABM Knowledgeware Ltd.,INE850B01026,531161,,ECM IN,ABMK.BO,IT,IT - Software ,09-Jun-2017,Listed,142.50,285.03
37,100410,ACC Ltd.,INE012A01025,500410,ACC,ACC IN,ACC.BO,Construction Materials,Cement & Construction Materials,09-Jun-2017,Listed,1622.35,30465.67
38,132774,Accel Frontline Ltd.,INE020G01017,532774,AFL,ACFL IN,ACFL.BO,IT,IT - Software ,09-Jun-2017,Listed,54.95,163.54
39,117494,Accel Transmatic Ltd.,INE258C01020,517494,,ACCT IN,ACTR.BO,Consumer Durables,IT - Hardware,02-Jun-2017,Listed,5.11,5.64
40,132268,Accelya Kale Solutions Ltd.,INE793A01012,532268,ACCELYA,KALE IN,AKSL.BO,IT,IT - Software ,09-Jun-2017,Listed,1408.85,2102.89
41,130093,ACE EduTrend Ltd.,INE715F01014,530093,,AIF IN,ACEI.BO,Media & Entertainment,Film Production  Distribution & Entertainment,09-Jun-2017,Listed,1.95,1.79
42,279899,ACE Men Engg Works Ltd.,INE023R01018,539661,,ACEMEN IN,,Trading,Trading,08-Jun-2017,Listed,22.20,6.88
43,131525,Ace Software Exports Ltd.,INE849B01010,531525,,ACESE IN,ACES.BO,IT,IT - Software ,08-Jun-2017,Listed,18.15,8.49
44,267596,Achal Investments Ltd.,INE860P01025,538570,,ACHI IN,ACHL.BO,Finance,Finance - Investment,09-Jun-2017,Listed,1.74,10.98
45,117356,ACI Infocom Ltd.,INE167B01025,517356,,SJDP IN,ACII.BO,Consumer Durables,IT - Hardware,09-Jun-2017,Listed,8.65,95.57
46,130901,Acil Cotton Industries Ltd.,INE066C01035,530901,,ACOT IN,ACIL.BO,Trading,Trading,08-Jun-2017,Listed,0.18,3.99
47,130043,Acknit Industries Ltd.,INE326C01017,530043,,AKNT IN,ACKT.BO,Textile ,Textile ,09-Jun-2017,Listed,105.25,26.52
48,224766,ACME Resources Ltd.,INE636B01011,539391,,ACMR IN,ACME.BO,Finance,Finance - NBFC,09-Jun-2017,Listed,13.80,35.53
49,220607,Acropetal Technologies Ltd.,INE055L01013,533330,ACROPETAL,ACRO IN,ACRP.BO,IT,IT - Software ,02-May-2017,Listed,1.67,6.49
50,113149,Acrow India Ltd.,INE950D01012,513149,,ACRW IN,ACRO.BO,Capital Goods,Engineering - Industrial Equipments,09-Jun-2017,Listed,160.10,10.25
51,124091,Acrysil Ltd.,INE482D01016,524091,,ACRY IN,ACRI.BO,Plastic Products,Plastic Products,09-Jun-2017,Listed,470.10,243.93
52,132762,Action Construction Equipment Ltd.,INE731H01025,532762,ACE,ACCE IN,ACEL.BO,Capital Goods,Engineering - Industrial Equipments,09-Jun-2017,Listed,64.50,756.73
53,111706,Action Financial Services (India) Ltd.,INE357A01032,511706,,AFIS IN,ACTF.BO,Finance,Finance - Stock Broking,09-Jun-2017,Listed,8.50,10.63
54,112599,Adani Enterprises Ltd.,INE423A01024,512599,ADANIENT,ADE IN,ADEL.BO,Trading,Trading,09-Jun-2017,Listed,132.25,14544.99
55,132921,Adani Ports and Special Economic Zone Ltd.,INE742F01042,532921,ADANIPORTS,ADSEZ IN,APSE.BO,Logistics,Port,09-Jun-2017,Listed,359.80,74512.84
56,209867,Adani Power Ltd.,INE814H01011,533096,ADANIPOWER,ADANI IN,ADAN.BO,Power,Power Generation/Distribution,09-Jun-2017,Listed,26.75,10317.31
57,271875,Adani Transmission Ltd.,INE931S01010,539254,ADANITRANS,ADANIT IN,ADAI.BO,Power,Power Generation/Distribution,09-Jun-2017,Listed,115.00,12647.82
58,126711,Adarsh Plant Protect Ltd.,INE627D01016,526711,,ADPP IN,ADPP.BO,Capital Goods,Engineering - Industrial Equipments,09-Jun-2017,Listed,5.82,5.77
59,123411,ADC India Communications Ltd.,INE833A01016,523411,KRONECOMM,ADCIC IN,ADCI.BO,Telecom,Telecommunication - Equipment,09-Jun-2017,Listed,230.25,105.92
60,223944,ADCC Infocad Ltd.,INE016Q01014,538734,,ADCC IN,ADCC.BO,IT,IT - Software ,09-Jun-2017,Listed,130.00,118.80
61,107852,Addi Industries Ltd.,INE757C01021,507852,,ADDI IN,ADDI.BO,Textile ,Textile ,08-Jun-2017,Listed,7.58,8.18
62,119183,ADF Foods Ltd.,INE982B01019,519183,ADFFOODS,ADFL IN,AMRN.BO,FMCG,Consumer Food,09-Jun-2017,Listed,301.05,638.27
63,236181,Adhbhut Infrastructure Ltd.,INE578L01014,539189,,ADHI IN,ADHB.BO,Infrastructure,Engineering - Construction,09-Jun-2017,Listed,59.00,64.90
64,242786,Adhunik Industries Ltd.,INE452L01012,538365,ADHUNIKIND,ADIL IN,ADNK.BO,Iron & Steel,Steel & Iron Products,09-Jun-2017,Listed,101.90,476.52
