,,,,,,,,
,,,,,,,,
Sr.No.,Accord Code,Company Name,CD_BSE Code,CD_NSE Symbol,SC_Latest Price Date,SC_Latest No of Shares,CD_ISIN No,
43,100002,ABB India Ltd.,500002,ABB,08-Sep-2017,211908375,INE117A01022,
150,100003,Aegis Logistics Ltd.,500003,AEGISCHEM,08-Sep-2017,334000000,INE208C01025,
6630,205428,Torrent Power AEC Ltd. (Amalgamated),500004,TORRENTAEC,,63275187,INE424A01014,
197,100005,Akar Laminators Ltd.,500005,AKARLAMIN,31-Jan-2003,17182500,INE984C01013,
263,205429,Alpha Drug India Ltd. (Amalgamated),500006,,,7584690,INE256B01026,
283,100008,Amara Raja Batteries Ltd.,500008,AMARAJABAT,08-Sep-2017,170812500,INE885A01032,
289,100009,Ambalal Sarabhai Enterprises Ltd.,500009,AMBASARABH,08-Sep-2017,76633296,INE432A01017,
2486,100010,Housing Development Finance Corporation Ltd.,500010,HDFC,08-Sep-2017,1593443970,INE001A01036,
335,100012,Andhra Petrochemicals Ltd.,500012,ANDHRAPET,08-Sep-2017,84971600,INE714B01016,
370,100013,Ansal Properties & Infrastructure Ltd.,500013,ANSALAPI,08-Sep-2017,157404876,INE436A01026,
406,100014,Apple Finance Ltd.,500014,APPLEIND,08-Sep-2017,55673122,INE096A01010,
2511,205430,ICICI Ltd. (Amalgamated),500015,ICICI,,785344448,INE005A01011,
469,100016,Aruna Hotels Ltd.,500016,ARUNASUGAR,20-Dec-2004,9000000,INE957C01019,
933,100020,Bombay Dyeing & Manufacturing Company Ltd.,500020,BOMDYEING,08-Sep-2017,206534900,INE032A01023,
521,100023,Asian Hotels (North) Ltd.,500023,ASIANHOTNR,08-Sep-2017,19453229,INE363A01022,
541,100024,Assam Company India Ltd.,500024,ASSAMCO,08-Sep-2017,309760963,INE442A01024,
544,100025,Assambrook Ltd.,500025,,07-Mar-2008,11911242,INE353C01011,
577,100027,Atul Ltd.,500027,ATUL,08-Sep-2017,29661733,INE100A01010,
578,100028,ATV Projects India Ltd.,500028,ATVPROJ,08-Sep-2017,53117425,INE447A01015,
597,100029,Autolite (India) Ltd.,500029,AUTOLITIND,08-Sep-2017,10581241,INE448A01013,
604,100030,Autoriders Finance Ltd.,500030,AUTORIDFIN,07-Aug-2017,13107000,INE450A01019,
667,100031,Bajaj Electricals Ltd.,500031,BAJAJELEC,08-Sep-2017,101525351,INE193E01025,
673,100032,Bajaj Hindusthan Sugar Ltd.,500032,BAJAJHIND,08-Sep-2017,1133559942,INE306A01021,
1874,100033,Force Motors Ltd.,500033,BAJAJTEMPO,08-Sep-2017,13176262,INE451A01017,
668,100034,Bajaj Finance Ltd.,500034,BAJFINANCE,08-Sep-2017,549890090,INE296A01024,
685,100035,Balaji Distilleries Ltd. (Merged),500035,BALAJIDIST,06-Jan-2011,143017560,INE453A01013,
688,100036,Balaji Industrial Corporation Ltd.,500036,BALAJIIND,14-Feb-2003,52782105,INE455A01018,
700,100037,Balmer Lawrie Freight Containers Ltd.,500037,,28-Dec-2001,3406107,,
702,100038,Balrampur Chini Mills Ltd.,500038,BALRAMCHIN,08-Sep-2017,235022467,INE119A01028,
708,100039,Banco Products (India) Ltd.,500039,BANCOINDIA,08-Sep-2017,71518650,INE213C01025,
1097,100040,Century Textiles & Industries Ltd.,500040,CENTURYTEX,08-Sep-2017,111695680,INE055A01016,
720,100041,Bannari Amman Sugars Ltd.,500041,BANARISUG,08-Sep-2017,12539700,INE459A01010,
734,100042,BASF India Ltd.,500042,BASF,08-Sep-2017,43285640,INE373A01013,
736,100043,Bata India Ltd.,500043,BATAINDIA,08-Sep-2017,128527540,INE176A01028,
764,100045,Bellary Steels & Alloys Ltd.,500045,BELLARYSTL,23-Feb-2011,731432000,INE166C01025,
779,100046,Best & Crompton Engineering Ltd.,500046,BECREL,22-Jun-2015,123840515,INE287A01015,
767,100048,BEML Ltd.,500048,BEML,08-Sep-2017,41644500,INE258A01016,
815,100049,Bharat Electronics Ltd.,500049,BEL,08-Sep-2017,2233627930,INE263A01024,
790,100051,Bhagawati Gas Ltd.,500051,BAGWATIGAS,20-Feb-2017,16742459,INE099C01010,
811,100052,Bhansali Engineering Polymers Ltd.,500052,BEPL,08-Sep-2017,165905640,INE922A01025,
848,100055,Bhushan Steel Ltd.,500055,BHUSANSTL,08-Sep-2017,226513962,INE824B01021,
118,100057,Aditya Birla Chemicals (India) Ltd.- (Amalgamation),500057,ABCIL,13-Jan-2016,23386500,INE605B01016,
856,100058,Bihar Sponge Iron Ltd.,500058,BIHARSPONG,08-Sep-2017,90205403,INE819C01011,
868,100059,Binani Industries Ltd.,500059,BINANIIND,08-Sep-2017,31366175,INE071A01013,
879,100060,Birla Cable Ltd.,500060,BIRLACABLE,08-Sep-2017,30000000,INE800A01015,
883,205434,Birla Global Finance Ltd.,500064,BGFL,,25750439,INE097A01018,
905,205435,Blow Plast Ltd. (Amalgamated),500066,BLOWPLAST,,16800000,INE051A01015,
920,100067,Blue Star Ltd.,500067,BLUESTARCO,08-Sep-2017,96082088,INE472A01039,
1520,100068,Disa India Ltd.,500068,GEORGFISCH,08-Sep-2017,1454205,INE131C01011,
925,100069,BNK Capital Markets Ltd.,500069,,08-Sep-2017,10000000,INE418C01012,
