Date,BSE_Code,BSE_Volume,BSE_Delivery,Price,PrevClose,Traded_Value_lacs,Segment
230420,543363,9600,6000,322.95,320.0,19.38,M 
230420,543364,6400,4800,120.0,119.95,5.76,M 
230420,543365,6378,5182,28.65,28.64,1.48,B 
230420,543366,1200,1200,75.0,88.0,0.9,M 
230420,543367,5680,3064,518.5,517.8,15.89,A 
230420,543373,2000,2000,160.0,160.0,3.2,M 
230420,543374,2081,1331,345.35,347.6,4.6,A 
230420,543378,800,800,1785.0,1780.5,14.28,MS
230420,543383,104,103,74.5,74.28,0.08,B 
230420,543384,281198,107345,123.8,124.45,132.89,A 
230420,543386,2777,2009,209.65,210.05,4.21,B 
230420,543387,2501,1691,406.8,410.7,6.88,B 
230420,543388,225,198,205.0,204.75,0.41,B 
230420,543389,4765,3181,247.0,245.25,7.86,B 
230420,543390,51561,16930,586.3,583.35,99.26,A 
230420,543396,361726,99184,656.9,644.35,651.54,A 
230420,543397,925,317,1193.8,1168.1,3.78,A 
230420,543398,18545,8887,349.75,355.45,31.08,A 
230420,543399,10700,4902,529.8,539.15,25.97,A 
230420,543400,14000,12000,10.3,9.95,1.24,M 
230420,543401,400,86,1015.85,1004.55,0.87,A 
230420,543411,50090,26719,76.93,73.16,20.55,B 
230420,543412,12635,4251,595.25,594.55,25.3,A 
230420,543413,928,451,684.75,685.8,3.09,A 
230420,543414,10824,10204,14.63,14.53,1.49,B 
230420,543415,1878,1025,861.2,858.8,8.83,A 
230420,543416,2633,2633,114.98,115.54,3.03,T 
230420,543417,4326,1656,355.2,349.65,5.88,A 
230420,543418,111,107,1055.67,1057.0,1.13,F 
230420,543419,5020,2257,65.35,65.32,1.47,B 
230420,543420,31487,4764,12.13,12.07,0.58,B 
230420,543425,1279,667,1008.35,1011.45,6.73,A 
230420,543426,22831,6430,845.85,796.9,54.39,A 
230420,543427,1983,1342,726.55,740.5,9.75,A 
230420,543428,84332,19017,1693.75,1589.6,322.1,A 
230420,543433,13383,2648,368.45,368.8,9.76,B 
230420,543434,48583,14754,226.3,225.0,33.39,A 
230420,543435,1500,1500,229.0,234.0,3.44,M 
230420,543437,13330,13206,52.71,53.59,6.96,B 
230420,543438,120,119,159.75,159.93,0.19,B 
230420,543439,4000,2000,20.25,20.25,0.4,M 
230420,543440,29,8,178.5,178.2,0.01,B 
230420,543441,21620,12311,289.65,297.8,35.66,A 
230420,543442,1699,1491,195.2,198.0,2.91,B 
230420,543449,700,673,232.5,222.35,1.56,B 
230420,543450,218,31,131.21,130.98,0.04,B 
230420,543451,12426,8475,50.87,51.0,4.31,B 
230420,543452,3004,2773,76.92,75.43,2.13,E 
230420,543453,3000,3000,81.0,80.5,2.43,M 
230420,543454,685,684,83.01,83.29,0.57,B 
230420,543458,270845,124688,411.45,408.3,513.03,A 
230420,543460,2000,2000,82.0,85.0,1.64,M 
230420,543462,847,612,97.31,97.96,0.6,B 
230420,543463,1403,407,1266.45,1277.1,5.15,A 
230420,543464,1000,1000,173.0,168.5,1.73,M 
230420,543465,144,84,37.71,37.67,0.03,B 
230420,543470,4683,2286,163.45,154.7,3.74,B 
230420,543471,2023,1532,76.88,75.48,1.18,E 
230420,543472,1833,1785,27.15,27.19,0.48,B 
230420,543473,695,674,7.96,8.08,0.05,B 
230420,543474,336,221,19.87,19.84,0.04,B 
230420,543480,2000,2000,52.51,52.22,1.05,F 
230420,543481,1019,894,11.84,11.84,0.11,B 
230420,543482,94983,92165,392.15,399.7,361.43,A 
230420,543489,41006,28402,63.72,62.29,18.1,A 
230420,543490,28433,23544,17.45,17.42,4.11,B 
230420,543498,275938,88091,50.13,49.95,44.16,A 
230420,543499,6000,6000,81.58,77.7,4.89,M 
230420,543501,41,22,24.6,24.67,0.01,B 
230420,543512,7019,5492,120.15,122.45,6.6,B 
230420,543513,4711,3439,43.07,42.09,1.48,B 
230420,543514,40256,38847,190.3,193.95,73.93,B 
230420,543515,13000,2000,241.5,236.0,4.83,M 
230420,543517,23542,9963,534.75,531.15,53.28,B 
230420,543523,100438,18675,361.4,352.45,67.49,B 
230420,543524,6946,3120,799.5,806.95,24.94,B 
230420,543525,3239,989,352.45,340.05,3.49,B 
230420,543526,82200,42743,552.0,546.75,235.94,A 
230420,543527,527,350,890.55,890.55,3.12,B 
230420,543528,10974,5895,885.95,909.1,52.23,B 
230420,543529,131873,69456,336.95,327.8,234.03,A 
230420,543530,126567,30291,53.21,52.99,16.12,B 
230420,543531,1481,1306,120.1,121.95,1.57,X 
230420,543532,19728,7166,1225.65,1190.55,87.83,B 
230420,543533,8884,4739,267.5,272.2,12.68,B 
230420,543534,2004,1033,974.2,972.05,10.06,B 
230420,543535,513,340,42.39,41.7,0.14,B 
230420,543538,4800,3200,129.25,133.0,4.14,M 
230420,543539,1600,1600,182.25,186.95,2.92,M 
230420,543542,32000,28000,185.0,160.0,51.8,M 
230420,543544,2250,1500,82.01,82.86,1.23,M 
230420,543545,8000,8000,103.53,108.97,8.28,M 
230420,543546,50000,30000,6.15,6.12,1.84,M 
230420,543547,31227,21328,87.53,87.11,18.67,X 
230420,543563,117,95,22.96,22.96,0.02,B 
230420,543568,5,4,19.06,18.92,0.0,B 
230420,543571,8,8,52.84,52.66,0.0,B 
230420,543572,8,0,74.5,73.0,0.0,E 
230420,543573,16370,7893,291.55,291.15,23.01,B 
230420,543574,462,422,14.24,14.23,0.06,B 
230420,543576,4,1,49.74,49.51,0.0,B 
230420,543579,4000,4000,13.2,13.3,0.53,M 
230420,543590,75000,75000,11.5,11.8,8.62,M 
230420,543591,13337,6573,437.15,440.85,28.73,B 
230420,543592,991,910,74.2,73.11,0.68,E 
230420,543593,9312,6549,153.05,155.8,10.02,B 
230420,543594,6000,6000,15.6,16.15,0.94,M 
230420,543596,11876,9233,405.55,405.9,37.44,B 
230420,543597,182000,86000,220.35,222.95,189.5,M 
230420,543599,8039,3883,582.55,606.65,22.62,B 
230420,543600,8573,6071,409.55,402.05,24.86,B 
230420,543605,869,647,38.74,38.89,0.25,B 
230420,543606,8000,8000,64.0,64.0,5.12,M 
230420,543607,179,145,86.75,86.2,0.13,B 
230420,543608,138,138,90.72,90.96,0.13,B 
230420,543613,16000,8000,14.5,14.22,1.16,M 
230420,543614,994,779,412.5,417.2,3.21,B 
230420,543615,32000,20800,143.4,147.0,29.83,M 
230420,543617,1200,1200,60.3,58.8,0.72,M 
230420,543618,9000,6000,97.0,89.9,5.82,M 
230420,543619,24000,12000,282.85,288.95,33.94,M 
230420,543620,33000,27000,138.75,140.0,37.46,M 
230420,543621,16000,16000,51.0,50.99,8.16,M 
230420,543624,8000,8000,25.1,23.91,2.01,M 
230420,543625,62140,31858,24.96,23.6,7.95,B 
230420,543626,30181,20633,76.18,75.61,15.72,B 
230420,543627,36,35,130.5,130.55,0.05,B 
230420,543635,695114,305646,74.24,77.56,226.91,B 
230420,543636,128,126,120.04,123.39,0.15,B 
230420,543637,50400,32400,20.28,20.74,6.57,M 
230420,543638,155978,83299,68.25,68.18,56.85,B 
230420,543643,2501,2390,21.47,21.11,0.51,B 
230420,543644,331,256,476.75,467.4,1.22,B 
230420,543645,227,227,94.75,90.9,0.22,T 
230420,543650,21738,11281,176.4,174.6,19.9,B 
230420,543652,6775,2961,408.65,415.3,12.1,B 
230420,543653,29463,11971,375.05,374.95,44.9,B 
230420,543654,20372,12089,494.15,499.1,59.74,B 
230420,543656,14000,10000,92.3,92.24,9.23,M 
230420,543657,9458,4857,527.25,529.6,25.61,B 
230420,543663,3198,2187,546.45,547.25,11.95,B 
230420,543664,1841,626,942.15,942.3,5.9,B 
230420,543665,120,119,269.0,268.58,0.32,B 
230420,543666,45,43,215.4,213.0,0.09,B 
230420,543667,284710,135711,43.49,43.85,59.02,B 
230420,543668,1153,928,220.85,224.15,2.05,B 
230420,543669,1028,910,442.25,449.35,4.02,B 
230420,543670,27056,27056,7.69,7.46,2.08,T 
230420,543671,1944,1902,53.22,55.3,1.01,B 
230420,543677,43,42,16.42,16.36,0.01,B 
