Date,BSE_Code,BSE_Volume,BSE_Delivery,Price,PrevClose,Traded_Value_lacs,Segment
230222,526193,1230,1230,12.5,12.66,0.15,XT
230222,526211,1533,1242,110.45,105.8,1.37,X 
230222,526217,3720,1960,190.2,198.0,3.73,B 
230222,526225,603,551,13.75,13.5,0.08,X 
230222,526227,33790,26049,39.85,41.1,10.38,A 
230222,526231,375,375,65.0,63.25,0.24,XT
230222,526235,26482,26482,0.95,0.93,0.25,T 
230222,526237,2245,1822,41.2,43.25,0.75,X 
230222,526241,6859,6113,12.99,12.98,0.79,X 
230222,526247,211,187,355.1,360.05,0.66,B 
230222,526263,17475,8772,221.65,230.45,19.44,B 
230222,526269,1814,1814,82.05,86.35,1.49,XT
230222,526299,4976,891,2199.3,2209.25,19.6,A 
230222,526301,140,140,22.85,23.95,0.03,XT
230222,526315,912,912,72.95,72.5,0.67,X 
230222,526325,1887,734,57.1,57.6,0.42,B 
230222,526335,1652,1608,8.68,8.7,0.14,X 
230222,526345,8199,8199,14.95,14.8,1.23,XT
230222,526355,1717,1717,71.75,69.0,1.23,XT
230222,526365,8792,8368,21.05,21.05,1.76,X 
230222,526367,2873,1958,311.1,318.45,6.09,B 
230222,526371,1338895,766236,115.65,119.3,886.15,A 
230222,526373,202,200,34.15,34.15,0.07,X 
230222,526381,53622,48919,12.34,12.72,6.04,B 
230222,526397,1333,987,246.7,248.65,2.43,B 
230222,526407,36667,33112,44.45,45.75,14.72,X 
230222,526409,6334,6016,12.75,12.95,0.77,X 
230222,526415,34807,34807,73.9,70.4,25.72,XT
230222,526423,15198,7030,102.8,103.25,7.23,B 
230222,526431,16009,16009,17.5,17.5,2.8,XT
230222,526433,2076,1534,407.55,413.2,6.25,X 
230222,526435,2752,1695,60.65,62.0,1.03,X 
230222,526439,11545,11545,5.55,5.29,0.64,XT
230222,526441,14742,13842,1.04,0.95,0.14,X 
230222,526445,16068,13260,70.85,73.0,9.39,X 
230222,526468,1941,1941,22.5,22.05,0.44,XT
230222,526471,28157,28157,10.06,9.74,2.83,XT
230222,526473,23932,21959,6.89,7.07,1.51,X 
230222,526479,302,290,71.15,72.4,0.21,X 
230222,526481,4900,4900,24.0,24.15,1.18,XT
230222,526488,1,1,6.68,6.37,0.0,XT
230222,526492,6880,6736,99.05,99.9,6.67,X 
230222,526494,3,3,3.32,3.46,0.0,X 
230222,526500,75,75,34.0,35.4,0.03,XT
230222,526506,718,430,206.75,210.4,0.89,X 
230222,526519,7449,3642,106.25,104.7,3.87,X 
230222,526521,59631,59631,60.4,57.55,36.02,B 
230222,526525,717,717,15.2,15.9,0.11,XT
230222,526532,1201,1201,12.84,12.23,0.15,X 
230222,526544,23075,20310,8.27,8.81,1.68,X 
230222,526546,9434,4600,43.0,45.9,1.98,X 
230222,526550,8489,6559,7.05,7.02,0.46,B 
230222,526568,326,326,28.5,27.8,0.09,XT
230222,526574,196,145,20.6,19.95,0.03,X 
230222,526576,161,161,8.99,8.9,0.01,B 
230222,526582,21833,18711,31.75,32.5,5.94,B 
230222,526586,1575,1342,432.1,437.4,5.8,X 
230222,526588,792,792,17.15,17.1,0.14,XT
230222,526596,3597,2820,208.5,216.0,5.88,B 
230222,526604,241,241,14.35,15.1,0.03,XT
230222,526608,591,464,60.75,61.35,0.28,B 
230222,526612,632,232,6311.6,6349.0,14.64,A 
230222,526614,3707,3086,12.9,12.95,0.4,X 
230222,526616,2066,1865,40.65,40.95,0.76,X 
230222,526622,803244,544646,0.77,0.77,4.19,X 
230222,526638,59988,59988,48.55,46.9,29.12,XT
230222,526640,6474,6474,27.6,28.05,1.79,XT
230222,526642,221150,33665,282.35,278.05,95.05,A 
230222,526650,17274,4712,70.85,72.15,3.34,B 
230222,526654,589,437,127.4,128.85,0.56,X 
230222,526662,410,410,37.35,35.6,0.15,B 
230222,526666,121,118,200.1,200.5,0.24,B 
230222,526668,22411,17916,125.9,132.5,22.56,B 
230222,526677,33795,33795,3.14,3.01,1.06,T 
230222,526703,5285,5275,78.0,71.9,4.11,X 
230222,526705,636,519,115.55,122.1,0.6,X 
230222,526711,5220,5117,15.4,15.05,0.79,X 
230222,526717,126,126,274.55,289.0,0.35,Z 
230222,526721,2079,2078,104.05,104.35,2.16,X 
230222,526723,1258,1025,77.7,80.7,0.8,X 
230222,526725,391,314,869.85,904.0,2.73,B 
230222,526727,2798,2466,14.2,14.65,0.35,X 
230222,526729,30562,12929,145.6,152.6,18.82,B 
230222,526731,3012,2027,138.75,136.0,2.81,X 
230222,526737,517,517,6.18,6.0,0.03,XT
230222,526739,5265,4528,283.5,289.1,12.84,X 
230222,526747,553,553,173.0,173.0,0.96,XT
230222,526751,400,400,14.0,14.15,0.06,XT
230222,526755,2035,1649,6.2,6.75,0.1,X 
230222,526761,5369,5369,8.06,8.46,0.43,XT
230222,526773,600177,600177,11.6,11.07,69.62,XT
230222,526775,1274,1079,139.95,144.75,1.51,X 
230222,526783,522,503,944.9,960.0,4.75,X 
230222,526797,3269,2462,141.15,142.7,3.48,B 
230222,526799,26,26,11.2,11.2,0.0,XT
230222,526807,1149,603,624.05,656.05,3.76,B 
230222,526813,886,886,12.2,12.68,0.11,XT
230222,526817,4950,1562,1145.7,1075.85,17.9,B 
230222,526821,549,549,377.35,375.35,2.07,XT
230222,526827,282,282,8.83,9.29,0.02,XT
230222,526829,59388,32223,62.9,64.6,20.27,B 
230222,526839,1,1,8.56,8.56,0.0,X 
230222,526847,2361,1964,23.2,23.25,0.46,X 
230222,526849,546,394,75.2,78.7,0.3,B 
230222,526851,210,105,96.0,102.95,0.1,X 
230222,526853,19640,19640,51.6,52.75,10.13,XT
230222,526859,275783,208372,2.41,2.33,5.02,X 
230222,526861,14638,14635,28.35,29.8,4.15,X 
230222,526865,30,30,4.09,4.3,0.0,X 
230222,526871,1404,1105,18.35,18.4,0.2,X 
230222,526873,733,707,7.69,7.85,0.05,X 
230222,526881,57246,21524,194.25,196.7,41.81,B 
230222,526885,4153,3977,37.5,37.6,1.49,B 
230222,526891,944,944,9.79,9.75,0.09,X 
230222,526899,58928,49748,22.9,23.1,11.39,X 
230222,526901,5671,4022,70.15,72.85,2.82,X 
230222,526905,120,120,3.4,3.24,0.0,X 
230222,526921,1151,1010,17.5,17.85,0.18,B 
230222,526931,1329,1086,65.15,67.0,0.71,X 
230222,526945,18,6,101.15,103.55,0.01,X 
230222,526947,30404,4775,358.45,365.9,17.12,A 
