Date,NSE_Code,NSE_Volume,NSE_Delivery,Price,PrevClose,Traded_Value_lacs,Segment
200210,20MICRONS,21994.0,13310.0,33.85,34.15,4.51,EQ
200210,21STCENMGM,1168.0,1160.0,13.5,13.55,0.16,EQ
200210,3IINFOTECH,4479399.0,2756544.0,2.2,2.4,60.64,EQ
200210,3MINDIA,9061.0,5691.0,24662.45,24064.95,1403.54,EQ
200210,3PLAND,7883.0,6783.0,6.0,6.3,0.41,EQ
200210,5PAISA,10498.0,5834.0,185.05,187.3,10.8,EQ
200210,63MOONS,78878.0,48228.0,101.8,104.35,49.1,EQ
200210,A2ZINFRA,438277.0,344894.0,6.45,6.5,22.25,EQ
200210,AAKASH,8000.0,8000.0,64.6,68.0,5.17,SM
200210,AARON,3300.0,3300.0,48.5,47.25,1.6,SM
200210,AARTIDRUGS,15260.0,7992.0,631.05,631.5,50.43,EQ
200210,AARTIIND,226273.0,81134.0,1016.45,988.9,824.69,EQ
200210,AARVEEDEN,1164.0,1128.0,13.85,14.15,0.16,EQ
200210,AAVAS,120080.0,82275.0,1815.6,1843.7,1493.78,EQ
200210,ABAN,529479.0,125754.0,26.35,25.1,33.14,EQ
200210,ABB,186488.0,27684.0,1341.95,1328.95,371.51,EQ
200210,ABBOTINDIA,66287.0,29766.0,14774.15,14103.15,4397.67,EQ
200210,ABCAPITAL,1206619.0,645312.0,93.05,94.8,600.46,EQ
200210,ABFRL,1023497.0,697244.0,259.0,260.95,1805.86,EQ
200210,ABSLBANETF,7.0,0.0,308.53,312.25,0.0,EQ
200210,ABSLNN50ET,643.0,401.0,290.51,293.0,1.16,EQ
200210,ACC,1635221.0,501743.0,1451.35,1502.7,7282.05,EQ
200210,ACCELYA,2713.0,1654.0,1042.35,1049.25,17.24,EQ
200210,ACCURACY,72000.0,72000.0,22.95,23.65,16.52,SM
200210,ACE,129605.0,36139.0,81.85,83.15,29.58,EQ
200210,ACEINTEG,51000.0,51000.0,14.5,14.25,7.4,SM
200210,ADANIENT,5588211.0,1335516.0,244.5,239.5,3265.34,EQ
200210,ADANIGAS,574224.0,217287.0,171.15,171.75,371.89,EQ
200210,ADANIGREEN,2063806.0,890875.0,213.35,213.0,1900.68,EQ
200210,ADANIPORTS,1537598.0,509301.0,368.25,369.55,1875.5,EQ
200210,ADANIPOWER,6218372.0,1615007.0,59.9,60.85,967.39,EQ
200210,ADANITRANS,88192.0,35138.0,331.95,329.75,116.64,EQ
200210,ADFFOODS,71697.0,46172.0,304.65,314.45,140.66,EQ
