Company Name,CD_NSE Symbol,CD_BSE Code,CD_Is Subsidiary,CD_Sector,CD_Industry1
Madras Fertilizers Ltd.,MADRASFERT,590134,N,Chemicals,Fertilizers
The Orissa Minerals Development Company Ltd.,ORISSAMINE,590086,N,Mining,Mining & Minerals
Maithan Alloys Ltd.,MAITHANALL,590078,N,Ferro Manganese,Ferro & Silica Manganese
Lambodhara Textiles Ltd.,LAMBODHARA,590075,N,Textile,Textile - Spinning
Wheels India Ltd.,WHEELS,590073,N,Automobile & Ancillaries,Auto Ancillary
Sundaram Brake Linings Ltd.,SUNDRMBRAK,590072,N,Automobile & Ancillaries,Auto Ancillary
Sundaram Finance Ltd.,SUNDARMFIN,590071,N,Finance,Finance - NBFC
Radaan Mediaworks India Ltd.,RADAAN,590070,N,Media & Entertainment,"Film Production, Distribution & Entertainment"
Khaitan (India) Ltd.,KHAITANLTD,590068,N,Agri,Sugar
KCP Ltd.,KCP,590066,N,Construction Materials,Cement & Construction Materials
India Motor Parts & Accessories Ltd.,IMPAL,590065,N,Trading,Trading
The Andhra Sugars Ltd.,ANDHRSUGAR,590062,N,Chemicals,Chemicals
Equippp Social Impact Technologies Ltd.,EQUIPPP,590057,N,Trading,Trading
Salona Cotspin Ltd.,SALONA,590056,N,Textile,Textile - Spinning
Saksoft Ltd.,SAKSOFT,590051,N,IT,IT - Software
Kavveri Telecom Products Ltd.,KAVVERITEL,590041,N,Telecom,Telecommunication - Equipment
De Nora India Ltd.,DENORA,590031,N,Capital Goods,Electrodes & Welding Equipment
Southern Petrochemical Industries Corporation Ltd.,SPIC,590030,N,Chemicals,Fertilizers
Ginni Filaments Ltd.,GINNIFILA,590025,N,Textile,Textile - Spinning
The Fertilisers And Chemicals Travancore Ltd.,FACT,590024,N,Chemicals,Fertilizers
Elgi Rubber Company Ltd.,ELGIRUBCO,590023,N,Agri,Rubber  Products
Eastern Silk Industries Ltd.,EASTSILK,590022,N,Textile,Textile
Bharat Rasayan Ltd.,BHARATRAS,590021,N,Chemicals,Pesticides & Agrochemicals
Hisar Metal Industries Ltd.,HISARMETAL,590018,N,Iron & Steel,Steel & Iron Products
Xpro India Ltd.,XPROINDIA,590013,N,Plastic Products,Plastic Products
Amrutanjan Health Care Ltd.,AMRUTANJAN,590006,N,Healthcare,Pharmaceuticals & Drugs
Tide Water Oil Company (India) Ltd.,TIDEWATER,590005,N,Automobile & Ancillaries,Lubricants
Karur Vysya Bank Ltd.,KARURVYSYA,590003,N,Bank,Bank - Private
GACM Technologies Ltd. - (DVR),SCAPDVR,570005,N,Finance,Finance - Stock Broking
Jain Irrigation Systems Ltd. (DVR),JISLDVREQS,570004,N,Miscellaneous,Miscellaneous
Future Enterprises Ltd.-B-DVR,FELDVR,570002,N,Miscellaneous,Miscellaneous
Tata Motors Ltd. - DVR Ordinary,TATAMTRDVR,570001,N,Automobile & Ancillaries,Automobiles-Trucks/Lcv
TVS Supply Chain,TVSSCS,543965,N,,
Concord Biotech,CONCORDBIO,543960,N,,
SBFC Finance,SBFC,543959,N,,
Yatharth Hospital,YATHARTH,543950,N,,
Netweb Technologies,NETWEB,543945,N,,
Utkarsh Small Finance Bank Ltd.,UTKARSHBNK,543942,Y,Bank,Bank - Private
Ahasolar Technologies Ltd.,,543941,N,IT,IT - Software
JIO Financial Services,JIOFIN,543940,N,,
Kaka Industries Ltd.,,543939,N,Plastic Products,Plastic Products
Acceleratebs India Ltd.,,543938,N,IT,IT - Software
Alphalogic Industries Ltd.,,543937,N,Capital Goods,Engineering - Industrial Equipments
Senco Gold Ltd.,SENCO,543936,N,Diamond  &  Jewellery,Diamond  &  Jewellery
Machhar Industries Ltd.,,543934,N,Chemicals,Chemicals
Cyient DLM Ltd.,CYIENTDLM,543933,N,Capital Goods,Electric Equipment
Ideaforge Technology Ltd.,IDEAFORGE,543932,N,Capital Goods,Engineering - Industrial Equipments
Veefin Solutions Ltd.,,543931,N,IT,IT - Software
Uravi T And Wedge Lamps Ltd.,URAVI,543930,N,Automobile & Ancillaries,Auto Ancillary
HMA Agro Industries Ltd.,HMAAGRO,543929,N,FMCG,Consumer Food
Cosmic CRF Ltd.,,543928,N,Iron & Steel,Steel & Iron Products
Asian Warehousing Ltd.,,543927,N,Agri,Agriculture
Bizotic Commercial Ltd.,,543926,N,Trading,Trading
Sonalis Consumer Products Ltd.,,543924,N,FMCG,Consumer Food
IKIO Lighting Ltd.,IKIO,543923,N,Electricals,Electronics - Components
Comrade Appliances Ltd.,,543921,N,Consumer Durables,Consumer Durables - Domestic Appliances
CFF Fluid Control Ltd.,,543920,N,Capital Goods,Engineering - Industrial Equipments
MK Proteins Ltd.,MKPL,543919,N,FMCG,Edible Oil
GHCL Textiles Ltd.,GHCLTEXTIL,543918,N,Textile,Textile - Spinning
Sigma Solve Ltd.,SIGMA,543917,N,IT,BPO/ITeS
Hemant Surgical Industries Ltd.,,543916,N,Healthcare,Medical Equipment/Supplies/Accessories
Pavna Industries Ltd.,PAVNAIND,543915,N,Capital Goods,Engineering - Industrial Equipments
Nexus Select Trust,NXST,543913,N,Finance,Finance - Investment
Power & Instrumentation (Gujarat) Ltd.,PIGL,543912,N,Infrastructure,Engineering - Construction
Atal Realtech Ltd.,ATALREAL,543911,N,Realty,Construction - Real Estate
AVG Logistics Ltd.,AVG,543910,N,Logistics,Logistics
Innokaiz India Ltd.,,543905,N,Miscellaneous,Miscellaneous
Mankind Pharma Ltd.,MANKIND,543904,N,Healthcare,Pharmaceuticals & Drugs
