Company Name,CD_NSE Symbol,CD_BSE Code,CD_Is Subsidiary,CD_Sector,CD_Industry1
20 Microns Ltd.,20MICRONS,533022,N,Mining,Mining & Minerals
21st Century Management Services Ltd.,21STCENMGM,526921,N,Finance,Finance - Investment
360 One Wam Ltd.,360ONE,542772,Y,Finance,Finance - Others
3I Infotech Ltd.,3IINFOLTD,532628,N,IT,IT - Software
3M India Ltd.,3MINDIA,523395,N,Diversified,Diversified
3P Land Holdings Ltd.,3PLAND,516092,N,Finance,Finance - Investment
3rd Rock Multimedia Ltd.,3RDROCK,,N,Miscellaneous,Miscellaneous
GVP Infotech Ltd.,4THDIM,,N,IT,IT - Software
5Paisa Capital Ltd.,5PAISA,540776,Y,Finance,Finance - Stock Broking
63 Moons Technologies Ltd.,63MOONS,526881,N,IT,IT - Software
A2Z Infra Engineering Ltd.,A2ZINFRA,533292,N,Infrastructure,Engineering - Construction
AAA Technologies Ltd.,AAATECH,543671,N,IT,BPO/ITeS
Aakash Exploration Services Ltd.,AAKASH,,N,Crude Oil,Oil Exploration
Aarey Drugs & Pharmaceuticals Ltd.,AAREYDRUGS,524412,N,Trading,Trading
Aaron Industries Ltd.,AARON,,N,Capital Goods,Engineering
Aartech Solonics Ltd.,AARTECH,542580,N,Capital Goods,Electric Equipment
Aarti Drugs Ltd.,AARTIDRUGS,524348,N,Healthcare,Pharmaceuticals & Drugs
Aarti Industries Ltd.,AARTIIND,524208,N,Chemicals,Chemicals
Aarti Pharmalabs Ltd.,AARTIPHARM,543748,N,Healthcare,Pharmaceuticals & Drugs
Aarti Surfactants Ltd.,AARTISURF,543210,N,FMCG,Household & Personal Products
Aarvee Denims & Exports Ltd.,AARVEEDEN,514274,N,Textile,Textile - Weaving
Aarvi Encon Ltd.,AARVI,,N,Miscellaneous,Miscellaneous
Aatmaj Healthcare Ltd.,AATMAJ,,N,Healthcare,Hospital & Healthcare Services
Aavas Financiers Ltd.,AAVAS,541988,N,Finance,Finance - Housing
Aban Offshore Ltd.,ABAN,523204,N,Crude Oil,Oil Exploration
ABB India Ltd.,ABB,500002,N,Capital Goods,Electric Equipment
Abbott India Ltd.,ABBOTINDIA,500488,N,Healthcare,Pharmaceuticals & Drugs
Aditya Birla Capital Ltd.,ABCAPITAL,540691,N,Finance,Finance - NBFC
AB Cotspin India Ltd.,ABCOTS,,N,Textile,Textile
Aditya Birla Fashion and Retail Ltd.,ABFRL,535755,Y,Retailing,Retailing
