SYMBOL,NAME_OF_COMPANY,SERIES,DATE_OF_LISTING,PAID_UP_VALUE,ISIN_NUMBER,FACE_VALUE,price,,,Exch,Code,Name,"Dly
Price
Close
on Last bar


  Value","Dly
Avg(E,5)

on Last bar


  Value","Dly
Avg(E,10)

on Last bar


  Value","Dly
Avg(E,20)

on Last bar


  Value","Dly
Avg(E,50)

on Last bar


  Value","Dly
Avg(E,200)

on Last bar


  Value","Dly
Price
High
Highest In N Bars
(75)

  Value","Dly
Price
Low
Lowest In N Bars
(75)

  Value",,,,
AATMAJ,Aatmaj Healthcare Limited,SM,30-Jun-23,5,INE0OB201016,5,40.05,,AATMAJ,N,16961,AATMAJ    SM,40.05,40.32,40.72,41.31,42.98,46.46,53.7,39.2,,12,,6
ABCOTS,A B Cotspin India Limited,SM,11-Jan-22,10,INE08PH01015,10,120,,ABCOTS,N,7787,ABCOTS    SM,120,118.98,117.9,114.23,99.11,68.04,136.4,40,,12,,
ABINFRA,A B Infrabuild Limited,SM,12-Jul-19,10,INE00YB01017,10,47,,ABINFRA,N,11022,ABINFRA   SM,47,47.16,47.44,47,43.21,29.6,52.25,27.55,,12,,
ACCENTMIC,Accent Microcell Limited,ST,15-Dec-23,10,INE0Q5D01013,10,288.55,,ACCENTMIC,N,20496,ACCENTMIC ST,288.55,288.1,295.59,303.08,309.56,313.55,,,,12,,
ACCORD,Accord Synergy Limited,ST,6-Jul-17,10,INE113X01015,10,#N/A,,ACSAL,N,19579,ACSAL     SM,61,61.53,60.77,59.83,60.63,63.27,,,,12,,
ACSAL,Arvind and Company Shipping Agencies Limited,SM,25-Oct-23,10,INE0P4T01013,10,61,,AGARWALFT,N,14263,AGARWALFT SM,58,57.61,58.47,58.92,56.63,46.42,68,37.65,,12,,
AGARWALFT,Agarwal Float Glass India Limited,SM,23-Feb-23,10,INE0MLA01012,10,58,,AGNI,N,10491,AGNI      SM,26,26.47,26.5,26.33,26.38,25.22,33.95,22.85,,12,,
AGNI,Agni Green Power Limited,SM,1-Aug-22,10,INE0LF301013,10,26,,AGUL,N,15147,AGUL      SM,102.5,108.47,105.93,96.86,80.79,62.46,119.95,34.6,,12,,
AGUL,A G Universal Limited,ST,24-Apr-23,10,INE0O6N01012,10,102.5,,AILIMITED,N,4626,AILIMITED SM,28.25,28.98,28.86,29.03,29.79,26.3,40.6,26.05,,12,,
AHIMSA,Ahimsa Industries Limited,ST,15-Oct-15,10,INE136T01014,10,#N/A,,AISL,N,482,AISL      SM,62.45,62.51,61.92,61.58,61.07,56.04,72.35,48.65,,12,,
AILIMITED,Abhishek Integrations Limited,SM,21-Jun-21,10,INE0CAJ01017,10,28.25,,ALLETEC,N,13203,ALLETEC   SM,256.75,255.71,252.5,249.76,231.86,170.32,281.8,144.25,,12,,
AISL,ANI Integrated Services Limited,SM,20-Nov-17,10,INE635Y01015,10,62.45,,AMBANIORG,N,4083,AMBANIORG SM,130.5,128.66,129.16,130.41,130.78,113.84,163,107.55,,12,,
ALLETEC,All E Technologies Limited,SM,21-Dec-22,10,INE0M2X01012,10,256.75,,AMEYA,N,10898,AMEYA     SM,51.15,52.22,53.56,54.29,53.71,49.78,69.6,46.1,,12,,
AMBANIORG,Ambani Organics Limited,SM,18-Jul-18,10,INE00C501018,10,130.5,,AMIABLE,N,11939,AMIABLE   SM,82,79.78,80.93,82.65,83.82,119.7,97,66,,12,,
AMEYA,Ameya Precision Engineers Limited,SM,8-Sep-22,10,INE0KT901015,10,51.15,,ANLON,N,13657,ANLON     SM,237,241.42,246.07,253.04,265.01,246.49,341.9,230,,12,,
AMIABLE,Amiable Logistics (India) Limited,SM,16-Nov-22,10,INE0MTP01013,10,82,,ANNAPURNA,N,11198,ANNAPURNA SM,323.8,328.71,334.15,335.98,326.31,278.23,381,251.65,,12,,
ANLON,Anlon Technology Solutions Limited,SM,10-Jan-23,10,INE0LR101013,10,237,,ARABIAN,N,19253,ARABIAN   SM,95,95.75,97.17,96.73,90.62,80.95,,,,12,,
ANNAPURNA,Annapurna Swadisht Limited,SM,27-Sep-22,10,INE0MGM01017,10,323.8,,ARHAM,N,13092,ARHAM     SM,212.2,211.77,213.02,205.61,176.6,119.87,247,97,,12,,
ARABIAN,Arabian Petroleum Limited,SM,9-Oct-23,10,INE08NJ01024,10,95,,ARIHANTAC,N,13340,ARIHANTACASM,173.55,168.25,156.2,142.84,131.18,123.69,190.25,105,,12,,
ARHAM,Arham Technologies Limited,SM,15-Dec-22,10,INE0L2Y01011,10,212.2,,ARISTO,N,13926,ARISTO    SM,69,68.55,69.11,70.52,73.46,72.67,91.4,67,,12,,
ARIHANTACA,Arihant Academy Limited,SM,29-Dec-22,10,INE0NCC01015,10,#N/A,,ASCOM,N,15030,ASCOM     ST,162.95,155.31,127.29,103.88,90.86,87.32,,,,12,,
ARISTO,Aristo Bio-Tech And Lifescience Limited,SM,30-Jan-23,10,INE082101010,10,69,,AURDIS,N,18762,AURDIS    SM,295,295.75,298.55,296.86,274.35,203.98,349.55,188,,12,,
ASCOM,Ascom Leasing & Investments Limited,ST,6-Dec-19,10,INE08KD01015,10,162.95,,AUROIMPEX,N,15869,AUROIMPEX SM,75.5,74.11,73.88,72.57,69.97,70.65,88.9,59.25,,12,,
ASLIND,ASL Industries Limited,ST,18-Apr-17,10,INE617I01024,10,#N/A,,AVSL,N,18693,AVSL      ST,145.7,153.7,156.77,158.94,160.56,161.47,,,,12,,
AURDIS,Aurangabad Distillery Limited,SM,17-Oct-16,10,INE448V01019,10,295,,BABAFP,N,20150,BABAFP    ST,73.85,74.13,73.3,72.7,72.36,72.23,,,,12,,
AUROIMPEX,Auro Impex  & Chemicals Limited,SM,23-May-23,10,INE0NUL01018,10,75.5,,BAHETI,N,12989,BAHETI    SM,182.75,182.87,185.75,188.61,186.02,151,233.85,139,,12,,
AVSL,AVSL Industries Limited,ST,6-Oct-16,10,INE522V01011,10,145.7,,BASILIC,N,18442,BASILIC   SM,301.95,292.86,293.42,293.64,291.47,287.96,,,,12,,
BABAFP,Baba Food Processing (India) Limited,SM,15-Nov-23,10,INE0QW501012,10,73.85,,BETA,N,81,BETA      SM,1489.35,1460.62,1420.74,1346.52,1210.45,961.46,1595,892.35,,12,,
