Name,BSE Code,NSE Code,Industry,Current Price,Net worth,Market Capitalization,,
Reliance Industr,500325,RELIANCE,Refineries,2527.15,751222,1709555.52,,
TCS,532540,TCS,Computers - Software - Large,3780.05,100681,1384627.31,,
HDFC Bank,500180,HDFCBANK,Banks - Private Sector,1657,289637.71,1257885.82,,
ICICI Bank,532174,ICICIBANK,Banks - Private Sector,1006.65,214501.84,706443.15,,
Infosys,500209,INFY,Computers - Software - Large,1536.4,80768,638184.85,,
Hind. Unilever,500696,HINDUNILVR,Personal Care - Multinational,2557.5,50364,600720.29,,
Bharti Airtel,532454,BHARTIARTL,Telecommunications - Service Provider,971.55,77484.3,569711.88,,
St Bk of India,500112,SBIN,Banks - Public Sector,636.45,358931.32,567833.65,,
ITC,500875,ITC,Cigarettes,451,69099.24,562649.95,,
Life Insurance,543526,LICI,Finance & Investments,761.25,61176.86,481702.77,,
Larsen & Toubro,500510,LT,Engineering - Turnkey Services,3418.5,78411.77,469896.05,,
Bajaj Finance,500034,BAJFINANCE,Finance & Investments,7493.95,59874.48,463155.54,,
HCL Technologies,532281,HCLTECH,Computers - Software - Large,1439.95,65683,390793.6,,
Kotak Mah. Bank,500247,KOTAKBANK,Banks - Private Sector,1826.5,111814.87,362836,,
Axis Bank,532215,AXISBANK,Banks - Private Sector,1110.25,129782.69,342616.63,,
Adani Enterp.,512599,ADANIENT,Trading,2783.85,36671.65,317380.79,,
Asian Paints,500820,ASIANPAINT,Paints / Varnishes,3297.15,16561.95,316309.31,,
Titan Company,500114,TITAN,Diamond Cutting / Jewellery,3554.1,12409,315392.67,,
Maruti Suzuki,532500,MARUTI,Automobiles - Passenger Cars,10081.25,65793.1,304485.31,,
Sun Pharma.Inds.,524715,SUNPHARMA,Pharmaceuticals - Indian - Bulk Drugs & Formln,1232.15,59825.64,295503.51,,
NTPC,532555,NTPC,Power Generation And Supply,297.65,153676.95,288481.52,,
UltraTech Cem.,532538,ULTRACEMCO,Cement - North India,9887.45,56146.86,285574.35,,
Bajaj Finserv,532978,BAJAJFINSV,Finance & Investments,1680.9,50872.69,268122.99,,
Tata Motors,500570,TATAMOTORS,Automobiles - LCVs / HCVs,705.25,53642.89,258251.95,,
Avenue Super.,540376,DMART,Trading,3965.9,17429.38,258090.27,,
O N G C,500312,ONGC,Oil Drilling / Allied Services,203.2,309627.4,255503.71,,
Nestle India,500790,NESTLEIND,Food - Processing - MNC,25097.75,2856.75,242022.58,,
Adani Green,541450,ADANIGREEN,Power Generation And Supply,1452.15,7933,230130.44,,
Wipro,507685,WIPRO,Computers - Software - Large,431.95,69437.9,225687.97,,
Adani Ports,532921,ADANIPORTS,Miscellaneous,1012.15,48693.4,218557.06,,
Coal India,533278,COALINDIA,Mining / Minerals / Metals,352.15,69685.83,216990.92,,
