Date,Company Name,NSE_Code,BSE_Code,Total_Volume,Total_Delivery,Price,PrevClose,Total_Traded_Value,NSE_Volume,NSE_Delivery,BSE_Volume,BSE_Delivery,Segment
231218,Zomato Ltd.,ZOMATO,543320,96738565,42423532,128.55,123.6,54535.450386000004,89553155.0,38551889.0,7185410.0,3871643.0,EQ
231218,Sapphire Foods India Ltd.,SAPPHIRE,543397,3910886,3861444,1404.9,1409.15,54249.426756,92596.0,53169.0,3818290.0,3808275.0,EQ
231218,Indian Renewable Energy Dev Ag,IREDA,544026,178257622,37829413,110.75,108.3,41896.0748975,167648627.0,35119921.0,10608995.0,2709492.0,EQ
231218,Yes Bank Ltd.,YESBANK,532648,625284359,162867244,22.8,21.95,37133.731632,542808852.0,140026263.0,82475507.0,22840981.0,EQ
231218,Indian Railway Finance Corpora,IRFC,543257,165153094,36765228,94.35,94.7,34687.992618,151821592.0,34069058.0,13331502.0,2696170.0,EQ
231218,Adani Total Gas Ltd.,ATGL,542066,4956067,2696339,1030.55,1046.95,27787.121564499997,4836390.0,2642728.0,119677.0,53611.0,EQ
231218,Archean Chemical Industries Lt,ACI,543657,5939751,4397598,611.5,630.4,26891.31177,5836709.0,4354299.0,103042.0,43299.0,EQ
231218,JIO Financial Services,JIOFIN,543940,18900855,10264332,240.15,237.65,24649.793298,17001755.0,9311957.0,1899100.0,952375.0,EQ
231218,One97 Communications Ltd.,PAYTM,543396,9855170,3957097,615.8,606.1,24367.803325999997,9516903.0,3797150.0,338267.0,159947.0,EQ
231218,Ircon International Ltd.,IRCON,541956,34875054,12597798,177.95,171.9,22417.781541,32043566.0,11249750.0,2831488.0,1348048.0,EQ
231218,HFCL Ltd.,HFCL,500183,123363242,27658825,78.1,74.1,21601.542325,117218898.0,26466251.0,6144344.0,1192574.0,EQ
231218,Adani Energy Solutions,ADANIENSOL,539254,3225219,1809465,1043.05,1047.25,18873.6246825,3042841.0,1736302.0,182378.0,73163.0,EQ
231218,,LIQUIDBEES,,2688435,1823589,1000.0,1000.0,18235.89,2688435.0,1823589.0,0.0,0.0,EQ
231218,Union Bank Of India,UNIONBANK,532477,34160539,14606430,123.1,128.3,17980.51533,32148228.0,13804729.0,2012311.0,801701.0,EQ
231218,Bank Of India,BANKINDIA,532149,26607768,15661191,111.5,112.55,17462.227965,24936286.0,14898316.0,1671482.0,762875.0,EQ
231218,Bharat Dynamics Ltd.,BDL,541143,5616357,1050777,1529.25,1391.75,16069.0072725,5409627.0,964210.0,206730.0,86567.0,EQ
231218,Suzlon Energy Ltd.,SUZLON,532667,41316386,41316386,37.85,38.55,15638.252101000002,34128022.0,34128022.0,7188364.0,7188364.0,BE
231218,Varun Beverages Ltd.,VBL,540180,1862694,1275386,1132.0,1099.0,14437.36952,1830640.0,1259877.0,32054.0,15509.0,EQ
231218,SpiceJet Ltd.,,500285,42789227,19023286,64.21,53.58,12214.8519406,0.0,0.0,42789227.0,19023286.0,B 
231218,JK Tyre & Industries Ltd.,JKTYRE,530007,13583728,3128682,389.65,352.0,12190.909413,12701720.0,2744810.0,882008.0,383872.0,EQ
231218,Reliance Industrial Infrastruc,RIIL,523445,5835000,912486,1328.75,1181.45,12124.657725,5557286.0,839469.0,277714.0,73017.0,EQ
231218,Adani Power Ltd.,ADANIPOWER,533096,2220194,2220194,539.35,538.85,11974.616339,2048735.0,2048735.0,171459.0,171459.0,BE
231218,Zensar Technologies Ltd.,ZENSARTECH,504067,10483530,1903838,612.65,593.6,11663.863507,9842245.0,1707667.0,641285.0,196171.0,EQ
231218,IRB Infrastructure Developers ,IRB,532947,73507226,26795561,42.45,40.8,11374.7156445,63978473.0,23434534.0,9528753.0,3361027.0,EQ
231218,IDBI Bank Ltd.,IDBI,500116,49738894,16072516,70.2,67.0,11282.906232000001,45343258.0,14468009.0,4395636.0,1604507.0,EQ
231218,Shipping Corporation Of India ,SCI,523598,16638586,6760387,166.15,158.65,11232.3830005,15278739.0,5766550.0,1359847.0,993837.0,EQ
231218,Central Bank Of India,CENTRALBK,532885,59220220,21859613,50.55,48.8,11050.034371499998,53059324.0,19006189.0,6160896.0,2853424.0,EQ
231218,BSE Ltd.,BSE,,981278,464234,2371.75,2313.7,11010.469895,981278.0,464234.0,0.0,0.0,EQ
231218,Indiabulls Real Estate Ltd.,IBREALEST,532832,31136470,11942079,91.65,87.5,10944.915403500001,28691395.0,10977164.0,2445075.0,964915.0,EQ
231218,Mazagon Dock Shipbuilders Ltd.,MAZDOCK,543237,1675802,505207,2126.8,2082.85,10744.742476000001,1602506.0,477340.0,73296.0,27867.0,EQ
231218,SJVN Ltd.,SJVN,533206,28350935,11000103,93.2,96.3,10252.095996,24984118.0,9590433.0,3366817.0,1409670.0,EQ
231218,JSW Energy Ltd.,JSWENERGY,533148,6955573,2333500,435.95,434.75,10172.89325,6657503.0,2238848.0,298070.0,94652.0,EQ
231218,Praj Industries Ltd.,PRAJIND,522205,4895890,1778504,569.85,542.75,10134.805044,4666001.0,1686682.0,229889.0,91822.0,EQ
231218,APL Apollo Tubes Ltd.,APLAPOLLO,533758,794954,617780,1607.45,1615.85,9930.50461,788366.0,614722.0,6588.0,3058.0,EQ
231218,Housing & Urban Development Co,HUDCO,540530,31843987,8346063,111.15,110.75,9276.6490245,28847631.0,7618607.0,2996356.0,727456.0,EQ
231218,JM Financial Ltd.,JMFINANCIL,523405,31416152,9030499,102.1,101.15,9220.139479,29708275.0,8666620.0,1707877.0,363879.0,EQ
231218,TTK Prestige Ltd.,TTKPRESTIG,517506,1286836,1226826,748.2,751.0,9179.112132,723046.0,665753.0,563790.0,561073.0,EQ
231218,Tata Teleservices (Maharashtra,TTML,532371,29640516,9276739,97.55,91.15,9049.4588945,27687040.0,8801107.0,1953476.0,475632.0,EQ
