BSE_Code,Date,BSE_Volume,BSE_Delivery,Price,PrevClose,Segment,Company Name,NSE_Code
543144,231020,1893,1852,2.12,2.07,B ,,
543150,231020,52954,52754,0.94,0.86,B ,,
543161,231020,1811,1409,42.47,38.61,F ,,
543167,231020,7814,7814,0.87,0.88,F ,,
543173,231020,75,75,8.49,8.18,B ,,
543174,231020,12516,10461,0.95,0.93,B ,,
543175,231020,4739,4639,1.11,1.18,B ,,
543176,231020,740,683,6.65,6.81,B ,,
543177,231020,6696,6696,3.0,2.73,B ,,
543181,231020,949,836,9.29,8.86,B ,,
543182,231020,1267,1266,15.94,15.69,B ,,
543186,231020,3001,3001,2.27,2.23,B ,,
543215,231020,160,159,1158.05,1156.3,F ,,
543216,231020,219,219,1155.48,1156.95,F ,,
543219,231020,24,18,203.07,203.95,B ,,
543221,231020,26473,25901,33.09,33.14,B ,,
543224,231020,390,386,443.18,445.0,B ,,
543226,231020,1129,1128,44.47,44.49,B ,,
543246,231020,3,2,32.06,32.21,B ,,
543255,231020,1045,748,645.04,650.89,B ,,
543291,231020,3479,2287,61.26,61.45,B ,,
543292,231020,48,41,96.78,97.28,B ,,
543323,231020,17521,15246,19.95,19.96,B ,,
543326,231020,454,379,534.26,540.1,B ,,
543347,231020,93,89,328.12,329.42,B ,,
543348,231020,459,451,96.12,97.2,B ,,
543357,231020,26,21,86.64,87.52,B ,,
543365,231020,2516,2440,31.79,31.86,B ,,
543383,231020,1,1,87.11,87.32,B ,,
543388,231020,56,38,241.46,241.83,B ,,
543414,231020,96999,86463,13.58,13.63,B ,,
543418,231020,610,610,1084.5,1084.22,F ,,
543437,231020,726,716,53.06,53.67,B ,,
543438,231020,74,69,190.3,195.22,B ,,
543440,231020,67,64,199.2,199.89,B ,,
543450,231020,27,24,168.0,168.79,B ,,
543452,231020,8991,7833,73.34,72.72,E ,,
543454,231020,25,12,98.42,99.22,B ,,
543465,231020,342,339,46.14,46.26,B ,,
543471,231020,25270,17070,72.93,72.98,E ,,
543472,231020,1152,1150,32.33,32.44,B ,,
543473,231020,233,206,9.68,9.73,B ,,
543474,231020,5575,3950,22.21,22.32,B ,,
543480,231020,54,32,53.38,53.3,F ,,
543481,231020,51526,48371,15.12,15.26,B ,,
543501,231020,162,154,28.56,28.82,B ,,
543563,231020,8720,8700,28.09,28.48,B ,,
543568,231020,2161,2007,23.09,23.38,B ,,
543569,231020,8899,8415,19.82,198.75,B ,,
543570,231020,3533,2942,44.87,452.2,B ,,
543571,231020,459,456,63.22,63.64,B ,,
543572,231020,1337,848,70.99,70.5,E ,,
543574,231020,1305,1218,16.67,16.71,B ,,
543575,231020,1026,1021,23.01,23.29,B ,,
543576,231020,22,14,63.1,64.14,B ,,
543592,231020,11960,10941,70.71,70.4,E ,,
543605,231020,2,0,44.73,45.31,B ,,
543607,231020,189,174,99.99,100.74,B ,,
543608,231020,2,2,105.24,105.42,B ,,
543627,231020,816,809,15.33,152.38,B ,,
543628,231020,9184,6324,23.05,232.44,B ,,
543665,231020,12,11,317.9,319.53,B ,,
543666,231020,47,46,229.11,229.63,B ,,
543677,231020,546,546,20.87,20.89,B ,,
543699,231020,26,26,1054.54,1057.86,F ,,
543710,231020,648,483,63.97,64.8,B ,,
543738,231020,407,406,44.0,44.23,B ,,
543774,231020,58,57,27.42,27.44,B ,,
543775,231020,2105,1605,124.46,125.46,B ,,
543776,231020,20414,19227,15.12,151.95,B ,,
543781,231020,9126,6693,60.57,59.93,E ,,
543819,231020,39612,30998,49.74,50.61,B ,,
543875,231020,50,50,25.05,25.05,F ,,
543900,231020,4455,3430,71.52,71.13,E ,,
543903,231020,3929,3752,60.0,59.45,E ,,
543922,231020,97,75,71.28,71.8,E ,,
543935,231020,1730,1710,31.51,31.7,B ,,
543944,231020,16,11,437.79,438.56,B ,,
543946,231020,4916,4914,1000.0,1000.0,F ,,
543947,231020,79,75,65.27,66.08,B ,,
543948,231020,127,111,49.27,50.02,B ,,
543949,231020,225,222,22.82,22.79,B ,,
543952,231020,8845,5857,405.8,399.7,B ,,
543954,231020,100731,47851,43.99,44.62,B ,,
543955,231020,64252,33644,43.92,44.89,B ,,
543957,231020,13176,4001,548.65,536.9,B ,,
543958,231020,28799,24242,32.07,32.25,B ,,
543961,231020,3000,3000,78.75,78.0,T ,,
543962,231020,3735,2478,624.05,635.2,B ,,
543975,231020,13,10,149.46,150.76,B ,,
543976,231020,64500,52229,47.92,47.08,X ,,
543986,231020,11566,7413,161.45,161.85,B ,,
543987,231020,13,10,194.93,197.1,B ,,
543988,231020,3664,2732,2559.35,2565.4,B ,,
543999,231020,2595,2485,65.74,67.52,B ,,
555555,231020,239,221,729.21,729.82,A ,,
590095,231020,1821312,1547091,51.58,50.93,E ,,
590096,231020,216636,103651,1000.0,1000.0,F ,,
590097,231020,18189,13056,51.68,51.08,E ,,
590098,231020,170016,156449,53.02,52.3,E ,,
590099,231020,18969,9603,51.31,50.64,E ,,
590101,231020,5152,4598,51.73,51.06,E ,,
590103,231020,298067,196798,215.25,216.71,B ,,
590104,231020,8349,5583,473.22,477.32,B ,,
590106,231020,11401,4659,446.06,446.67,B ,,
590107,231020,2117,1624,493.47,502.3,B ,,
590108,231020,347651,196930,54.99,55.81,B ,,
590109,231020,2,2,439.12,439.94,B ,,
590110,231020,5,2,2086.0,2092.0,B ,,
590113,231020,811,796,257.43,260.2,E ,,
590115,231020,57,54,198.85,198.42,B ,,
590136,231020,118,115,445.98,446.32,B ,,
590137,231020,3916,2064,442.57,443.0,B ,,
590138,231020,2988,2959,203.47,204.73,B ,,
717504,231020,3,3,96.0,91.25,F ,,
717505,231020,5408,5407,10.35,10.35,F ,,
750810,231020,224294,224294,6.73,5.59,R ,,
800251,231020,13,12,6010.0,5949.95,G ,,
800252,231020,1,1,6000.0,6000.0,G ,,
800253,231020,1,1,6099.96,6099.96,G ,,
800254,231020,9,9,5970.0,5966.0,G ,,
800265,231020,1,1,6000.0,5810.0,G ,,
800268,231020,10,10,6147.0,5900.0,G ,,
800274,231020,4,4,5853.03,5935.0,G ,,
800297,231020,1,1,6090.0,5925.0,G ,,
800313,231020,5,5,6000.0,5989.0,G ,,
800318,231020,25,21,5999.0,5990.0,G ,,
800320,231020,125,79,5979.98,5930.01,G ,,
800324,231020,72,72,5950.01,5890.0,G ,,
800325,231020,53,51,5986.11,5990.21,G ,,
800327,231020,112,102,5945.0,5945.0,G ,,
800328,231020,15,15,5943.0,5911.67,G ,,
800330,231020,200,200,95.0,95.0,G ,,
800332,231020,1,1,5911.0,5865.11,G ,,
800340,231020,58,58,5956.0,5913.11,G ,,
800341,231020,1,1,5930.0,5985.0,G ,,
800434,231020,3,2,5961.0,5930.0,G ,,
800437,231020,152,104,5973.03,5923.55,G ,,
800439,231020,8,5,5975.0,5870.0,G ,,
800442,231020,114800,114800,102.6,102.6,G ,,
800444,231020,10000,10000,98.55,101.75,G ,,
800452,231020,200,200,99.7,99.7,G ,,
800488,231020,2,2,6000.0,6000.0,G ,,
800489,231020,50,50,100.5,102.1,G ,,
800520,231020,10000,10000,100.0,100.0,G ,,
800574,231020,35000,35000,103.75,102.0,G ,,
800575,231020,15,15,5960.0,5936.0,G ,,
800578,231020,100,100,100.0,101.0,G ,,
800580,231020,220,169,6020.0,6046.2,G ,,
800581,231020,4760,4760,99.35,99.45,G ,,
800584,231020,80,80,98.95,98.95,G ,,
800596,231020,89,34,5927.06,5925.0,G ,,
890157,231020,204,151,561.65,564.85,A ,,
890168,231020,5654,5291,65.93,68.0,B ,,
890179,231020,17855486,17855486,1.0,1.05,XT,,
890187,231020,68337,5862,12.12,12.13,A ,,
890188,231020,37,37,65.41,66.74,XT,,
