NSE_Code,Date,NSE_Volume,NSE_Delivery,Segment,Traded,Price,PrevClose,Company Name,BSE_Code
ABSLBANETF,231020,9003,5291,EQ,9003,44.09,44.15,,
ABSLLIQUID,231020,8080,8037,EQ,8080,999.99,999.99,,
ABSLNN50ET,231020,1727,1638,EQ,1727,45.93,46.42,,
ATL,231020,1609690,855599,EQ,1609690,44.05,44.65,,
AUTOBEES,231020,46488,33190,EQ,46488,167.85,168.67,,
AXISBNKETF,231020,639,572,EQ,639,444.24,444.91,,
AXISBPSETF,231020,8061,5425,EQ,8061,11.22,11.22,,
AXISCETF,231020,192,186,EQ,192,86.5,87.4,,
AXISGOLD,231020,181368,124558,EQ,181368,51.64,51.08,,
AXISHCETF,231020,884,716,EQ,884,96.35,96.98,,
AXISILVER,231020,18321,14654,EQ,18321,73.16,72.78,,
AXISNIFTY,231020,3416,2940,EQ,3416,209.78,210.64,,
AXISTECETF,231020,3357,2556,EQ,3357,328.28,329.49,,
AXSENSEX,231020,1159,902,EQ,1159,65.69,66.1,,
BANKBEES,231020,332719,239145,EQ,332719,446.35,446.75,,
BANKETF,231020,938,829,EQ,938,438.06,439.15,,
BBETF0432,231020,1353,1325,EQ,1353,1084.83,1084.08,,
BFSI,231020,56408,46375,EQ,56408,19.91,19.94,,
BSLGOLDETF,231020,1381997,1303098,EQ,1381997,54.66,53.43,,
BSLNIFTY,231020,67711,47575,EQ,67711,22.19,22.29,,
BSLSENETFG,231020,427,424,EQ,427,63.89,64.2,,
CONSUMBEES,231020,17606,13931,EQ,17606,93.48,94.18,,
CPSEETF,231020,730214,638024,EQ,730214,53.65,54.04,,
DIAMINESQ,231020,4235,2924,EQ,4235,511.4,519.7,,
DIVOPPBEES,231020,20997,15822,EQ,20997,58.0,58.38,,
DSPBANKETF,231020,1893,1296,EQ,1893,44.09,44.12,,
DSPGOLDETF,231020,1688695,1653011,EQ,1688695,60.6,59.5,,
DSPITETF,231020,10206,8217,EQ,10206,31.56,31.81,,
DSPN50ETF,231020,402,391,EQ,402,199.34,200.95,,
DSPNEWETF,231020,12766,12532,EQ,12766,241.87,242.63,,
DSPPSBKETF,231020,2458,1281,EQ,2458,49.28,50.41,,
DSPPVBKETF,231020,3555,1096,EQ,3555,22.61,22.9,,
DSPQ50ETF,231020,7183,5790,EQ,7183,193.55,199.5,,
DSPSENXETF,231020,190,122,EQ,190,65.34,66.54,,
DSPSILVETF,231020,2781,2181,EQ,2781,70.78,70.32,,
EBBETF0425,231020,2750,1656,EQ,2750,1157.86,1158.43,,
EBBETF0430,231020,13420,13119,EQ,13420,1296.99,1297.27,,
EBBETF0431,231020,7489,7426,EQ,7489,1155.66,1155.8,,
EBBETF0433,231020,608,551,EQ,608,1054.03,1054.56,,
EPIGRAL,231020,39818,23434,EQ,39818,940.75,959.4,,
ESG,231020,5111,4789,EQ,5111,32.06,32.31,,
GILT5YBEES,231020,150838,101381,EQ,150838,53.03,52.96,,
GOLDBEES,231020,7276449,5346732,EQ,7276449,51.59,50.91,,
GOLDETF,231020,74892,67135,EQ,74892,60.95,59.85,,
GOLDSHARE,231020,6128176,6094821,EQ,6128176,51.55,51.15,,
GSEC10YEAR,231020,757,377,EQ,757,24.97,24.5,,
HDFCBSE500,231020,5810,3578,EQ,5810,27.51,27.57,,
HDFCGOLD,231020,635410,456477,EQ,635410,53.01,52.45,,
HDFCGROWTH,231020,7480,7046,EQ,7480,99.5,100.49,,
