NSE_Code,Total_Delivery,Price,PrevClose,Total_Traded_Value
TATAMOTORS,"     39,951,205",      618.25,      622.55,"        246,998.32"
RELIANCE,"      5,193,174","    2,536.45","    2,525.20","        131,722.26"
HDFCBANK,"      6,939,019","    1,635.85","    1,650.50","        113,511.94"
ADANIENT,"      4,038,688","    2,552.40","    2,507.10","        103,083.47"
ZEEL,"     30,234,357",      282.35,      242.25,"         85,366.71"
SBIN,"     10,021,869",      573.65,      573.75,"         57,490.45"
ICICIBANK,"      5,830,349",      964.10,      972.70,"         56,210.39"
AXISBANK,"      4,272,951",      939.75,      950.00,"         40,155.06"
INFY,"      2,741,590","    1,389.10","    1,394.40","         38,083.43"
M&M,"      2,303,896","    1,545.40","    1,534.75","         35,604.41"
ITC,"      7,771,938",      451.75,      458.65,"         35,109.73"
KOTAKBANK,"      1,913,376","    1,800.85","    1,831.50","         34,457.03"
MFSL,"      3,806,102",      855.10,      789.70,"         32,545.98"
TECHM,"      2,472,417","    1,235.80","    1,228.00","         30,554.13"
MARUTI,"        317,391","    9,397.60","    9,463.10","         29,827.14"
JSWSTEEL,"      3,513,278",      831.50,      823.45,"         29,212.91"
HINDUNILVR,"        999,846","    2,536.70","    2,552.20","         25,363.09"
TCS,"        672,764","    3,442.10","    3,462.50","         23,157.21"
BAJFINANCE,"        295,508","    7,143.85","    7,125.35","         21,110.65"
BHARTIARTL,"      2,293,169",      874.80,      883.70,"         20,060.64"
CHOLAFIN,"      1,874,428","    1,060.25","    1,055.65","         19,873.62"
TRENT,"      1,020,232","    1,895.45","    1,787.90","         19,337.99"
ADANIPORTS,"      2,343,361",      802.80,      791.10,"         18,812.50"
RECLTD,"      8,681,846",      216.60,      217.85,"         18,804.88"
ASIANPAINT,"        568,641","    3,237.90","    3,331.00","         18,412.03"
PIIND,"        465,030","    3,877.45","    3,882.25","         18,031.31"
LT,"        652,012","    2,643.50","    2,651.60","         17,235.94"
BRITANNIA,"        376,297","    4,540.45","    4,600.90","         17,085.58"
PFC,"      6,385,054",      267.05,      270.05,"         17,051.29"
CUMMINSIND,"        962,855","    1,764.65","    1,748.60","         16,991.02"
INDIACEM,"      6,892,917",      240.90,      229.15,"         16,605.04"
TITAN,"        527,832","    2,988.55","    2,955.90","         15,774.52"
TATAPOWER,"      6,628,477",      237.15,      234.90,"         15,719.43"
ULTRACEMCO,"        193,909","    8,102.20","    8,111.25","         15,710.89"
INDUSINDBK,"      1,081,578","    1,430.20","    1,408.45","         15,468.73"
ASHOKLEY,"      8,204,125",      186.20,      187.55,"         15,276.08"
ICICIGI,"      1,122,845","    1,355.45","    1,394.00","         15,219.60"
DRREDDY,"        258,151","    5,851.15","    5,871.00","         15,104.80"
MARICO,"      2,519,763",      576.85,      585.15,"         14,535.25"
TATASTEEL,"     11,929,755",      120.00,      120.20,"         14,315.71"
CIPLA,"      1,096,877","    1,258.95","    1,266.05","         13,809.13"
COFORGE,"        265,160","    5,146.90","    5,067.95","         13,647.52"
VOLTAS,"      1,628,168",      836.75,      849.45,"         13,623.70"
SHRIRAMFIN,"        730,072","    1,850.70","    1,848.90","         13,511.44"
COALINDIA,"      5,735,071",      234.90,      234.75,"         13,471.68"
EICHERMOT,"        388,950","    3,414.70","    3,412.60","         13,281.48"
NTPC,"      5,748,617",      217.40,      218.70,"         12,497.49"
WIPRO,"      2,956,388",      418.65,      417.80,"         12,376.92"
VEDL,"      4,913,216",      243.85,      244.05,"         11,980.88"
POWERGRID,"      4,893,315",      241.80,      240.35,"         11,832.04"
TATAMOTORS,"     39,951,205",      618.25,      622.55,"        246,998.32"
IDEA,"     39,446,219",        8.05,        8.20,"          3,175.42"
ZEEL,"     30,234,357",      282.35,      242.25,"         85,366.71"
TATASTEEL,"     11,929,755",      120.00,      120.20,"         14,315.71"
PNB,"     10,613,819",       61.25,       61.55,"          6,500.96"
SBIN,"     10,021,869",      573.65,      573.75,"         57,490.45"
IDFCFIRSTB,"      9,388,610",       87.55,       88.15,"          8,219.73"
RECLTD,"      8,681,846",      216.60,      217.85,"         18,804.88"
MOTHERSON,"      8,321,384",       95.80,       98.65,"          7,971.89"
ASHOKLEY,"      8,204,125",      186.20,      187.55,"         15,276.08"
ITC,"      7,771,938",      451.75,      458.65,"         35,109.73"
FEDERALBNK,"      6,945,465",      134.20,      134.60,"          9,320.81"
HDFCBANK,"      6,939,019","    1,635.85","    1,650.50","        113,511.94"
INDIACEM,"      6,892,917",      240.90,      229.15,"         16,605.04"
TATAPOWER,"      6,628,477",      237.15,      234.90,"         15,719.43"
GAIL,"      6,580,089",      117.60,      117.90,"          7,738.18"
NATIONALUM,"      6,434,224",       95.00,       96.85,"          6,112.51"
PFC,"      6,385,054",      267.05,      270.05,"         17,051.29"
BEL,"      5,977,038",      129.40,      131.70,"          7,734.29"
ICICIBANK,"      5,830,349",      964.10,      972.70,"         56,210.39"
BANKBARODA,"      5,769,376",      191.90,      194.05,"         11,071.43"
NTPC,"      5,748,617",      217.40,      218.70,"         12,497.49"
COALINDIA,"      5,735,071",      234.90,      234.75,"         13,471.68"
GMRINFRA,"      5,282,066",       53.35,       52.30,"          2,817.98"
RELIANCE,"      5,193,174","    2,536.45","    2,525.20","        131,722.26"
NMDC,"      5,100,600",      113.70,      112.65,"          5,799.38"
VEDL,"      4,913,216",      243.85,      244.05,"         11,980.88"
POWERGRID,"      4,893,315",      241.80,      240.35,"         11,832.04"
IBULHSGFIN,"      4,797,155",      164.80,      169.45,"          7,905.71"
AXISBANK,"      4,272,951",      939.75,      950.00,"         40,155.06"
ONGC,"      4,206,038",      178.65,      176.90,"          7,514.09"
ADANIENT,"      4,038,688","    2,552.40","    2,507.10","        103,083.47"
BANDHANBNK,"      3,892,632",      228.80,      232.30,"          8,906.34"
MFSL,"      3,806,102",      855.10,      789.70,"         32,545.98"
IDFC,"      3,712,753",      118.35,      119.35,"          4,394.04"
SAIL,"      3,669,231",       92.90,       92.95,"          3,408.72"
BHEL,"      3,591,396",       99.85,      101.25,"          3,586.01"
CROMPTON,"      3,588,760",      303.80,      305.75,"         10,902.65"
IOC,"      3,574,817",       93.85,       93.90,"          3,354.97"
JSWSTEEL,"      3,513,278",      831.50,      823.45,"         29,212.91"
RBLBANK,"      3,343,914",      224.25,      220.95,"          7,498.73"
MANAPPURAM,"      3,252,310",      146.45,      142.40,"          4,763.01"
BIOCON,"      3,118,598",      261.40,      270.05,"          8,152.02"
IEX,"      3,071,084",      129.10,      130.60,"          3,964.77"
WIPRO,"      2,956,388",      418.65,      417.80,"         12,376.92"
LAURUSLABS,"      2,944,563",      398.60,      410.35,"         11,737.03"
HINDCOPPER,"      2,871,139",      148.25,      151.90,"          4,256.46"
INFY,"      2,741,590","    1,389.10","    1,394.40","         38,083.43"
MARICO,"      2,519,763",      576.85,      585.15,"         14,535.25"
DELTACORP,"      2,511,190",      184.35,      186.00,"          4,629.38"
