Company Name,Total_Delivery,Price,PrevClose,Total_Traded_Value,NSE_Code,BSE_Code,Segment
Ahasolar Technologies Ltd.,4000,309.0,310.0,12.36,,543941,M 
Kaka Industries Ltd.,20000,182.5,180.0,36.5,,543939,M 
Acceleratebs India Ltd.,3200,234.6,228.95,7.5072,,543938,M 
Alphalogic Industries Ltd.,4800,312.15,297.3,14.9832,,543937,M 
Veefin Solutions Ltd.,28800,243.85,239.35,70.2288,,543931,M 
Cosmic CRF Ltd.,53600,276.4,259.75,148.1504,,543928,M 
Bizotic Commercial Ltd.,8000,59.57,58.69,4.7656,,543926,M 
Comrade Appliances Ltd.,22000,157.95,155.05,34.748999999999995,,543921,M 
CFF Fluid Control Ltd.,12000,396.45,399.95,47.574,,543920,M 
Hemant Surgical Industries Ltd,30400,201.05,198.5,61.1192,,543916,M 
Innokaiz India Ltd.,6400,130.0,127.0,8.32,,543905,M 
Retina Paints Ltd.,12000,64.0,65.0,7.68,,543902,M 
Exhicon Events Media Solutions,14000,284.15,291.0,39.781,,543895,M 
Maiden Forgings Ltd.,22000,109.45,108.15,24.079,,543874,M 
Dev Labtech Venture Ltd.,8000,59.49,58.94,4.7592,,543848,M 
Labelkraft Technologies Ltd.,2000,75.0,73.0,1.5,,543830,M 
Sudarshan Pharma Industries Lt,6400,80.01,80.0,5.120640000000001,,543828,M 
ITCONS E-Solutions Ltd.,14000,47.31,48.12,6.6234,,543806,M 
RESGEN Ltd.,24000,74.2,76.1,17.808,,543805,M 
Amanaya Ventures Ltd.,6000,17.2,15.0,1.032,,543804,M 
S.V.J. Enterprises Ltd.,246000,58.34,55.9,143.5164,,543799,M 
Patron Exim Ltd.,32000,9.37,9.49,2.9984,,543798,M 
Macfos Ltd.,15600,381.25,384.75,59.475,,543787,M 
Sealmatic India Ltd.,4200,513.65,528.5,21.5733,,543782,M 
Earthstahl & Alloys Ltd.,93000,60.09,58.1,55.8837,,543765,M 
Transvoy Logistics India Ltd.,1600,75.4,78.75,1.2064000000000001,,543754,M 
Eastern Logica Infoway Ltd.,3600,600.0,600.35,21.6,,543746,M 
SVS Ventures Ltd.,6000,8.8,8.58,0.528,,543745,M 
Rex Sealing and Packing Indust,2000,104.0,101.0,2.08,,543744,M 
Droneacharya Aerial Innovation,70000,186.2,184.5,130.34,,543713,M 
PNGS Gargi Fashion Jewellery L,12000,280.0,270.0,33.6,,543709,M 
Ambo Agritec Ltd.,24000,31.9,28.11,7.656,,543678,M 
Technopack Polymers Ltd.,4000,94.49,93.46,3.7796,,543656,M 
Pace E-Commerce Ventures Ltd.,19200,20.09,20.18,3.85728,,543637,M 
Steelman Telecom Ltd.,90000,177.9,155.95,160.11,,543622,M 
Cargosol Logistics Ltd.,16000,50.83,50.32,8.1328,,543621,M 
Insolation Energy Ltd.,76000,422.4,427.75,321.024,,543620,M 
Concord Control Systems Ltd.,8500,642.0,620.0,54.57,,543619,M 
Cargotrans Maritime Ltd.,9000,78.11,82.15,7.0299,,543618,M 
Reetech International Cargo an,3600,54.0,55.0,1.944,,543617,M 
Silicon Rental Solutions Ltd.,2400,160.0,161.0,3.84,,543615,M 
Virtuoso Optoelectronics Ltd.,59000,266.2,242.3,157.058,,543597,M 
Dipna Pharmachem Ltd.,36000,15.95,15.85,5.742,,543594,M 
Rhetan TMT Ltd.,7500,9.25,8.95,0.69375,,543590,M 
Naturo Indiabull Ltd.,24000,13.57,13.87,3.2568,,543579,M 
