Date,Company Name,NSE_Code,BSE_Code,Total_Volume,Total_Delivery,Price,PrevClose,Total_Traded_Value,NSE_Volume,NSE_Delivery,BSE_Volume,BSE_Delivery,Segment
190124,Aaron Industries Ltd.,AARON,,3000,3000,44.5,42.0,1.335,3000.0,3000.0,0.0,0.0,SM
190124,ACE Integrated Solutions Ltd.,ACEINTEG,,18000,18000,27.5,25.5,4.95,18000.0,18000.0,0.0,0.0,SM
190124,Agro Phos India Ltd.,AGROPHOS,,198000,150000,54.9,54.45,82.35,198000.0,150000.0,0.0,0.0,SM
190124,ANI Integrated Services Ltd.,AISL,,2400,2400,74.0,76.0,1.776,2400.0,2400.0,0.0,0.0,SM
190124,Ajooni Biotech Ltd.,AJOONI,,92000,12000,28.85,27.85,3.462,92000.0,12000.0,0.0,0.0,SM
190124,Bombay Super Hybrid Seeds Ltd.,BSHSL,,1000,1000,130.0,130.7,1.3,1000.0,1000.0,0.0,0.0,SM
190124,CMM Infraprojects Ltd.,CMMIPL,,3000,3000,9.25,9.5,0.2775,3000.0,3000.0,0.0,0.0,SM
190124,Creative Newtech Ltd.,CREATIVE,,6400,3200,115.0,116.4,3.68,6400.0,3200.0,0.0,0.0,SM
190124,Dangee Dums Ltd.,DANGEE,,32000,32000,187.0,196.0,59.84,32000.0,32000.0,0.0,0.0,SM
190124,Euro India Fresh Foods Ltd.,EIFFL,,4000,4000,115.8,116.25,4.632,4000.0,4000.0,0.0,0.0,SM
190124,Ganga Forging Ltd.,GANGAFORGE,,6000,6000,22.5,22.4,1.35,6000.0,6000.0,0.0,0.0,SM
190124,Giriraj Civil Developers Ltd.,GIRIRAJ,,9600,7200,40.0,44.4,2.88,9600.0,7200.0,0.0,0.0,SM
190124,Global Education Ltd.,GLOBAL,,1000,1000,149.0,149.0,1.49,1000.0,1000.0,0.0,0.0,SM
190124,ICE Make Refrigeration Ltd.,ICEMAKE,,2000,2000,70.95,70.0,1.419,2000.0,2000.0,0.0,0.0,SM
190124,Innovative Tyres & Tubes Ltd.,INNOVATIVE,,3000,3000,23.05,22.95,0.6915,3000.0,3000.0,0.0,0.0,SM
190124,Jakharia Fabric Ltd.,JAKHARIA,,11200,11200,182.0,181.25,20.384,11200.0,11200.0,0.0,0.0,SM
190124,Jash Engineering Ltd.,JASH,,6000,4800,88.0,94.9,4.224,6000.0,4800.0,0.0,0.0,SM
190124,Kritika Wires Ltd.,KRITIKA,,4000,4000,41.6,41.2,1.664,4000.0,4000.0,0.0,0.0,SM
190124,Kshitij Polyline Ltd.,KSHITIJPOL,,28000,28000,30.9,30.9,8.652,28000.0,28000.0,0.0,0.0,SM
190124,Lagnam Spintex Ltd.,LAGNAM,,3000,3000,16.5,16.6,0.495,3000.0,3000.0,0.0,0.0,SM
190124,Lexus Granito (India) Ltd.,LEXUS,,2000,1000,23.0,23.25,0.23,2000.0,1000.0,0.0,0.0,SM
190124,Libas Consumer Products Ltd.,LIBAS,,6000,6000,52.8,50.3,3.168,6000.0,6000.0,0.0,0.0,SM
190124,Maheshwari Logistics Ltd.,MAHESHWARI,,12000,12000,194.0,192.0,23.28,12000.0,12000.0,0.0,0.0,SM
190124,Marine Electricals (India) Ltd,MARINE,,112000,86000,90.0,90.9,77.4,112000.0,86000.0,0.0,0.0,SM
190124,Madhav Copper Ltd.,MCL,,8400,8400,189.0,181.6,15.876,8400.0,8400.0,0.0,0.0,SM
