NSE_Code,Total_Delivery,Price,PrevClose,Total_Traded_Value
RELIANCE,4075052,1247.45,1226.3,50834.236174000005
ICICIBANK,10443842,364.8,367.4,38099.135616
ITC,11637733,278.9,277.3,32457.637336999996
HDFCBANK,1536423,2102.25,2105.4,32299.4525175
INFY,3754036,732.0,731.65,27479.54352
AXISBANK,4119462,663.65,661.6,27338.809563
BSOFT,14813980,128.85,217.95,19087.81323
TCS,1001614,1901.55,1875.6,19046.191017
INDIGO,1596519,1178.55,1109.3,18815.774674499997
HINDUNILVR,1024033,1759.5,1767.2,18017.860635
ASIANPAINT,989589,1401.85,1396.55,13872.553396499998
SUNPHARMA,2851414,423.0,431.0,12061.48122
M&M,1707835,697.3,695.85,11908.733455
SBIN,4080443,288.05,286.65,11753.716061500001
ASHOKLEY,13695142,84.8,89.15,11613.480415999999
ULTRACEMCO,273756,3790.7,3850.65,10377.268692
MARUTI,146164,7040.6,7045.4,10290.822584000001
LT,793380,1295.35,1301.45,10277.04783
BHARTIARTL,3264079,301.65,303.7,9846.094303499998
ZEEL,2259903,433.85,432.85,9804.589165500001
NESTLEIND,76107,11433.4,11315.9,8701.617737999999
KOTAKBANK,683842,1267.75,1276.5,8669.406955
ADANIPORTS,2227805,380.95,385.2,8486.8231475
HCLTECH,870044,946.45,944.45,8234.531438
GAIL,2424995,333.6,334.2,8089.78332
UPL,1014636,747.35,762.85,7582.882146
DRREDDY,267283,2668.45,2646.75,7132.313213499999
JUBLFOOD,603141,1179.65,1173.25,7114.952806500001
INDUSINDBK,433681,1490.3,1495.0,6463.147943
HINDPETRO,2608428,243.1,241.85,6341.088468
TATAMOTORS,3461418,175.4,180.25,6071.327172
M&MFIN,1415052,422.25,434.7,5975.05707
BAJFINANCE,209944,2635.65,2634.35,5533.3890360000005
COLPAL,407183,1321.9,1307.25,5382.552077
TECHM,703684,727.75,720.7,5121.06031
TATASTEEL,1104204,460.75,464.6,5087.61993
WIPRO,1405033,351.75,351.55,4942.2035775
PEL,208178,2307.75,2357.85,4804.227795
NAUKRI,276072,1715.6,1729.05,4736.291232
IOC,3434167,136.8,136.1,4697.940456
IBULHSGFIN,599922,773.5,778.7,4640.39667
SYNGENE,770630,588.9,579.4,4538.24007
PIDILITIND,404468,1109.35,1131.45,4486.965757999999
CIPLA,864831,500.7,509.3,4330.208817
BANKBARODA,3757984,113.0,111.3,4246.52192
APOLLOHOSP,309169,1314.65,1293.85,4064.4902585000004
AUROPHARMA,509139,788.8,783.1,4016.088432
POWERGRID,2119621,186.75,186.3,3958.3922175
BALKRISIND,458401,847.5,864.45,3884.948475
UBL,267982,1448.3,1444.9,3881.1833059999994
BSOFT,14813980,128.85,217.95,19087.81323
ASHOKLEY,13695142,84.8,89.15,11613.480415999999
ITC,11637733,278.9,277.3,32457.637336999996
ICICIBANK,10443842,364.8,367.4,38099.135616
IDEA,8373398,34.05,33.9,2851.142019
AXISBANK,4119462,663.65,661.6,27338.809563
SBIN,4080443,288.05,286.65,11753.716061500001
RELIANCE,4075052,1247.45,1226.3,50834.236174000005
IDFCFIRSTB,3887819,47.1,47.3,1831.162749
BANKBARODA,3757984,113.0,111.3,4246.52192
INFY,3754036,732.0,731.65,27479.54352
TATAMOTORS,3461418,175.4,180.25,6071.327172
IOC,3434167,136.8,136.1,4697.940456
BHARTIARTL,3264079,301.65,303.7,9846.094303499998
SUNPHARMA,2851414,423.0,431.0,12061.48122
HINDPETRO,2608428,243.1,241.85,6341.088468
GAIL,2424995,333.6,334.2,8089.78332
ZEEL,2259903,433.85,432.85,9804.589165500001
BHEL,2255155,69.05,69.35,1557.1845275
ADANIPORTS,2227805,380.95,385.2,8486.8231475
ONGC,2176593,141.7,143.3,3084.2322809999996
NTPC,2128378,140.05,140.75,2980.7933890000004
POWERGRID,2119621,186.75,186.3,3958.3922175
TATAPOWER,2084788,74.55,75.2,1554.209454
BEL,2035961,82.8,83.9,1685.775708
MANAPPURAM,1952398,99.05,97.9,1933.8502190000002
PFC,1771411,104.75,101.95,1855.5530225
FEDERALBNK,1755514,88.9,88.5,1560.6519460000002
M&M,1707835,697.3,695.85,11908.733455
COALINDIA,1607582,223.85,225.55,3598.572307
INDIGO,1596519,1178.55,1109.3,18815.774674499997
PNB,1595365,78.1,77.75,1245.9800649999997
HDFCBANK,1536423,2102.25,2105.4,32299.4525175
JINDALSTEL,1430721,141.65,139.5,2026.6162965
M&MFIN,1415052,422.25,434.7,5975.05707
WIPRO,1405033,351.75,351.55,4942.2035775
RECLTD,1323824,122.5,120.95,1621.6844
PETRONET,1196369,226.3,226.8,2707.383047
TATASTEEL,1104204,460.75,464.6,5087.61993
GRANULES,1063700,96.3,93.3,1024.3431
HINDUNILVR,1024033,1759.5,1767.2,18017.860635
UPL,1014636,747.35,762.85,7582.882146
TCS,1001614,1901.55,1875.6,19046.191017
ASIANPAINT,989589,1401.85,1396.55,13872.553396499998
ABFRL,984163,202.95,204.1,1997.3588085
HINDALCO,926716,205.05,205.45,1900.231158
ICICIPRULI,913009,303.8,305.4,2773.721342
JSWSTEEL,889964,283.65,280.9,2524.382886
EXIDEIND,888642,233.2,241.1,2072.3131439999997
VEDL,876478,193.5,192.8,1695.98493
