NSE_Code,Total_Delivery,Price,PrevClose,Total_Traded_Value
HDFCBANK,10569609,1539.6,1524.85,162729.7
RELIANCE,4386309,2345.05,2308.4,102861.14
INFY,6097080,1494.4,1495.15,91114.76
ICICIBANK,7548456,953.1,951.2,71944.33
TCS,1962174,3609.9,3628.9,70832.52
BHARTIARTL,6049481,955.6,948.35,57808.84
LT,1535119,3088.7,3076.0,47415.22
HINDUNILVR,1810929,2556.4,2516.2,46294.59
SBIN,7269902,588.35,591.65,42772.47
AXISBANK,4142460,1019.1,1012.25,42215.81
BANKBARODA,19623299,207.2,214.3,40659.48
ULTRACEMCO,403415,8343.0,8158.3,33656.91
BAJFINANCE,400040,8101.95,8083.6,32411.04
KOTAKBANK,1640458,1771.4,1756.1,29059.07
ASIANPAINT,891541,3163.9,3151.5,28207.47
TATAMOTORS,3907370,634.0,630.55,24772.73
NTPC,10226235,238.7,235.9,24410.02
ITC,5312272,448.25,444.4,23812.26
M&M,1513809,1556.3,1537.85,23559.41
MARUTI,224321,10412.1,10375.0,23356.53
BAJAJ-AUTO,435479,5064.4,5037.5,22054.4
PFC,8809007,250.0,249.95,22022.52
HINDALCO,4167183,483.9,480.65,20165.0
COALINDIA,6371499,301.85,303.25,19232.37
CHOLAFIN,1516403,1259.7,1259.15,19102.13
CUB,13215536,140.8,134.75,18607.47
TITAN,520868,3280.5,3269.2,17087.07
HCLTECH,1347283,1245.6,1261.8,16781.76
WIPRO,3672418,421.15,407.75,15466.39
RECLTD,5256838,291.6,290.9,15328.94
IDEA,126537640,11.85,11.05,14994.71
COFORGE,289205,5154.65,5196.25,14907.51
NMDC,9904871,150.3,150.25,14887.02
APOLLOHOSP,283548,5092.85,5066.7,14440.67
POWERGRID,7140174,198.5,197.95,14173.25
HDFCLIFE,2251102,621.5,621.25,13990.6
DRREDDY,247411,5567.6,5478.55,13774.85
ICICIPRULI,2519782,524.9,540.15,13226.34
TATASTEEL,10584667,124.95,125.3,13225.54
INDIGO,516371,2533.15,2510.3,13080.45
VEDL,5710740,227.65,222.15,13000.5
ADANIENT,510187,2488.6,2498.3,12696.51
SBILIFE,956670,1309.35,1302.05,12526.16
IDFCFIRSTB,13629739,91.55,90.25,12478.03
BRITANNIA,271972,4554.95,4529.95,12388.19
SUNPHARMA,1073659,1128.75,1126.5,12118.93
PNB,15913371,76.05,75.25,12102.12
SIEMENS,340056,3558.5,3591.05,12100.89
MCX,557477,2156.55,2099.8,12022.27
INDIACEM,5176441,228.85,228.55,11846.29
IDEA,126537640,11.85,11.05,14994.71
BANKBARODA,19623299,207.2,214.3,40659.48
PNB,15913371,76.05,75.25,12102.12
IDFCFIRSTB,13629739,91.55,90.25,12478.03
CUB,13215536,140.8,134.75,18607.47
TATASTEEL,10584667,124.95,125.3,13225.54
HDFCBANK,10569609,1539.6,1524.85,162729.7
NTPC,10226235,238.7,235.9,24410.02
NMDC,9904871,150.3,150.25,14887.02
GAIL,9443483,123.55,122.9,11667.42
PFC,8809007,250.0,249.95,22022.52
MOTHERSON,8789496,95.4,93.3,8385.18
IOC,7693586,89.7,88.35,6901.15
ICICIBANK,7548456,953.1,951.2,71944.33
SBIN,7269902,588.35,591.65,42772.47
SAIL,7204342,88.6,88.8,6383.05
POWERGRID,7140174,198.5,197.95,14173.25
BEL,7003357,137.75,139.95,9647.12
COALINDIA,6371499,301.85,303.25,19232.37
BHEL,6217141,130.85,131.2,8135.13
INFY,6097080,1494.4,1495.15,91114.76
BHARTIARTL,6049481,955.6,948.35,57808.84
IDFC,5895553,125.95,123.8,7425.45
VEDL,5710740,227.65,222.15,13000.5
ASHOKLEY,5617797,176.35,173.6,9906.99
ONGC,5426944,183.25,183.5,9944.87
NATIONALUM,5420862,95.8,97.0,5193.19
FEDERALBNK,5343869,147.0,147.95,7855.49
ITC,5312272,448.25,444.4,23812.26
RECLTD,5256838,291.6,290.9,15328.94
INDIACEM,5176441,228.85,228.55,11846.29
INDUSTOWER,4502948,192.8,187.45,8681.68
RELIANCE,4386309,2345.05,2308.4,102861.14
HINDALCO,4167183,483.9,480.65,20165.0
AXISBANK,4142460,1019.1,1012.25,42215.81
TATAMOTORS,3907370,634.0,630.55,24772.73
WIPRO,3672418,421.15,407.75,15466.39
TATAPOWER,3217152,253.95,253.9,8169.96
L&TFH,3070118,132.85,133.7,4078.65
IBULHSGFIN,2861079,177.85,176.3,5088.43
CANBK,2748737,369.85,372.5,10166.2
BANDHANBNK,2717858,248.75,251.95,6760.67
ZEEL,2650654,259.65,259.1,6882.42
MANAPPURAM,2559797,145.15,144.6,3715.55
ICICIPRULI,2519782,524.9,540.15,13226.34
HINDCOPPER,2516802,153.85,154.8,3872.1
GMRINFRA,2254829,59.3,59.05,1337.11
HDFCLIFE,2251102,621.5,621.25,13990.6
JUBLFOOD,2094117,531.5,530.35,11130.23
TCS,1962174,3609.9,3628.9,70832.52
