,Date,Company Name,NSE_Code,BSE_Code,Total_Volume,Total_Delivery,Price,PrevClose,Total_Traded_Value,NSE_Volume,NSE_Delivery,BSE_Volume,BSE_Delivery,Segment
60,231011,Goyal Salt Limited,GOYALSALT,,2757000,2751000,136.1,38.0,3744.11,2757000.0,2751000.0,0.0,0.0,ST
31,231011,Varanium Cloud Ltd.,CLOUD,,2540000,1113000,229.85,191.55,2558.23,2540000.0,1113000.0,0.0,0.0,SM
27,231011,Canarys Automation,CANARYS,,4504000,4504000,41.3,31.0,1860.15,4504000.0,4504000.0,0.0,0.0,ST
49,231011,E Factor Experiences,EFACTOR,,612800,553600,124.45,126.75,688.96,612800.0,553600.0,0.0,0.0,ST
96,231011,Mangalam Alloys,MAL,,1126400,1075200,61.35,61.95,659.64,1126400.0,1075200.0,0.0,0.0,ST
316,231011,Bondada Engineering Limited,543971,543971,584000,299200,202.4,209.75,605.58,0.0,0.0,584000.0,299200.0,M 
28,231011,Cellcor Gadgets,CELLECOR,,418800,376800,137.8,132.2,519.23,418800.0,376800.0,0.0,0.0,ST
112,231011,Oneclick Logistics India,OLIL,,356400,356400,133.0,99.0,474.01,356400.0,356400.0,0.0,0.0,ST
322,231011,Sunita Tools,544001,544001,299000,299000,147.25,0.0,440.28,0.0,0.0,299000.0,299000.0,MT
7,231011,All E Technologies Ltd.,ALLETEC,,305600,206400,202.3,184.7,417.55,305600.0,206400.0,0.0,0.0,SM
65,231011,Holmarc Opto Mechatronics,HOLMARC,,552000,294000,115.8,96.9,340.45,552000.0,294000.0,0.0,0.0,SM
281,231011,Droneacharya Aerial Innovation,543713,543713,366000,178000,184.5,175.3,328.41,0.0,0.0,366000.0,178000.0,M 
320,231011,Organic Recycling Systems,543997,543997,126000,126000,247.3,248.7,311.6,0.0,0.0,126000.0,126000.0,MT
93,231011,Madhusudan Masala,MADHUSUDAN,,356000,250000,120.05,111.4,300.12,356000.0,250000.0,0.0,0.0,SM
43,231011,Digikore Studios,DIGIKORE,,125600,100800,292.0,278.1,294.34,125600.0,100800.0,0.0,0.0,ST
30,231011,Chavda Infra,CHAVDA,,456000,308000,90.5,87.65,278.74,456000.0,308000.0,0.0,0.0,SM
21,231011,Basilic Fly Studio,BASILIC,,172800,90000,280.85,285.25,252.77,172800.0,90000.0,0.0,0.0,SM
84,231011,Kotyark Industries Ltd.,KOTYARK,,39400,30800,812.65,790.25,250.3,39400.0,30800.0,0.0,0.0,SM
11,231011,Annapurna Swadisht Ltd.,ANNAPURNA,,117000,77000,303.15,289.9,233.43,117000.0,77000.0,0.0,0.0,SM
160,231011,Systango Technologies Ltd.,SYSTANGO,,142400,96000,238.55,218.95,229.01,142400.0,96000.0,0.0,0.0,SM
129,231011,RBM Infracon Ltd.,RBMINFRA,,171000,111000,205.65,195.9,228.27,171000.0,111000.0,0.0,0.0,SM
175,231011,VishnuSurya Infra,VISHNUINFR,,272000,272000,80.45,76.65,218.82,272000.0,272000.0,0.0,0.0,ST
51,231011,Essen Speciality Films Ltd.,ESFL,,160800,144000,145.5,134.6,209.52,160800.0,144000.0,0.0,0.0,SM
111,231011,Network People Services Techno,NPST,,12400,10800,1826.9,1702.75,197.31,12400.0,10800.0,0.0,0.0,SM
188,231011,SVP Housing Ltd.,539041,539041,170000,160000,90.42,87.06,144.67,0.0,0.0,170000.0,160000.0,M 
119,231011,Phantom Digital Effects Ltd.,PHANTOMFX,,47400,33600,429.45,434.75,144.3,47400.0,33600.0,0.0,0.0,SM
12,231011,Arabian Petroleum,ARABIAN,,198000,194000,71.1,73.7,137.93,198000.0,194000.0,0.0,0.0,ST
165,231011,Ushanti Colour Chem Ltd.,UCL,,204000,202000,66.0,69.0,133.32,204000.0,202000.0,0.0,0.0,SM
231,231011,Knowledge Marine & Engineering,543273,543273,11375,8625,1483.2,1513.5,127.93,0.0,0.0,11375.0,8625.0,M 
288,231011,Macfos Ltd.,543787,543787,40800,32400,384.75,362.0,124.66,0.0,0.0,40800.0,32400.0,M 
110,231011,Nirman Agri Genetics Ltd.,NIRMAN,,93600,63600,195.0,177.3,124.02,93600.0,63600.0,0.0,0.0,SM
41,231011,Vasa Denticity Ltd.,DENTALKART,,37000,25000,471.0,461.65,117.75,37000.0,25000.0,0.0,0.0,SM
275,231011,Insolation Energy Ltd.,543620,543620,42000,27000,427.75,439.35,115.49,0.0,0.0,42000.0,27000.0,M 
196,231011,RMC Switchgears Ltd.,540358,540358,21500,14500,771.25,759.0,111.83,0.0,0.0,21500.0,14500.0,M 
26,231011,Cadsys India Ltd.,CADSYS,,50000,40000,274.5,262.65,109.8,50000.0,40000.0,0.0,0.0,SM
318,231011,Meson Valves Limited,543982,543982,58800,50400,209.95,208.85,105.81,0.0,0.0,58800.0,50400.0,M 
54,231011,Fidel Softech Ltd.,FIDEL,,96000,81000,130.0,119.95,105.3,96000.0,81000.0,0.0,0.0,SM
23,231011,BEW Engineering Ltd.,BEWLTD,,6250,6250,1638.0,1650.0,102.38,6250.0,6250.0,0.0,0.0,SM
114,231011,Oriana Power Limited,ORIANA,,56400,31200,316.55,308.1,98.76,56400.0,31200.0,0.0,0.0,SM
161,231011,Tara Chand Infralogistic Solut,TARACHAND,,102000,70000,140.7,142.35,98.49,102000.0,70000.0,0.0,0.0,SM
69,231011,Inspire Films,INSPIRE,,146000,142000,68.7,68.45,97.55,146000.0,142000.0,0.0,0.0,ST
144,231011,Shera Energy Ltd.,SHERA,,62000,58000,167.35,164.4,97.06,62000.0,58000.0,0.0,0.0,SM
321,231011,City Crops Limited,544000,544000,384000,384000,25.0,25.42,96.0,0.0,0.0,384000.0,384000.0,MT
319,231011,Technowgreen,543991,543991,67200,67200,141.1,134.4,94.82,0.0,0.0,67200.0,67200.0,MT
97,231011,Marco Cables,MARCO,,201000,201000,46.65,44.45,93.77,201000.0,201000.0,0.0,0.0,ST
75,231011,Jeena Sikho Lifecare Ltd.,JSLL,,10500,8500,1083.0,1115.0,92.06,10500.0,8500.0,0.0,0.0,SM
153,231011,Spectrum Talent Management Ltd,SPECTSTM,,77600,65600,137.2,129.0,90.0,77600.0,65600.0,0.0,0.0,SM
214,231011,Innovative Ideals And Services,541983,541983,317000,317000,28.17,27.71,89.3,0.0,0.0,317000.0,317000.0,MT
306,231011,Veefin Solutions Ltd.,543931,543931,38400,35200,239.35,238.35,84.25,0.0,0.0,38400.0,35200.0,M 
302,231011,CFF Fluid Control Ltd.,543920,543920,22400,20000,399.95,389.05,79.99,0.0,0.0,22400.0,20000.0,M 
