Ticker,Description,Market Capitalization,Last,Change %,Weekly Performance,Volume,Volume*Price,Exponential Moving Average (10),Exponential Moving Average (20),Exponential Moving Average (50),Exponential Moving Average (200),Total Revenue (FY),Sector,EBITDA (TTM),Enterprise Value/EBITDA (TTM),Enterprise Value (MRQ)
ABCAPITAL,ADITYA BIRLA CAPIT,259388915466,108.4,0.97810899,-0.91407678,3219756,349021550.40000004,107.83271196,107.80311737,110.92104647,111.80292939,188997600000,Finance,27973500000,12.9995,
SKFINDIA,SKF INDIA,170420077577,3487.1,1.14572456,4.00250529,17489,60985891.9,3380.02518544,3379.0068278,3470.77140007,3260.28656082,26707300000,Producer Manufacturing,5449400000,24.3108,
GRINFRA,G R INFRAPROJECTS LTD,145280077628,1560.9,3.79014562,8.20047137,100710,157198239,1470.28722656,1465.92132563,1551.16273754,,78441305000,Industrial Services,,,
ALOKINDS,ALOK INDUSTRIES LTD,124379276314,25.8,2.99401198,-2.27272727,19269192,497145153.6,25.24586128,25.22062711,25.75919375,24.87689816,37915600000,Process Industries,6568400000,134.289,
FINEORG,FINE ORGANIC IND,122092624254,4077.45,2.27888426,3.42033176,16961,69157629.45,4011.92417421,4005.66218854,3938.25419855,3507.72319573,11332184000,Process Industries,2532254000,33.4813,
BLUESTARCO,BLUE STAR,99742660631,1051.65,1.29551146,5.68815637,84428,88788706.2,1010.02105348,1008.02748625,1005.86442657,941.88092018,42441100000,Producer Manufacturing,3053300000,39.8306,
JSL,JINDAL STAINLESS,98106315684,197.6,1.59383033,6.12244898,771951,152537517.6,190.18758307,189.72621016,191.4464774,166.61584624,121392600000,Non-Energy Minerals,26877600000,4.69626,
QUESS,QUESS CORP LTD,91250981891,655.85,6.46051457,16.04883659,961959,630900810.15,598.03471479,595.63469307,644.80922271,734.04217329,108368950000,Commercial Services,4764790000,17.8869,
SAREGAMA,SAREGAMA INDIA LTD,84004891215,4597.4,4.99942903,3.5800383,19563,89938936.19999997,4459.82919551,4448.44362111,4495.6137881,3951.13859475,4328111000,Consumer Services,1700500000,20.2758,91375800000
WESTLIFE,WESTLIFE DEVELOPMENT LTD,74601772071,484.95,1.61341016,7.04116543,130148,63115272.6,466.78445246,465.35892606,480.09107135,505.45380348,9773220000,Finance,1751782000,125.2,
BEML,BEML LTD,68230351016.99999,1708.7,4.27167877,11.352232,262754,448967759.8,1582.70415828,1572.85843007,1623.85398483,1537.54388194,35566414000,Producer Manufacturing,,25.7472,
RTNINDIA,RATTANINDIA ENT LTD,65104898562,47.75,1.16525424,2.248394,1694283,80902013.25,46.75537065,46.6968308,47.9740836,43.29890392,1000000,Utilities,-28793000,,
TATVA,TATVA CHIN PHARM CHEM LTD,48778650753,2301.1,4.22592626,3.09587814,37534,86369487.39999998,2238.122961,2237.21599679,2308.92287362,,2999760000,Process Industries,1106320000,,
RESPONIND,RESPONSIVE INDUSTR,48017596650,186.3,3.18471338,3.73051225,208256,38798092.80000001,175.40414944,174.78174364,173.1259354,153.61636638,7557120000,Producer Manufacturing,1173594000,32.7274,
VIJAYA,VIJAYA DIAGNOSTIC CEN LTD,44120657911,438.45,1.15353559,5.37130497,64873,28443566.85,427.41993572,427.39218317,454.68167099,,3767460000,Health Services,,,
AMIORG,AMI ORGANICS LTD,33383636016.999996,967.1,4.85173741,8.16463483,559039,540646616.9,906.48929313,903.75636183,932.27837903,,3362090000,Health Technology,,,
BANARISUG,BANNARI AMMAN SUG,31305989916,2630.5,5.15690586,10.02593274,10335,27186217.5,2427.62782571,2421.94308075,2481.90417525,2272.90423472,15065491000,Consumer Non-Durables,1907817000,17.9233,
TECHNOE,TECHNO ELECTRIC &,26548500671,245.45,1.11225541,3.04366079,118334,29045080.3,241.01683821,240.84815647,243.1143526,257.66641198,8836296000,Industrial Services,2021595000,12.267,
ACE,ACTION CONSTRUCT,25483804489,223.05,4.18028958,1.22532335,561749,125298114.45,217.44539857,217.34394938,219.74417366,214.73057338,12255163000,Producer Manufacturing,1539266000,14.6929,
INOXWIND,INOX WIND LTD,25076758057,113.15,0.08845644,-1.39433551,736392,83322754.8,111.93779818,111.87707961,115.24239165,109.83134664,7107264000,Producer Manufacturing,-1225900000,,
VESUVIUS,VESUVIUS INDIA,20377263954,1032.05,2.83479474,4.22641891,19162,19776142.1,1006.22223017,1005.68929698,1035.91826351,1088.58872199,10471600000,Non-Energy Minerals,992400000,,
GENUSPOWER,GENUS POWER INFRA,16867085541,71.5,9.16030534,4.76190476,2089752,149417268,66.26458727,66.03268939,67.57649279,64.63671749,5910005000,Utilities,799395000,11.3065,
STYLAMIND,STYLAM INDUSTRIES LTD,15210884738,1038.95,15.64447907,13.68311631,276488,287257207.6,938.31425114,935.76995596,958.44841217,,4758458000,Producer Manufacturing,1064748000,12.7078,18560500000
KCP,KCP LTD,15064437097,119,1.49253731,3.03030303,283245,33706155,116.29615879,116.23827537,120.65833886,123.46356379,16935491999.999998,Producer Manufacturing,4410581000,3.47693,
SJS,SJS ENTERPRISES LTD,12019928245,407.15,3.57415416,14.23961841,142868,58168706.19999999,374.57687714,371.1438869,380.48472343,,2512340000,Producer Manufacturing,,,
AURIONPRO,AURIONPRO SOLUTION,7003070009,321.9,4.99021526,11.19170984,82814,26657826.6,303.64382207,302.42432344,302.55838752,248.81569972,3727817000,Technology Services,1049249000,4.61931,
HPAL,HP ADHESIVES LTD,6940217553,383.55,1.38778747,-0.01303441,164583,63125809.65,379.87448208,379.74511577,389.99826083,,1181625000,Non-Energy Minerals,,,
TFCILTD,TOURISM FIN CORP,5426865202,62.1,3.32778702,4.10729254,402250,24979725,60.07045074,59.96517066,61.22322252,63.22246582,2584819000,Consumer Services,,7.9445,
APOLSINHOT,APOLLO SINDOORI HO,1971493302,843.55,11.26426169,9.29644986,12847,10837086.85,786.08015747,783.75934354,794.69512895,785.86113417,1683390000,Consumer Services,91386000,28.9406,
KAKATCEM,KAKATIYA CEM SUGAR,1698587988,233.75,7.0774164,5.6019878,56756,13266715,222.86024033,222.49141619,225.46367537,227.58259135,1228007000,Non-Energy Minerals,253952000,3.97027,
