Ticker,Description,Market Capitalization,Price,Change %,Weekly Performance,Volume,Volume*Price,Exponential Moving Average (10),Exponential Moving Average (20),Exponential Moving Average (50),Exponential Moving Average (200),Total Revenue (FY),Sector,EBITDA (TTM),Enterprise Value/EBITDA (TTM),Enterprise Value (MRQ)
ABB,ABB INDIA LTD,617702295617,2899.95,-0.48727418,2.79865296,103382,299802630.9,2843.00041022,2838.05819715,2906.21060389,2743.31262982,69340000000,Producer Manufacturing,7903800000,74.61149012,
OFSS,ORACLE FIN SERVICE,263888279473.99997,3083.6001,0.95434857,3.02362089,84766,261384446.0766,3035.4787668,3032.02689374,3039.44088531,3205.51830756,52214550000,Technology Services,23511030000,9.36623872,214818000000
KPRMILL,KPR MILL LTD,176085488055,524.04999,1.88587739,-0.55977419,283945,148801374.41055,519.83707241,519.63170825,529.02855274,547.60608832,47144900000,Consumer Non-Durables,13266900000,13.72362708,189121000000
CGCL,CAPRI GLOBAL CAPIT,131974508227.99998,759.40002,0.99747304,0.52286848,307871,233797243.55742,754.6756676,754.54691996,750.38721384,701.39603775,9807380000,Finance,4057580000,46.55092154,187587000000
CAMS,COMPUTER AGE MNGT SER LTD,109005853493,2273.8501,1.7041306,2.3910886,129596,294681877.5596,2230.93053331,2228.42000206,2274.07233353,2388.36952191,9096675000,Finance,4294270000.000001,24.35308457,119958000000
ECLERX,ECLERX SERVICES,71692576236,1403.85,-0.35843566,10.53937008,25258,35458443.3,1347.61977625,1342.01066062,1360.23698696,1400.91484746,21603450000,Commercial Services,7004860000,9.28605372,64134900000
METROPOLIS,METROPOLIS HEALTHC,70738928476,1379.25,-0.2242558,0.82973902,141380,194998365,1361.91432844,1361.34272207,1405.19427975,1657.06965478,12283360000,Health Services,2976978000,24.33306577,81491800000
SOBHA,SOBHA LTD,56281533096,594,0.02526227,4.66960352,155860,92580840,586.35108648,586.3250186,601.62887955,638.99097668,27308600000,Finance,7376000000,10.15625449,80228600000
RALLIS,RALLIS INDIA LTD,46964236290,257.64999,6.68736646,6.82006219,1558045,401430278.66955,244.37312082,243.30570501,239.75834691,234.0739946,26021989000,Process Industries,2948300000,16.32073951,42089900000
SUPRAJIT,SUPRAJIT ENG LTD,46492608972,334.79999,-0.16401371,0.54053754,76699,25678824.43301,334.03913048,334.00290062,334.39032641,336.68759481,18343660000,Producer Manufacturing,2632480000,18.49348864,49767000000
MASFIN,MAS FINANCIAL SERV,45221908768,844.34998,2.20298488,2.69398805,23384,19744279.93232,819.46483766,818.82594525,817.06561353,736.50865224,6882501000,Finance,2773258000,33.33029771,87459300000
GREAVESCOT,GREAVES COTTON LTD,33321886251.000004,140.75,-1.98468649,3.60691177,1072737,150987732.75,138.29119511,138.06798729,141.98128845,152.71073924,17094200000,Producer Manufacturing,1355900000,18.25944852,26301700000
GENUSPOWER,GENUS POWER INFRA,21831215149,90.699997,6.95753985,5.77259125,1235932,112099028.692204,86.89304978,86.82274935,86.84919076,82.02046268,6790502000,Electronic Technology,711620000,29.19268732,19609600000
SOMANYCERA,SOMANY CERAMICS LD,20941908146,499.95001,1.30699291,-0.99999802,21015,10506449.46015,493.04022634,492.75538841,508.07581198,575.76866283,20861445000,Producer Manufacturing,2001800000,13.18733547,28711100000
JISLJALEQS,JAIN IRRIGATION,20704204883,34.150002,1.94030448,5.23883189,2455506,83855534.811012,33.19516127,33.13425449,33.8698636,36.13103845,70466710000,Producer Manufacturing,6970500000,12.78476506,92179900000
HIL,HIL LTD,20031944139,2801.75,5.36459308,4.12524389,131226,367662445.5,2677.46131473,2671.55296067,2725.08783506,3196.00948904,35163768000,Non-Energy Minerals,3009300000,7.60238067,24230100000
WONDERLA,WONDERLA HOLIDAYS,19877720906,357.5,1.34656272,-0.34843206,62545,22359837.5,353.20803265,353.09591543,355.14120282,315.24587894,1275542000,Consumer Services,1445870000,12.35443152,19443700000
GATI,GATI LTD,19656153769,153.25,1.45647137,8.9971473,885399,135687396.75,149.61169742,149.46162859,154.59487617,157.98911819,14731100000,Transportation,573300000,40.65350387,24083800000
ORISSAMINE,ORISSA MINERALS DE,17232000000,3010.3999,4.99990931,4.64768311,8897,26783527.9103,2908.04141736,2902.39172411,2869.92873334,2812.53416232,826787000,Non-Energy Minerals,90770000,211.05833425,19195900000
MTNL,MAHANAGAR TELEP NI,15655500240,25.9,4.22535211,2.7777737,13182414,341424522.59999996,25.29421194,25.24988331,24.52141205,23.31376352,11490400000,Communications,-3726500000,,290120000000
RPGLIFE,RPG LIFE SCIENCES,14431943925,870.20001,-0.3264395,3.8734718,13053,11358720.73053,858.76233079,857.86130802,855.02612459,741.37896691,4383100000,Health Technology,951800000,14.31765489,12555800000
XPROINDIA,XPRO INDIA LTD.,12521941618,729.09998,3.11129976,7.69571344,72528,52880163.34943999,685.17309794,683.12544796,697.27520331,704.83979395,4711200000,Process Industries,772995000,16.41764645,12554300000
MANAKSIA,MANAKSIA LTD,4960927384,79.300003,5.03311656,2.98701688,552592,43820547.257776,76.39808432,76.27611828,77.16980491,77.03158692,11740267000,Non-Energy Minerals,2268226000,-1.20457557,-2653610000
INDTERRAIN,INDIAN TERRAIN FAS,3226649053,72.900002,0.27511005,0.48242451,273182,19914968.346364,72.50304279,72.46813106,72.54274078,63.90924579,3363000000,Consumer Non-Durables,534799999.99999994,7.17454946,3494230000
