Ticker,Description,Market Capitalization,Price,Change %,Weekly Performance,Volume,Volume*Price,Exponential Moving Average (10),Exponential Moving Average (20),Exponential Moving Average (50),Exponential Moving Average (200),Total Revenue (FY),Sector,EBITDA (TTM),Enterprise Value/EBITDA (TTM),Enterprise Value (MRQ)
AETHER,AETHER INDUSTRIES LTD,120189950478,829.4,-8.40925303,-5.29801216,1018918,845090589.1999999,880.08892697,887.41493811,916.66095212,946.44794489,6510740000,Process Industries,1976290000,59.89521805,126911000000
TEXRAIL,TEXMACO RAIL & ENG,49128755350,141.55,-6.35130045,-5.63333333,17714117,2507433261.3500004,145.79839655,140.78068887,133.45360252,100.26372985,22432774000,Producer Manufacturing,2086632999.9999995,28.08827348,50921900000
ORIANA,ORIANA POWER LTD,7415990000,362.05,-6.35023522,6.01756955,113400,41056470,356.34981739,346.38759651,339.50272725,,1361816000,Industrial Services,,,
SHIVATEX,SHIVA TEXYARN LTD,1950240168,142.45,-5.91148652,-10.06943877,58453,8326629.85,144.05326241,139.81157808,138.18971003,136.88582769,4102774000.000001,Process Industries,35658000,84.43567132,3010810000
CHEMBOND,CHEMBOND CHEMICALS LTD,7153144696,503.15,-5.42293233,-0.73978893,54222,27281799.3,493.83220418,464.16121778,425.34839685,362.50036423,4400534000,Process Industries,478509000,13.70199661,4490200000
BRNL,BHARAT ROAD NETWOR,3624121215,41.05,-5.4147509,0.85994838,211315,8674480.75,41.51181897,41.3913924,40.46876776,36.15848049,3263393000,Industrial Services,-397085000,,15610600000
NDL,NANDAN DENIM LTD,4468562302,29.45,-5.30546624,22.19917012,576719,16984374.55,27.59541297,25.94526843,24.27913447,23.23029571,20214166000,Process Industries,703636000,11.32056532,7086260000
GREENPOWER,ORIENT GREEN POWER,22527229584,21.85,-5,3.06603287,29156343,637066094.5500001,21.33170435,19.53577895,16.76321445,12.64717991,2583100000,Utilities,1890400000,15.75006855,17822600000
URBAN,URBAN ENVIRO WASTE,1958890000,429.8,-4.99557703,-3.59986759,2400,1031520,414.02733571,359.40258034,266.64505128,,,Transportation,,,
APOLLO,APOLLO MICRO SYSTE,32796182111,118.95,-4.99201278,-9.92048466,1673606,199075433.7,128.62387347,119.65414346,96.66041508,60.38132936,2975260000,Electronic Technology,717825000,47.79043376,18422800000
