Ticker,Description,Market Capitalization,Last,Change %,Weekly Performance,Volume,Volume*Price,Exponential Moving Average (10),Exponential Moving Average (20),Exponential Moving Average (50),Exponential Moving Average (200),Total Revenue (FY),Sector,EBITDA (TTM),Enterprise Value/EBITDA (TTM),Enterprise Value (MRQ)
POWERGRID,POWER GRID CORP,1661901707031,245.15,2.83137584,5.87346146,40589105,9950419090.75,234.99620643,231.08619142,222.93387306,201.77213137,393109000000,Utilities,365219000000,7.10874,
TIMETECHNO,TIME TECHNOPLAST,22852129149,106.15,5.04700643,12.68577495,7787813,826676349.95,98.56102639,93.31581123,84.86669,76.91273912,30049205000,Process Industries,4961871000,5.6892,
GALLISPAT,GALLANTT ISPAT LTD,19172293168,73.05,7.66396463,15.86042823,705018,51501564.9,65.29542088,61.33051569,56.68855629,52.00199304,10971435000,Non-Energy Minerals,1595391000,8.23572,
SHANTIGEAR,SHANTHI GEARS,16938861782,234.45,5.87039964,3.67013044,1477268,346345482.59999996,219.18924645,210.21386283,196.79780407,171.81128947,2151500000,Producer Manufacturing,529500000,32.9733,
VADILALIND,VADILAL INDUSTRIES,12120478289,1797.6,6.43929301,0.68895984,72460,130254096,1682.83343025,1599.27949402,1441.09317752,1162.3280095,4633133000,Consumer Non-Durables,869153000,18.9274,
MBAPL,MADHYA BHARAT AGRO P. LTD,10504280091,503.45,4.99478624,8.37369497,31512,15864716.4,466.25725557,444.9171892,390.07481635,256.10191033,1311025000,Process Industries,795013000,,
MMP,MMP INDUSTRIES LTD,5307875843,208.45,-0.2392917,10.4663487,378868,78975034.6,201.13644052,198.87136551,190.82238691,162.1831377,2307336000,Non-Energy Minerals,365098000,9.02288,
SAKUMA,SAKUMA EXPORTS LTD,4268981859.000001,18.2,-0.2739726,9.63855422,3829781,69702014.2,16.91941599,16.18667293,14.69467374,12.35725015,13284098000,Distribution Services,222753000,5.64965,
DENORA,DE NORA INDIA,4227734526,721.9,-4.41575637,10.64449383,75285,54348241.5,656.34097385,593.51658126,514.28673954,422.35368413,741665000,Process Industries,228181000,,
GSS,GSS INFOTECH LTD,3380594140,195,-1.58970477,14.90866235,69830,13616850,175.53181572,159.60975062,137.79015246,107.38309375,1149261904,Technology Services,55359070,,
KANANIIND,KANANI INDUSTRIES,3017486942,31.95,4.75409836,19.66292135,433318,13844510.1,28.83720507,27.47296316,24.37398333,16.35691787,3115760000,Consumer Durables,12245000,60.6489,
