Ticker,Description,Market Capitalization,Price,Change %,Weekly Performance,Volume,Volume*Price,Exponential Moving Average (10),Exponential Moving Average (20),Exponential Moving Average (50),Exponential Moving Average (200),Total Revenue (FY),Sector,EBITDA (TTM),Enterprise Value/EBITDA (TTM),Enterprise Value (MRQ)
IDFCFIRSTB,IDFC FIRST BANK,330041944448,55.1,3.76648225,7.6171854,64723442,3566261654.2000003,52.4023313,51.13948395,47.83090908,43.68508957,203065723000,Finance,,,
ZFCVINDIA,ZF COM VE CTR SYS IND LTD,194669062748,10756.55,4.82383266,8.70637559,14017,150774561.35,10146.17409199,10005.80204438,9598.73970212,8484.76524287,25396824000,Producer Manufacturing,3091508000,59.52624536,
IDFC,IDFC LTD,115958911869,76.35,5.02063707,13.27892839,30427628,2323149397.7999997,70.78843885,69.00166867,65.41264619,58.81980729,229900000,Finance,2037300000,55.50420256,
KRBL,KRBL LTD,91484280314,393.6,1.18251928,2.5,2113952,832051507.2,378.38129107,365.83624295,329.82057155,270.40789387,42012400000,Process Industries,7004600000,12.68124951,
CHALET,CHALET HOTELS LTD,79170347112,392.75,1.61707633,5.18211315,313098,122969239.5,373.0654706,360.50450948,343.56928434,299.93693992,5078070000,Consumer Services,2085679999.9999995,49.93108584,
RAYMOND,RAYMOND LTD,73117939804,1258.2,14.4494474,15.43119266,1705819,2146261465.8,1123.77759645,1090.02167244,1035.27443072,871.0955935,61526222000,Process Industries,9369900000,9.33575468,
KALPATPOWR,KALPATARU POWER TR,66376280449,434,-3.10336912,0.97720105,859094,372846796,428.34319701,422.88319086,407.09208919,386.78121002,147635100000,Industrial Services,11580000000,8.13180315,
GRSE,GARDEN REACH SHIPB,49285998840,464.45,7.82356355,28.21256039,7143500,3317798575,401.78639768,373.79839726,331.64536179,273.26436352,17575137000,Producer Manufacturing,1730114000,12.63146234,
DAAWAT,L.T. FOODS LTD,39180986481,119.35,-2.49183007,0.80236486,4902752,585143451.1999999,117.1046661,112.89197721,103.59186371,86.96280815,53889086000,Process Industries,6240300000,8.57311707,
KIRLOSENG,KIRLOSKAR OIL ENGI,37445347362,283.95,9.71793314,20.06342495,1862719,528919060.0499999,252.90385129,244.13941321,220.99816117,183.78019723,40056700000,Producer Manufacturing,5016700000,9.72799796,
UJJIVAN,UJJIVAN FIN SERV,30005818466,247.6,0.36481557,18.21437097,719597,178172217.2,232.90316033,224.34608669,205.58741077,170.9972032,30941774000,Finance,8606754000,11.01215888,
TTKHLTCARE,TTK HEALTHCARE,13619521066,977.2,2.01482196,4.35153928,15385,15034222,947.77474825,929.34667539,892.12080536,800.65658275,5992399000,Health Technology,413384000,26.8674406,
LIBERTSHOE,LIBERTY SHOES,6230676231,386.95,5.69516237,14.82195846,1404418,543439545.1,328.19161011,287.19904031,229.97516572,177.51148074,4869534000,Consumer Non-Durables,547377000,13.60504959,
SAKAR,SAKAR HEALTHCARE L,5244690836,276.35,-1.89918701,29.74178404,78485,21689329.75,245.15014124,233.54347033,216.43822974,176.91042017,1282267000,Health Technology,293257000,17.88428183,
KERNEX,KERNEX MICROSYSTEM,4747081306,343.15,0.39497075,8.60895368,50290,17257013.5,315.66620193,300.38320304,271.85223218,197.95019244,66515000,Electronic Technology,-93738950,,
APOLLO,APOLLO MICRO SYSTE,3674169813,198.9,12.34114657,7.86334641,1777953,353634851.7,182.91255347,174.89635433,160.10881255,138.99415327,2431911000,Electronic Technology,483055020,9.68186567,
OSWALSEEDS,SHREEOSWAL SEEDS A,2692270000,180,1.92524904,12.5,120000,21600000,165.28033309,149.74373614,124.67732829,85.21812951,2405169000,Process Industries,104754000,29.50993757,
DEVIT,DEV INFO TECHNOLOGY LTD,2686827507,251.2,3.22580221,13.15315315,205412,51599494.4,227.46642087,221.65776587,209.97866157,171.9178218,998232000,Technology Services,48158000,55.58614367,
OMAXAUTO,OMAX AUTOS LTD,1714265241,84.55,5.35825545,20.09942841,1547618,130851101.9,73.28434823,69.7281126,63.3118051,54.77452001,2222020000,Producer Manufacturing,-199529000,,
AVG,AVG LOGISTICS LTD,1652660000,133.5,-4.88066228,16.08695652,70800,9451800,122.65268536,110.72098387,91.82063545,72.45821783,,Transportation,,,
