Ticker,Description,Market Capitalization,Last,Change %,Weekly Performance,Volume,Volume*Price,Exponential Moving Average (10),Exponential Moving Average (20),Exponential Moving Average (50),Total Revenue (FY),Sector,EBITDA (TTM),Enterprise Value/EBITDA (TTM),Enterprise Value (MRQ),Date
HATSUN,HATSUN AGRO PRODUC,2.34221E+11,1134.4,4.55299539,10.99804305,158256,179525606.4,1116.17029,1144.198685,1207.175834,55695551000,Consumer Non-Durables,7379897000,21.9134,,7-Feb-22
LAXMIMACH,LAKSHMI MACHINE,1.15748E+11,11171.2,3.10290725,2.37208301,25780,287993536,10891.37918,10555.47644,9869.512995,17184231000,Producer Manufacturing,2004044000,84.3573,,7-Feb-22
BLUESTARCO,BLUE STAR,97378155843,1053.2,4.18439015,21.82764604,378736,398884755.2,966.7856418,968.2612918,974.8270471,42441100000,Producer Manufacturing,3053300000,39.8306,,7-Feb-22
RATNAMANI,RATNAMANI MET &TBS,95264372625,2122.6,4.01332876,11.51623411,103515,219720939,1988.527598,1961.363551,1978.270594,22981315000,Non-Energy Minerals,4348502000,20.5114,98908400000,7-Feb-22
VGUARD,V-GUARD INDUSTRIES,92721542548,222.65,3.67869616,3.24600046,902150,200863697.5,217.9931026,219.5519822,226.2601922,27212399000,Producer Manufacturing,3375786000,33.4428,,7-Feb-22
JINDALPOLY,JINDAL POLY FILMS,54905968293,1310.5,4.3018027,25.18507905,320912,420555176,1173.581786,1130.436724,1089.618685,40638240000,Process Industries,11932700000,3.15495,49301600000,7-Feb-22
GOCOLORS,GO FASHION INDIA LTD,54835320402,1054.2,3.79559888,10.55529338,315136,332216371.2,1016.124987,1028.818306,,2506680000,Consumer Non-Durables,,,,7-Feb-22
FDC,FDC LTD,49723005193,306,3.99320306,5.04634398,957618,293031108,294.3627551,294.1286708,297.8070429,13244697000,Health Technology,3120052000,12.9329,52858600000,7-Feb-22
RELIGARE,RELIGARE ENTERPRIS,41867733124,136.9,4.14606314,13.42170671,1025669,140414086.1,131.7490361,131.8547915,138.1174058,25081603000,Finance,-5456310000,10.4436,84144200000,7-Feb-22
HGINFRA,H.G. INFRA ENGINEE,41087128394,660.5,4.83294977,18.24203366,361782,238957011,599.9099591,595.0600091,604.9941117,25677900000,Industrial Services,6979710000,5.45977,,7-Feb-22
SPICEJET,SPICEJET LTD,36293757545,62.25,3.14830157,2.30073952,5051679,314467017.8,61.5919832,62.5918838,65.59402013,51426500000,Transportation,-5161690000,,1.41962E+11,7-Feb-22
ORIENTCEM,ORIENT CEMENT LTD,35186209385,177.55,3.28679465,5.74746873,1901078,337536398.9,171.4162687,169.8281801,166.7317834,23240870000,Non-Energy Minerals,6594203000,4.73085,38436600000,7-Feb-22
INOXWIND,INOX WIND LTD,28560873322,135.55,5.24068323,9.53535354,1920800,260364440,127.4972496,125.7663493,124.1696926,7107264000,Producer Manufacturing,-934800000,,37429800000,7-Feb-22
EKC,EVEREST KANTO CYLI,28197790263,262.9,4.90822027,11.46915412,691350,181755915,249.7228393,244.7878178,218.6754774,9491299000,Producer Manufacturing,2887200000,6.49422,13386400000,7-Feb-22
SEAMECLTD,SEAMEC LTD,26530986704,1084.65,4.35849329,1.78294937,19337,20973877.05,1065.071768,1075.668199,1083.537576,2567950000,Industrial Services,1008900000,15.6151,31459200000,7-Feb-22
BLS,BLS INTERNATIONAL,25402476431,257.85,3.95081637,6.88082902,549521,141693989.9,242.1985012,230.9814972,218.7233001,4783692000,Technology Services,819884000,15.9531,,7-Feb-22
OPTIEMUS,OPTIEMUS INFRACOM,24881826518,311.25,8.61978712,6.59246575,577632,179787960,295.1646024,298.4427918,307.0012295,1815000000,Distribution Services,-706200000,,26461000000,7-Feb-22
DBREALTY,DB REALTY LTD,24544810648,105.15,4.99251123,27.45454545,4748276,499281221.4,89.26045511,79.61496602,63.96947353,468336000,Finance,-533778000,,35276500000,7-Feb-22
GULFOILLUB,GULF OIL LUBRICANT,23589877599,482.15,3.15575524,6.31753032,177951,85799074.65,466.0833991,464.6306322,481.6321363,16513295000,Energy Minerals,2808367000,12.526,27487800000,7-Feb-22
NAHARSPING,NAHAR SPINNING,23509167403,676.8,3.34402199,10.99630996,92111,62340724.8,628.9497301,608.5767336,566.2528944,20871705000,Process Industries,7482872000,8.34721,,7-Feb-22
SAFARI,SAFARI IND (INDIA) LTD,21425631977,1007.8,5.29175155,12.98839621,42156,42484816.8,947.8086906,930.8286252,906.180054,3279755000,Consumer Durables,438317000,,21489100000,7-Feb-22
BUTTERFLY,BUTTERFLY GANDHIMA,20654458569,1268.85,9.59619952,14.68275488,385839,489571815.2,1170.074255,1177.662708,1123.856317,8619475000,Consumer Durables,1038180000,12.3662,16488600000,7-Feb-22
NBVENTURES,NAVA BHARAT VENTUR,20542326431,136.3,3.72907154,3.21847785,1574711,214633109.3,129.0823572,124.6271217,119.4591987,25433360000,Utilities,11956765000,4.23308,,7-Feb-22
NOVARTIND,NOVARTIS INDIA,18555134551,776.5,3.40924224,5.08153461,26338,20451457,753.3800346,758.3380143,771.3998487,3813500000,Health Technology,273200000,32.2034,15648600000,7-Feb-22
CAMLINFINE,CAMLIN FINE SCIENC,18340195598,150.65,4.90947075,-0.59386341,873250,131555112.5,149.4233243,149.5460713,149.8244109,11808762000,Process Industries,1733363000,12.3406,28512800000,7-Feb-22
