Ticker,Description,Market Capitalization,Last,Change %,Weekly Performance,Volume,Volume*Price,Exponential Moving Average (10),Exponential Moving Average (20),Exponential Moving Average (50),Total Revenue (FY),Sector,EBITDA (TTM),Enterprise Value/EBITDA (TTM),Enterprise Value (MRQ),
KIOCL,KIOCL LTD,1.27719E+11,248.55,18.30080914,9.7835689,734447,182546801.9,232.4219984,238.3483892,246.4412561,23623545000,Non-Energy Minerals,4014400000,20.9964,,22-Feb-22
APOLLOPIPE,APOLLO PIPES LTD,17888436069,495.7,9.37775816,-0.8104052,315895,156589151.5,492.5313723,509.2833832,533.0226449,5180683000,Finance,920616000,17.0997,,22-Feb-22
GRPLTD,GRP LTD,1722599524,1405.5,8.78482972,20.35451276,36971,51962740.5,1305.686137,1298.618556,1246.461082,2780874000,Producer Manufacturing,237317000,13.4724,,22-Feb-22
NXTDIGITAL,NXTDIGITAL LTD,13899644084,440.65,6.56590085,9.98377636,80558,35497882.7,414.7703167,409.8930501,405.7319559,9632451000,Consumer Services,1700248000,11.2701,,22-Feb-22
RSWM,RSWM LTD,9262545983,415.95,5.92055004,-7.72046589,198220,82449609,441.1999975,460.165075,465.8649422,23226093000,Process Industries,4124300000,7.8079,,22-Feb-22
BBOX,BLACK BOX LTD,26757242820,862.95,5.62423501,9.58791034,18982,16380516.9,834.4201716,850.2390709,875.0175221,46410200000,Distribution Services,2730900000,11.3542,,22-Feb-22
SUPPETRO,SUPREME PETROCHEM,60450594563,677.4,5.13735837,0.27385094,112163,75979216.2,669.8398611,680.0062672,691.0071669,31808532000,Process Industries,9139672000,4.96474,,22-Feb-22
GENESYS,GENESYS INTL,13929136505,462.3,4.99659323,26.97061247,203536,94094692.8,405.6579637,389.961773,360.9954221,795588000,Technology Services,244277000,,,22-Feb-22
CREST,CREST VENTURES,5227646284,193.1,4.97417777,8.57464155,87636,16922511.6,175.7638925,166.7311322,155.7634074,544872438,Finance,106746000,262.724,,22-Feb-22
SRPL,SHREE RAM PROTEINS LTD.,2195550008,107.55,4.92682927,24.47916667,155851,16761775.05,89.98957726,77.93559138,61.45841593,1525585000,Distribution Services,140168000,17.916,,22-Feb-22
HATSUN,HATSUN AGRO PRODUC,2.30826E+11,1117.95,4.91764816,0.07608988,241769,270285653.6,1113.23722,1126.315564,1176.308672,55695551000,Consumer Non-Durables,7379897000,21.9134,,22-Feb-22
VIKASECO,VIKAS ECOTECH LIMI,4773420520,5.35,4.90196078,-5.30973451,13447403,71943606.05,5.35460472,5.3216776,4.57672267,1161777304,Process Industries,114030000,45.7428,,22-Feb-22
NDL,NANDAN DENIM LTD,6515451906,141.85,4.80236424,5.11300482,205223,29110882.55,141.6688529,143.0365986,134.4722572,10882670000,Process Industries,1785203000,8.15283,,22-Feb-22
MMFL,M.M. FORGINGS,18484611219,808.05,4.62903017,5.80725416,101027,81634867.35,758.9980263,737.7871452,737.9509492,7825853000,Producer Manufacturing,2111001000,12.7424,,22-Feb-22
BALAJITELE,BALAJI TELEFILMS,7559500372,78.15,4.6184739,3.16831683,2429371,189855343.7,77.03637302,73.85365151,68.78242852,2937044000,Consumer Services,-1315762000,,,22-Feb-22
SUPREMEIND,SUPREME INDUSTRIES,2.47918E+11,2040.5,4.54720123,3.72610817,159109,324661914.5,1994.621998,2031.895514,2120.889939,63130300000,Producer Manufacturing,13604200000,20.0549,,22-Feb-22
CSBBANK,CSB BANK LTD,38288320956,229.7,4.21960073,-3.91131562,679266,156027400.2,237.2461284,242.3201259,250.8164695,21985097000,Finance,,,,22-Feb-22
JINDWORLD,JINDAL WORLDWIDE,56797403584,294.8,4.00423355,-8.70238464,549510,161995548,306.3806315,309.5447647,279.4424424,16961735000,Process Industries,1738526000,8.94629,,22-Feb-22
ADANITRANS,ADANI TRANSMISS.IN,2.08299E+12,1969.1,3.86096313,2.18739459,156505,308173995.5,1961.653871,1964.728394,1923.083152,98739300000,Utilities,40882900000,32.5342,,22-Feb-22
NAM_INDIA,NIPPON L I A M LTD,1.89221E+11,315.6,3.83286725,-3.16047867,1042912,329143027.2,320.5692078,328.9419652,345.7524396,14193400000,Finance,9995900000,22.3922,,22-Feb-22
RAJESHEXPO,RAJESH EXPORTS,2.32975E+11,816.25,3.46685258,-0.53009993,312857,255369526.3,820.6294408,825.7587227,805.4873904,2.58306E+12,Consumer Durables,12746370000,14.3512,,22-Feb-22
MINDAIND,MINDA INDUSTRIES,2.67812E+11,967.05,3.38357922,-4.63017751,536285,518614409.3,992.311167,1025.793539,1038.387275,63737400000,Producer Manufacturing,9114800000,22.2777,,22-Feb-22
VIPIND,VIP INDUSTRIES,88720272625,648,3.2916235,4.51612903,856122,554767056,640.573699,629.9233723,601.7338691,6183900000,Consumer Durables,1150500000,,,22-Feb-22
RESPONIND,RESPONSIVE INDUSTR,49405546050,191.25,3.26673866,-3.79778672,255130,48793612.5,194.8456538,193.553515,176.0815141,7557120000,Producer Manufacturing,1173594000,32.7274,,22-Feb-22
BAJAJHCARE,BAJAJ HEALTHCARE LTD,9945083650,373.9,3.13060268,-0.637789,77666,29039317.4,385.2407873,397.4765559,397.9722571,6569838000,Health Technology,1279145000,5.79997,,22-Feb-22
MAHINDCIE,MAHINDRA CIE AUTO,73560058016,200.05,3.1185567,-1.57441574,248274,49667213.7,202.2585568,207.028437,218.720289,60501000000,Producer Manufacturing,10626730000,15.614,,22-Feb-22
