Ticker,Description,Market Capitalization,Last,Change %,Weekly Performance,Volume,Volume*Price,Exponential Moving Average (10),Exponential Moving Average (20),Exponential Moving Average (50),Exponential Moving Average (200),Total Revenue (FY),Sector,EBITDA (TTM),Enterprise Value/EBITDA (TTM),Enterprise Value (MRQ),
MAANALU,MAAN ALUMINIUM LTD,1596855523,138.35,16.94843618,20.35667682,361472,50009651.2,120.8630784,121.4316001,121.8069854,120.5633499,4028760569,Producer Manufacturing,301800000,6.65265,,28-Feb-22
FEL,FUTURE ENTERPRISES,4491802178,9.6,16.36363636,11.62790698,5667911,54411945.6,8.77376105,9.0135887,9.31809779,9.73783418,14221400000,Process Industries,2477900000,41.807,,28-Feb-22
MANAKSTEEL,MANAKSIA STEELS LTD,2414929642,41.65,13.33333333,10.03963012,497298,20712461.7,38.57588273,39.85894935,39.71644989,33.63287709,5041885000,Non-Energy Minerals,456233000,4.88463,2184590000,28-Feb-22
VADILALIND,VADILAL INDUSTRIES,8768792823,1371.2,12.3842308,20.88512739,362655,497272536,1171.797483,1099.509456,1023.863889,983.7535148,4633133000,Consumer Non-Durables,869153000,18.9274,,28-Feb-22
BIL,BHARATIYA INTL LTD,3057275302,273.85,10.24557166,3.6133182,38605,10571979.25,262.9632544,271.8812756,277.2316134,242.136298,5334850000,Consumer Non-Durables,330755000,26.941,,28-Feb-22
FINOPB,FINO PAYMENTS BANK LTD,21448486357,283.6,10.13592233,-2.76015772,357485,101382746,292.6898205,321.591456,363.991644,,7916640000,Finance,,,,28-Feb-22
KSB,KSB LTD,34705158695,1097.1,9.81981982,3.19334054,352028,386209918.8,1058.704374,1099.245256,1163.054019,1122.639536,12010040000,Producer Manufacturing,2283000000,11.6587,,28-Feb-22
MBAPL,MADHYA BHARAT AGRO P. LTD,5800903524,290.25,9.61102719,18.17996743,86438,25088629.5,257.0861716,243.0135344,216.6976006,169.2740181,1311025000,Process Industries,795013000,,,28-Feb-22
FSC,FUTURE SUPPLY CHAI,2685676485,67.65,9.46601942,5.95144871,687151,46485765.15,64.10126069,65.2374458,67.56707454,78.3856787,4664146000,Transportation,1219292000,19.8989,,28-Feb-22
NATCOPHARM,NATCO PHARMA LTD,1.45469E+11,869.5,9.26112088,0.30570456,374884,325961638,846.5312912,866.6650486,880.3596442,899.5143681,16931000000,Health Technology,3583000000,53.8955,,28-Feb-22
SHANKARA,SHANKARA BUILDING,15337610807,737.75,9.23965351,5.65699964,692681,511025407.8,675.2875246,640.2810252,590.0767289,531.8955888,20383670000,Retail Trade,809017000,14.2998,,28-Feb-22
ORIENTBELL,ORIENT BELL LTD,8384111494,631.8,9.04383845,33.12262958,990284,625661431.2,533.1647642,501.5290076,446.7835308,356.9224581,5004917000,Producer Manufacturing,486600000,8.70784,,28-Feb-22
RAJMET,RAJNANDINI METAL LTD,4755460000,281.05,8.93410853,15.34988713,71046,19967478.3,248.6262807,233.457911,206.4557926,159.308123,6309174000,Distribution Services,152885000,,,28-Feb-22
PAISALO,PAISALO DIGITAL LTD,25779208885,662.9,8.7523583,-1.58117437,87550,58036895,656.8110141,682.6049624,730.5984643,748.7217855,3460219000,Finance,1674089000,18.7141,,28-Feb-22
DSSL,DYNACONS SYS SOLUT,2220653881,213.7,8.22993163,14.76906552,143008,30560809.6,199.1985108,200.9504626,191.3620786,151.0222327,4359368000,Technology Services,246417000,5.75719,,28-Feb-22
GPIL,GODAWARI POWER,41536486385,319.4,8.16119201,1.97956577,664082,212107790.8,306.7378735,305.7794499,297.122444,277.8384866,40719185000,Non-Energy Minerals,19919300000,2.78675,,28-Feb-22
WATERBASE,WATERBASE,3635200006,94.9,8.08656036,2.53916802,132735,12596551.5,93.17717214,96.53812296,100.9216383,108.7923983,2061630000,Process Industries,106817000,24.1852,,28-Feb-22
