Ticker,Description,Market Capitalization,Last,Change %,Weekly Performance,Volume,Volume*Price,Exponential Moving Average (10),Exponential Moving Average (20),Exponential Moving Average (50),Exponential Moving Average (200),Total Revenue (FY),Sector,EBITDA (TTM),Enterprise Value/EBITDA (TTM),Enterprise Value (MRQ),,,Ticker,Description,Market Capitalization,Last,Change %,Weekly Performance,Volume,Volume*Price,Exponential Moving Average (10),Exponential Moving Average (20),Exponential Moving Average (50),Exponential Moving Average (200),Total Revenue (FY),Sector,EBITDA (TTM),Enterprise Value/EBITDA (TTM),Enterprise Value (MRQ)
NAGAFERT,NAGARJUNA FERTILIZ,6686366910,12.1,10,8.03571429,1792014,21683369.4,11.63382165,12.02113468,12.23200698,11.06094355,4571834000,Process Industries,-2530361000,,,7-Mar-22,,Ticker,Description,Market Capitalization,Last,Change %,Weekly Performance,Volume,Volume*Price,Exponential Moving Average (10),Exponential Moving Average (20),Exponential Moving Average (50),Total Revenue (FY),Sector,EBITDA (TTM),Enterprise Value/EBITDA (TTM),Enterprise Value (MRQ),Date
ROML,RAJ OIL MILLS LTD,1099419927,79.9,9.97935306,29.28802589,173330,13849067,68.66063843,68.82417354,71.89913477,77.02458068,1034996800,Process Industries,35190000,28.1556,,7-Mar-22,,,,,,,,,,,,,,,,,,
FELDVR,FUTURE ENTERPRISES,5678272676,22.15,9.92555831,73.7254902,1770042,39206430.3,16.18712248,14.74532264,13.78767052,13.08802866,14221400000,Process Industries,2477900000,42.4118,,7-Mar-22,,,,,,,,,,,,,,,,,,
KSB,KSB LTD,36816253053,1146.8,8.82520402,4.53012487,220806,253220320.8,1078.168185,1096.82043,1152.370479,1121.371823,14973000000,Producer Manufacturing,2094000000,18.5236,38788500000,7-Mar-22,,,,,,,,,,,,,,,,,,
ICEMAKE,ICE MAKE REFRIGERAT LTD,1167385579,80.75,8.60793544,12.85814116,145693,11764709.75,75.25250124,75.47285413,74.6656557,73.37104932,1345992000,Producer Manufacturing,108727000,10.6539,,7-Mar-22,,,,,,,,,,,,,,,,,,
SFL,SHEELA FOAM LTD,1.65E+11,3583.6,6.28151136,4.66885725,37509,134417252.4,3385.428258,3347.725173,3292.677213,2804.715497,24353575000,Process Industries,3272100000,26.7681,,7-Mar-22,,,,,,,,,,,,,,,,,,
PNBHOUSING,PNB HOUSING,67923322372,425.9,5.70861256,4.84982767,1251038,532817084.2,411.0147761,418.216029,447.6419378,505.4179211,76287900000,Finance,18834700000,7.29248,,7-Mar-22,,,,,,,,,,,,,,,,,,
ORIENTBELL,ORIENT BELL LTD,7749716127,564.65,5.40414411,-10.62836341,211309,119315626.9,551.6270554,523.6984512,465.0212136,365.3103994,5004917000,Producer Manufacturing,486600000,8.70784,,7-Mar-22,,,,,,,,,,,,,,,,,,
GENESYS,GENESYS INTL,16794753164,566.5,4.99490316,14.76904376,144020,81587330,503.1470049,462.2181818,403.7422287,273.0220587,795588000,Technology Services,244277000,,,7-Mar-22,,,,,,,,,,,,,,,,,,
ASAL,AUTOMOTIVE STAMPIN,4794220982,311.75,4.98400404,21.49259548,53688,16737234,297.3878631,343.8728143,408.6725954,267.3195932,3391302000,Producer Manufacturing,210995000,1760.71,,7-Mar-22,,,,,,,,,,,,,,,,,,
