Ticker,Description,Market Capitalization,Last,Change %,Weekly Performance,Volume,Volume*Price,Exponential Moving Average (10),Exponential Moving Average (20),Exponential Moving Average (50),Exponential Moving Average (200),Total Revenue (FY),Sector,EBITDA (TTM),Enterprise Value/EBITDA (TTM),Enterprise Value (MRQ)
MADRASFERT,MADRAS FERTILIZERS,7426769827,55.25,19.97828447,26.14155251,6734645,372089136.25,42.50292155,38.71840886,35.16230333,31.07392094,15327900000,Process Industries,2078000000,12.6288,
RELIGARE,RELIGARE ENTERPRIS,35148728210,124.85,13.44843253,8.94415358,4128940,515498159,115.40888357,117.08287225,123.66570322,130.54780296,25081603000,Finance,-6120459000,10.4436,
MUKANDLTD,MUKAND,18297916550,147,13.42592593,14.70932501,620271,91179837,134.21985283,132.83962461,130.98857462,124.00952353,27074200000,Non-Energy Minerals,-2837400000,,
TVSELECT,TVS ELECTRONICS,4156223513,249.7,12.12393354,11.00244499,1555877,388502486.9,226.88446137,222.89132688,214.97156146,186.07486743,2246000000,Electronic Technology,262399999.99999997,22.9841,
SHYAMCENT,SHYAM CENTURY FERR,5032218114,24.9,9.93377483,30.36649215,1620070,40339743,20.88860148,20.11068985,18.98989113,14.81977224,1276156000,Non-Energy Minerals,332060000,4.32695,
BIRLACORPN,BIRLA CORP,75861813149,1081.45,9.7584492,1.05120538,625837,676811423.65,1053.76502697,1082.84541535,1176.36245415,1239.4202113,66113200000,Non-Energy Minerals,12253300000,9.06442,
GLAXO,GLAXO SMITHKLINE P,261901732239,1696.1,9.35172947,8.38045944,180019,305330225.9,1578.32954067,1566.10542709,1585.30940548,1589.85530874,31988622000,Health Technology,7968900000,33.1366,
CAMLINFINE,CAMLIN FINE SCIENC,17345492328,147.6,8.9298893,4.60666194,1254312,185136451.2,140.95781522,140.42837749,142.02816339,150.05253782,11808762000,Process Industries,1798028000,12.3406,
MANINDS,MAN INDUSTRIES (IN,4665319341,88.5,8.58895706,3.56933879,1167132,103291182,84.61813388,85.13489682,89.81904719,96.82170874,20801967000,Producer Manufacturing,1815600000,3.25085,
NCLIND,NCL INDUSTRIES,7646603609,183.55,8.5452395,5.73156682,613337,112578006.35,175.51740221,177.65066834,187.70855543,203.15854621,13836809000,Non-Energy Minerals,2307066000,3.53249,
SWANENERGY,SWAN ENERGY LTD,43441106900,193.25,8.23298796,7.48053393,1207538,233356718.5,180.57971636,176.39682602,168.33389085,149.16043723,3204688000,Utilities,806152000,98.4795,
MANGLMCEM,MANGALAM CEMENT,10072260359,395.15,8.14176245,3.15885655,438382,173226647.29999998,374.37420741,369.29452778,371.76694682,374.35803769,12926813000,Non-Energy Minerals,2449411000,4.26575,
NFL,NATIONAL FERTI.LTD,24676093129,54.3,7.84508441,2.25988701,11669074,633630718.1999999,51.45465639,50.46706792,50.90199363,53.00966625,46946200000,Process Industries,5127900000,,
FCL,FINEOTEX CHEMICAL,17813884148,173.35,7.80472637,5.70121951,1914487,331876321.45,164.71119424,162.45029406,157.30495785,128.51045471,2174356000,Process Industries,625380000,17.3404,
SRHHYPOLTD,SREE RAYALASEEMA H,7852905021,493.3,7.61343805,-0.36356292,111363,54935367.9,471.47862226,451.31863986,409.52430889,345.99605175,9101500000,Process Industries,1362799000,2.59167,
AAVAS,AAVAS FINANCIERS L,170763236465,2325.7,7.42511374,-0.70658555,246074,572294301.8,2340.83678786,2471.68648198,2643.98395134,2596.69493274,11300054000,Finance,4635776000,27.9971,
MAITHANALL,MAITHAN ALLOYS LTD,38104110187,1405.25,7.39396255,-1.74451126,108987,153153981.75,1347.68735324,1288.22297342,1180.86242368,1024.53890546,15910400000,Producer Manufacturing,8677900000,2.82811,
TIIL,TECHNOCRAFT INDUST,23276518050,1042,7.38393363,1.09634229,57612,60031704,995.71243444,957.85022694,899.89910002,770.91648949,12945437000,Producer Manufacturing,3561576000,5.37637,
MAHLIFE,MAHINDRA LIFESPACE,53183087790,365.2,7.28554642,15.13240858,665135,242907302,329.45952012,316.76085993,296.77283766,254.60409226,1662492000,Consumer Durables,-875400000,,38700500000
OAL,ORIENTAL AROMATICS LTD,23586107846,750.4,7.13877784,-4.31012497,58142,43629756.8,715.84764023,691.00156247,688.91789178,732.31885644,7078885000,Process Industries,1036151000.0000002,12.8175,
JKLAKSHMI,JK LAKSHMI CEMENT,48621269900,443.4,7.1143858,5.07109005,632500,280450500,426.4190594,435.07174118,477.59833137,536.99243267,47274400000,Non-Energy Minerals,9391000000,6.28938,
GREENPANEL,GREENPANEL INDUSTRIES LTD,65654706529,573.05,7.0621205,0.82695522,389009,222921607.45,545.4006373,527.68184388,495.20230703,381.99112906,10023397000,Non-Energy Minerals,3883208000,12.5288,
IMFA,INDIAN METALS & FE,23068077095,457.45,7.01836472,4.13157296,366629,167714436.04999998,428.27104447,410.11455209,394.505701,357.57145341,18127500000,Non-Energy Minerals,7419000000,5.59438,
WELCORP,WELSPUN CORP LTD,39951355017,163.65,6.96078431,12.86206897,2725453,446020383.45,152.05529091,151.29628423,156.96436533,151.96835621,63373030000,Producer Manufacturing,6623400000,4.56086,
AMIORG,AMI ORGANICS LTD,31494373054,922.35,6.93293142,2.87196074,484113,446521625.55,893.02024715,897.08861045,930.85708838,,3362090000,Health Technology,,,
ANDHRAPAP,ANDHRA PAPER LTD,11028231220,296.4,6.83005947,0.45754957,214906,63698138.4,278.65543652,262.28708667,242.28945375,232.36778496,8851318000,Process Industries,1987448000,11.3254,
PUNJABCHEM,PUNJAB CHEM&CROP,17015006418,1480.2,6.73877772,8.71832538,101656,150471211.20000002,1400.17880261,1397.75200224,1423.19221137,1382.21858055,6671900000,Process Industries,1278800000,13.1244,
STARPAPER,STAR PAPER MILLS,2324083190,158.65,6.69132482,0.03152585,488085,77434685.25,151.42653427,145.21748126,138.28521161,135.75019021,2333747000,Process Industries,333495000,3.4345,
KRITI,KRITI INDUSTRIES IND LTD,5081880415,109.4,6.67966845,3.69668246,215845,23613443,105.57577481,105.77722055,108.78487244,,5875935000,Consumer Non-Durables,499189000,5.93262,
TEAMLEASE,TEAMLEASE SERVICES,68192168223,4264.2,6.64365833,6.86816285,38776,165348619.2,3972.88686856,3965.56513067,4027.34256743,3977.13399342,48814567000,Commercial Services,1274494000,60.7254,
RESPONIND,RESPONSIVE INDUSTR,45268398895,180.55,6.61352229,5.52308591,561906,101452128.30000003,172.98284931,173.5692956,172.58821848,153.28788765,7557120000,Producer Manufacturing,1173594000,32.7274,
NOCIL,NOCIL LTD,35388614464,226.5,6.61332078,4.54650358,1953007,442356085.5,216.60121686,214.54155433,219.63864535,228.84291856,9185000000,Process Industries,2267900000,21.1367,
RTNINDIA,RATTANINDIA ENT LTD,61372774717,47.2,6.42615558,-1.04821803,2651663,125158493.6,46.53434191,46.58597089,47.98322987,43.25416928,1000000,Utilities,-28793000,,
IIFL,IIFL FINANCE LTD,102928191795,287.85,6.25692137,0.36610879,2313820,666033087,284.78485333,290.24013679,298.9582893,286.53672017,58401970000,Miscellaneous,15546597000,9.4172,386048000000
VAIBHAVGBL,VAIBHAV GLOBAL LTD,59399343464,385,6.19224934,-3.61747403,1591251,612631635,388.90003929,398.71491106,436.90301622,558.08100831,25400702000,Consumer Durables,3212978000,32.9349,
BANARISUG,BANNARI AMMAN SUG,29393057991,2501.5,6.08791535,3.65904194,7978,19956967,2382.54512032,2399.98972082,2475.83903955,2269.31030743,15065491000,Consumer Non-Durables,1907817000,17.9233,
AVTNPL,AVT NATURAL PROD,17337532778,120.85,6.05528741,1.98312236,1274559,154030455.15,114.71250628,108.80584669,98.63303733,81.50887385,4851279000,Process Industries,1021736000,9.91913,
PRICOLLTD,PRICOL LTD,14705003190,128.2,6.03804797,6.96704214,2439763,312777616.59999996,121.86966034,119.9335917,119.44136869,106.32735705,14117105000,Producer Manufacturing,1849917000,5.07599,
DATAPATTNS,DATA PATTERNS INDIA LTD,35020895109,712.9,5.62263871,7.17883184,486634,346921378.59999996,677.52162716,670.97580129,695.70414268,,2239500000,Electronic Technology,,,
SBCL,SHIVALIK BIMETAL CON. LTD,19207160943,527.2,5.49274637,11.7304228,190371,100363591.2,491.02398438,472.17251135,445.81805734,,2046023000,Producer Manufacturing,668943000,9.06878,
ZUARI,ZUARI AGRO CHEMICA,5639978900,141.2,5.21609538,-0.14144272,782455,110482645.99999999,135.49729464,132.87700373,128.75566078,120.30167762,24037450000,Process Industries,,9.79318,
AUTOAXLES,AUTOMOTIVE AXLES,23118299475,1605.05,5.18365608,-0.99617567,10112,16230265.6,1557.98038951,1534.25415593,1503.36136788,1369.96999481,9055740000,Producer Manufacturing,1173840000,22.3806,
SAPPHIRE,SAPPHIRE FOODS INDIA LTD,84702202740,1405.2,5.1757045,2.61428363,126912,178336742.4,1324.02365196,1309.95777701,1293.92568794,,10196190000,Consumer Services,,,
IFBIND,IFB INDUSTRIES LTD,38502984962,1001.75,5.14300708,6.83054282,139164,139407537,953.34126811,935.09115687,969.12262067,1045.21890757,28008000000,Consumer Durables,1198900000,20.4021,
