Ticker,Description,Market Capitalization,Last,Change %,Weekly Performance,Volume,Volume*Price,Exponential Moving Average (10),Exponential Moving Average (20),Exponential Moving Average (50),Exponential Moving Average (200),Total Revenue (FY),Sector,EBITDA (TTM),Enterprise Value/EBITDA (TTM),Enterprise Value (MRQ)
RIIL,RELIANCE IND INFRA,14250625360,1131.65,19.99893961,17.5557056,8346971,9445849732.150002,968.4663716,912.09894408,851.89669797,753.42704089,651880000,Industrial Services,42502000,,
EQUIPPP,EQUIPPP SOC IMP TECH LTD,7278523088,85.1,19.94362227,34.97224425,354470,30165397,68.3566753,67.90726248,73.12340365,,2093698,Technology Services,-12866000,,
JAICORPLTD,JAI CORP LTD,22761221751,152.35,19.39655172,17.69022789,24536672,3738161979.2,132.00594747,126.64322096,122.10493958,121.97530642,4715081000,Process Industries,627900000,31.369,
MANAKSTEEL,MANAKSIA STEELS LTD,3017842952,54.6,18.43817787,21.60356347,2328699,127146965.4,47.43137057,46.44942904,44.35716305,37.22993992,5041885000,Non-Energy Minerals,456233000,4.88463,2184590000
ALOKINDS,ALOK INDUSTRIES LTD,118420993129,27.75,16.35220126,13.03462322,82065536,2277318624,25.66548479,25.88427179,26.03193289,25.13275693,73095000000,Process Industries,5650000000,,
KPITTECH,KPIT TECHNOLOGIES,142431407335,586.55,12.49520522,7.69301386,10369157,6082029038.349999,556.28444817,567.07834707,575.69313281,474.92582702,20357410000,Technology Services,4102460000,13.4163,
OMAXE,OMAXE LTD,16900010472.000002,103.4,11.60280626,13.62637363,5267392,544648332.8000001,94.7245808,92.92631032,90.77309114,85.35978106,4757000000,Finance,-492500000,,
VERANDA,VERANDA LEARNING SOL LTD,11626407041,223.6,9.98524348,33.61219002,5656,1264681.6,175.60545455,,,,25400000,Commercial Services,,,
JINDALPHOT,JINDAL PHOTO LTD,2126038173,227.6,9.97825562,-3.43657191,97481,22186675.6,232.30748484,245.78062987,270.81829881,233.76108116,1671000,Consumer Durables,-3900000,,
ROML,RAJ OIL MILLS LTD,1240313576,91.2,9.94575045,35.11111111,399704,36453004.80000001,76.13640508,73.52389933,72.56848712,75.81354705,1034996799.9999998,Process Industries,35190000,28.1556,
