Ticker,Description,Market Capitalization,Price,Change %,Weekly Performance,Volume,Volume*Price,Exponential Moving Average (10),Exponential Moving Average (20),Exponential Moving Average (50),Exponential Moving Average (200),Total Revenue (FY),Sector,EBITDA (TTM),Enterprise Value/EBITDA (TTM),Enterprise Value (MRQ)
HLVLTD,HLV LTD,8932971604,15.9,17.34317343,13.16725979,11735402,186592891.8,14.05256808,13.91868156,13.54603052,12.01014334,1728832000,Consumer Services,155700000,57.37297112,
NECCLTD,NORTH EASTERN CARR,1859811310,22.6,15.01272265,15.01272265,2210332,49953503.2,19.96323647,19.63378445,19.42238492,20.18539967,3059775000,Transportation,205286000,9.05961103,
NITCO,NITCO LTD,1349511231,21.45,14.09575075,15.63342941,4396506,94305053.7,18.75934541,18.59421755,18.67345776,20.49092829,3836941000,Producer Manufacturing,-349281000,,
HERCULES,HERCULES HOISTS,9948799805,353.35,13.47142304,8.92417105,1938035,684804667.25,322.64266382,320.22559177,303.94679724,245.8053507,1507708000,Producer Manufacturing,184066000,54.05017659,
VISESHINFO,VISESH INFOTECNICS,1623007732,0.45,12.5,-10,5975518,2688983.1,0.42600436,0.42192994,0.41946288,0.48178797,5635000,Technology Services,-23824000,,
NECCLTDPP.E1,NORTH EAST CARRY CORP LTD,1859811310,9.8,12,18.07228916,102969,1009096.2,8.77839272,8.61020121,,,3059775000,Transportation,205286000,9.05961103,
ALOKINDS,ALOK INDUSTRIES LTD,88679202337,19.85,11.20448179,6.43431635,173686686,3447680717.1000004,17.80016156,17.09517536,16.17342632,15.65233686,68659600000.00001,Process Industries,-1107900000,,
DONEAR,DONEAR INDUSTRIES,4913479889,104.65,10.74074074,10.50686728,3534565,369892227.25,95.92758636,94.86361849,94.55650084,87.9389519,8256639999.999999,Process Industries,782740000,6.27728223,
NCC,NCC LTD,96625581385,169.6,10.20143666,9.91574854,29519080,5006435968,155.97797664,153.14735075,143.78521579,115.2037108,155534100000,Consumer Durables,15459600000,6.25019932,
BFUTILITIE,BF UTILITIES LTD,23608186627,689.45,9.99521554,7.52495154,1357304,935793242.8,606.2505593,553.26177742,471.24903695,395.10213543,7591163000,Industrial Services,4789974000,4.92866697,
IONEXCHANG,ION EXCHANGE (INDIA) LTD,75518633583,566.85,9.89724913,19.33684211,1291107,731864002.95,507.07838089,501.26560897,482.36972969,377.95760808,19896093000,Producer Manufacturing,2708600000,27.88105796,
BSE,BSE LTD,131100983893,1062.75,9.81091248,15.64200218,10313463,10960632803.25,936.33937044,895.93975972,801.34297118,643.82144658,9539400000,Finance,4034000000,32.49900444,
RGL,RENAISSANCE GLOBAL,9165968125,106.25,9.64912054,10.56191697,1287718,136820037.5,98.49818946,98.25479814,97.51032618,99.03911129,22365629000,Consumer Durables,1867406000,4.90839599,
