Name,BSE Code,NSE Code,Industry,Current Price,Net worth,Market Capitalization,Debt,EVEBITDA,Price to Earning,Dividend yield,Dividend last year,Sales latest quarter,Operating profit latest quarter,Other income latest quarter,EBIDT latest quarter,Depreciation latest quarter,Interest latest quarter,Profit before tax latest quarter,Tax latest quarter,Extraordinary items latest quarter,Net Profit latest quarter,GPM latest quarter,OPM latest quarter,Sales preceding quarter,Operating profit preceding quarter,Other income preceding quarter,EBIDT preceding quarter,Depreciation preceding quarter,Interest preceding quarter,Profit before tax preceding quarter,Tax preceding quarter,Profit after tax preceding quarter,Extraordinary items preceding quarter,Net Profit preceding quarter,OPM preceding quarter,Sales preceding year quarter,Operating profit preceding year quarter,Other income preceding year quarter,EBIDT preceding year quarter,Depreciation preceding year quarter,Interest preceding year quarter,Profit before tax preceding year quarter,Tax preceding year quarter,Profit after tax preceding year quarter,Extraordinary items preceding year quarter,Net Profit preceding year quarter,OPM preceding year quarter,Sales last year,Operating profit last year,Other income last year,EBIDT last year,Depreciation last year,Interest last year,Profit before tax last year,Tax last year,Profit after tax last year,Extraordinary items last year,Net Profit last year
20 Microns,533022,20MICRONS,Mining / Minerals / Metals,179.35,321.57,633.92,107.19,7.16,13.01,0.42,2.65,199.70,29.95,0.15,31.66,3.48,4.19,22.43,6.38,-1.56,16.05,47.26,15.00,190.56,26.39,0.97,27.36,3.47,4.06,19.83,4.89,14.91,0.00,14.93,13.85,187.78,23.35,1.00,24.35,3.34,4.90,16.11,4.16,11.87,0.00,11.95,12.43,701.69,85.79,2.97,88.76,13.80,17.76,57.20,15.24,41.82,0.00,41.96
360 ONE,542772,360ONE,Finance & Investments,647.60,3265.20,23235.56,7901.17,21.46,33.36,2.66,2457.09,554.60,317.84,62.47,380.31,13.65,139.91,226.75,40.84,0.00,185.91,100.00,57.31,573.00,353.20,7.89,361.09,12.57,124.65,223.87,40.29,183.58,0.00,183.58,61.64,504.80,316.42,18.91,335.33,11.62,98.19,225.52,51.15,174.37,0.00,174.37,62.68,2058.89,1291.96,4.89,1296.84,46.31,400.25,850.29,192.40,657.88,0.01,657.89
3B Blackbio,532067,,Pesticides / Agrochemicals - Indian,781.65,208.35,586.87,1.34,13.64,22.55,0.32,1.87,19.18,7.79,2.75,10.54,0.24,0.04,10.26,2.67,0.00,7.58,64.86,40.62,14.28,6.44,2.96,9.40,0.19,0.02,9.19,1.98,7.21,0.00,7.21,45.10,17.31,9.18,1.96,11.14,0.24,0.07,10.83,2.52,8.31,0.00,8.31,53.03,61.84,29.14,7.23,36.37,0.86,0.20,35.31,9.37,25.94,0.00,25.94
3i Infotech,532628,3IINFOLTD,Computers - Software - Medium / Small,46.70,425.48,785.32,103.62,22.93,,0.00,0.00,210.28,34.78,-178.28,36.16,7.12,2.65,-153.27,0.89,-179.66,-154.16,100.00,16.54,194.38,-3.50,-2.87,-3.47,5.36,2.36,-14.09,1.50,-13.00,-2.90,-15.59,-1.80,177.13,29.67,-6.54,30.87,5.01,2.37,15.75,-1.36,24.85,-7.74,17.11,16.75,729.11,-36.88,73.35,43.06,22.80,9.29,4.38,3.01,3.01,-6.59,1.37
3M India,523395,3MINDIA,Diversified - Large,31469.45,2085.88,35423.02,23.80,48.30,72.81,0.32,957.95,975.42,178.12,14.73,192.85,12.61,0.74,179.50,45.70,0.00,133.80,39.80,18.26,976.85,158.32,12.84,171.16,13.66,0.96,156.54,39.87,116.67,0.00,116.67,16.21,924.98,114.63,34.02,148.65,14.25,0.38,134.02,34.17,99.86,0.00,99.86,12.39,3733.44,559.79,64.22,623.66,56.12,7.10,560.79,144.66,415.88,0.35,416.14
5Paisa Capital,540776,5PAISA,Finance & Investments,512.50,500.33,1594.21,280.30,2.19,27.02,0.00,0.00,96.90,33.54,0.04,33.58,2.24,6.47,24.87,5.83,0.00,19.04,100.00,34.61,84.55,25.59,0.03,25.62,2.31,3.84,19.47,4.94,14.54,0.00,14.54,30.27,79.55,20.02,0.67,20.69,2.09,4.53,14.07,3.33,10.75,0.00,10.75,25.17,338.25,86.56,1.12,87.68,8.79,20.80,58.09,14.52,43.57,0.00,43.57
63 Moons Tech.,526881,63MOONS,Computers - Software - Medium / Small,468.75,3244.18,2154.04,5.52,3.91,16.89,0.43,9.22,158.77,67.77,36.29,104.06,7.51,0.25,96.30,16.43,0.00,79.28,100.00,42.68,115.07,26.23,32.76,58.99,7.66,0.19,51.14,12.16,37.24,0.00,37.24,22.79,44.32,-31.22,20.87,-10.35,3.03,0.13,-13.51,-0.58,-10.66,0.00,-13.65,-70.44,290.07,-26.77,70.34,84.92,23.39,0.63,19.55,41.36,-44.56,-41.35,-26.64
7Seas Enter.,540874,,Computers - Software - Medium / Small,31.04,2.63,57.92,3.98,53.91,79.35,0.00,0.00,2.86,0.52,0.00,0.52,0.07,0.22,0.23,0.00,0.00,0.23,100.00,18.18,2.75,0.32,0.00,0.32,0.07,0.00,0.25,0.00,0.25,0.00,0.25,11.64,1.62,0.21,0.00,0.21,0.02,0.00,0.19,0.00,0.19,0.00,0.19,12.96,5.52,0.57,0.04,0.61,0.08,0.00,0.53,0.10,0.43,0.00,0.43
A B B,500002,ABB,Electric Equipment,4838.95,5368.50,102558.19,41.77,56.88,84.84,0.11,116.54,2769.19,438.53,77.69,515.35,30.29,0.88,485.05,122.18,0.87,362.87,39.18,15.84,2508.63,348.72,74.85,423.75,29.23,1.39,392.95,97.32,295.81,-0.18,295.63,13.90,2119.74,210.95,87.85,257.83,26.87,1.56,270.37,72.81,168.73,40.97,197.56,9.95,8567.53,967.71,505.80,1147.18,104.70,15.40,1353.41,337.18,764.16,326.33,1016.23
A B Infrabuild,,ABINFRA,Construction,48.00,45.66,212.24,22.50,17.37,35.37,0.00,0.00,107.94,13.27,1.02,11.18,0.39,2.25,9.10,2.28,0.56,7.00,18.58,13.47,,,,,,,,,,,,,43.49,1.98,,,,,,,,,0.73,,123.09,12.69,2.77,13.39,0.74,4.45,10.27,2.73,6.00,2.07,7.54
